# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-25	1				
2020-02-26	1				
2020-02-27	1				
2020-02-28	1				
2020-02-29	1				
2020-03-01	1				
2020-03-02	2				
2020-03-03	4				
2020-03-04	5				
2020-03-05	18				
2020-03-06	18				
2020-03-07	45				
2020-03-08	58				
2020-03-09	68				
2020-03-10	68	1			
2020-03-11	68				
2020-03-12	180				
2020-03-13	258		65	13	
2020-03-14	265	3			
2020-03-15	291	6			
2020-03-16	330	8			
2020-03-17	422	10			
2020-03-18	511	14			
2020-03-19	638	15	155	33	
2020-03-20	834	22	168	35	
2020-03-21	918	28	184	40	
2020-03-22	939	37	246	46	
2020-03-23	1165	48	261	45	
2020-03-24	1211	53	285	50	
2020-03-25	1354	60	306	57	
2020-03-26	1401	67	358	60	
2020-03-27	1688	76	386	61	
2020-03-28	1727	87	385	69	
2020-03-29	1837	93	402	69	
2020-03-30	1962	105	415	75	
2020-03-31	2091	120	401	74	202
2020-04-01	2195	132	396	76	229
2020-04-02	2271	141	374	75	263
2020-04-03	2377	155	370	75	287
2020-04-04	2422	165	363	72	314
2020-04-05	2508	177	362	74	340
2020-04-06	2546	189	357	72	350
2020-04-07	2599	198	357	72	350
2020-04-08	2659	211	319	71	420
2020-04-09	2714	219	319	71	420
