# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-27	1	0			
2020-02-28	1				
2020-02-29	2	0			
2020-03-01	2				
2020-03-02	6	0			
2020-03-03	7	0			
2020-03-04	14	0			
2020-03-05	19	0			
2020-03-06	28	0			
2020-03-08	30	0			
2020-03-09	34	0			
2020-03-10	41	0			
2020-03-11	57	0			
2020-03-12	80	0			
2020-03-13	90	0			
2020-03-14	110	0			
2020-03-15	130	0			
2020-03-16	198	1			
2020-03-17	252	2			
2020-03-18	314	2			
2020-03-19	366	2			
2020-03-20	427	3			
2020-03-21	469	5			
2020-03-22	504	6			
2020-03-23	574	6			
2020-03-24	628	6			
2020-03-25	686	7			
2020-03-26	740	9			
2020-03-27	818	9			
2020-03-28	842	13			
2020-03-29	862	15			
2020-03-30	935	20	112	21	
2020-03-31	1008	21	111	23	
2020-04-01	1065	24	115	26	
2020-04-02	1107	26	104	24	
2020-04-03	1170	26	109	30	
2020-04-04	1210	29	113	35	
2020-04-05	1224	32	110	30	
2020-04-06	1295	32	117	35	
2020-04-07	1347	36	122	34	
2020-04-08	1406	41	127	35	
2020-04-09	1427	45	117	36	
2020-04-10	1444	51	107	33	
2020-04-11	1464	54	99	33	
2020-04-12	1475	57	95	33	
2020-04-13	1492	63	92	32	
2020-04-14	1528	65	85	31	
2020-04-15	1558	67	82	30	
2020-04-16	1580	68	70	26	
2020-04-17	1598	69	71	22	
2020-04-18	1606	73	71	22	
2020-04-19	1616	73	71	19	
2020-04-20	1649	77	66	17	
2020-04-21	1668	79	67	14	
2020-04-22	1678	81	66	11	
2020-04-23	1699	83	60	11	
2020-04-24	1709	84	61	11	
2020-04-25	1713	85	61	11	
2020-04-26	1722	85	54	10	
2020-04-27	1736	85	47	7	
2020-04-28	1748	87	44	10	
2020-04-29	1761	87	39	9	
2020-04-30	1771	88	40	9	
2020-05-01	1781	88	44	9	
2020-05-02	1787	88	41	10	
2020-05-03	1789	88	35	8	
2020-05-04	1795	88	38	7	
2020-05-05	1799	88	34	6	
2020-05-06	1807	88	37	8	
2020-05-07	1814	89	39	8	
2020-05-08	1820	89	36	7	
2020-05-09	1825	89	36	7	
2020-05-10	1827	90	36	7	
2020-05-11	1829	90	35	6	
2020-05-12	1832	90	34	7	
2020-05-13	1837	90	29	5	
2020-05-14	1843	90	27	5	
2020-05-15	1846	90	34	4	
2020-05-16	1846		34	3	
2020-05-17	1846		29	2	
2020-05-18	1849	90	25	2	
2020-05-19	1853	91	24	3	
2020-05-20	1856	91	24	3	
2020-05-21	1859	91	20	3	
2020-05-22	1862	91	20	3	
2020-05-23	1862		20	3	
2020-05-24	1863	91	18	2	
2020-05-25	1864	91	18	2	
2020-05-26	1864	92	11	2	
2020-05-27	1866	92	11	2	
2020-05-28	1868	92	9	1	
2020-05-29	1870	92	9	0	
2020-05-30	1870		9	1	
2020-05-31	1872	92	9	1	
2020-06-01	1872		6	0	
2020-06-02	1874	92	6	0	
2020-06-03	1875	92	6	0	
2020-06-04	1878	92	5	0	
2020-06-07	1879	92	3	0	
2020-06-08	1884	92	3	0	
2020-06-09	1884		4	0	
2020-06-10	1890	92	4	0	
2020-06-11	1892	92	1	0	
2020-06-12	1893	92	1	0	
2020-06-13	1894	92	1	0	
2020-06-14	1894		1	0	
2020-06-15	1896	92	1	0	
2020-06-16	1896		3	0	
2020-06-17	1896		3	0	
2020-06-18	1896		3	0	
2020-06-19	1897	92	3	0	
2020-06-20	1901	92	3	0	
2020-06-21	1903	92	2	0	
2020-06-22	1906	92	2	0	
2020-06-23	1909	92	1	0	
2020-06-24	1909		1	0	
2020-06-25	1909		1	0	
2020-06-26	1914	92	1	0	
2020-06-27	1915	92	1	0	
2020-06-28	1916	92	2	0	
2020-06-29	1921	92	2	0	
2020-06-30	1928	92	7	0	
2020-07-01	1932	92	7	0	
2020-07-02	1935	92	4	1	
2020-07-03	1942	92	4	1	
2020-07-04	1943	92	4	1	
2020-07-05	1945	92	3	1	
2020-07-06	1950	92	3	1	
2020-07-07	1956	92	2	1	
2020-07-08	1960	92	2	1	
2020-07-09	1969	92	5	1	
2020-07-10	1977	92	5	1	
2020-07-11	1983	92			
2020-07-12	1984	92	4	2	
2020-07-13	1995	92	4	2	
2020-07-14	2004	92	3	2	
2020-07-15	2012	92	3	2	
2020-07-16	2021	92	4	3	
2020-07-17	2032	92	4	3	
2020-07-18	2035	92			
2020-07-19	2038	92	7	4	
2020-07-20	2045	92	7	4	
2020-07-21	2046	92	7	3	
2020-07-22	2049	92	7	3	
2020-07-23	2051	92			
2020-07-24	2064	92	7	2	
2020-07-25	2069	92			
2020-07-26	2072	92	10	2	
2020-07-27	2078	92	10	2	
2020-07-28	2084	92	12	2	
2020-07-29	2097	92	12	2	
2020-07-30	2109	92	12	2	
2020-07-31	2125	92	12	2	
2020-08-01	2131	92			
2020-08-02	2135	92	10	3	
2020-08-03	2149	92	10	3	
2020-08-04	2160	92	12	3	
2020-08-05	2174	92	12	3	
2020-08-06	2178	92	11	3	
2020-08-07	2188	93	11	3	
2020-08-08	2193	93			
2020-08-09	2199	93	10	3	
2020-08-10	2217	93	10	3	
2020-08-11	2243	93	10	3	
2020-08-12	2267	93	10	3	
2020-08-13	2281	93	7	1	
2020-08-14	2298	93		1	
2020-08-15	2304	93			
2020-08-16	2308	93	7	1	
2020-08-17	2322	93	7	1	
2020-08-18	2334	93	7	1	
2020-08-19	2350	93	7	1	
2020-08-20	2367	93	5	2	
2020-08-21	2384	93	5	2	
2020-08-22	2397	94			
2020-08-23	2406	94	4	1	
2020-08-24	2432	94	4	1	
2020-08-25	2450	94	4	1	
2020-08-26	2469	94	4	1	
2020-08-27	2490	94	4	1	
2020-08-28	2515	94	4	1	
2020-08-29	2522	94			
2020-08-30	2529	94	7	2	
2020-08-31	2552	94	7	2	
2020-09-01	2570	94	5	2	
2020-09-02	2599	94	5	2	
2020-09-03	2635	94			
2020-09-04	2662	94	4	2	
2020-09-05	2672	94			
2020-09-06	2683	94	3	2	
2020-09-07	2711	94	3	2	
2020-09-08	2733	94	6	2	
2020-09-09	2770	94	6	2	
2020-09-10	2798	94	8	2	
2020-09-11	2840	94	8	2	
2020-09-12	2860	94			
2020-09-13	2875	94	7	2	
2020-09-14	2935	94	7	2	
2020-09-15	2986	94	12	2	
2020-09-16	3043	94	12	2	
2020-09-17	3086	95	10	3	
2020-09-18	3143	95	10	3	
2020-09-19	3171	95			
2020-09-20	3189	95	17	5	
2020-09-21	3240	96	17	5	
2020-09-22	3275	96	21	3	
2020-09-23	3312	96	21	3	
2020-09-24	3348	96	20	3	
2020-09-25	3384	96	20	3	
2020-09-26	3409	96			
2020-09-27	3426	96	25	2	
2020-09-28	3475	97	25	2	
2020-09-29	3520	97	25	1	
2020-09-30	3579	97	25	1	
2020-10-01	3638	97	28	1	
2020-10-02	3715	97	28	1	
2020-10-03	3745	97			
2020-10-04	3772	97	30	6	
2020-10-05	3882	98	30	6	
2020-10-06	3979	98	28	6	
2020-10-07	4079	98	28	6	
2020-10-08	4204	98	39	7	
2020-10-09	4343	98	39	7	
2020-10-10	4435	98			
2020-10-11	4512	98	44	7	
2020-10-12	4789	98	44	7	
2020-10-13	5030	98	59	11	
2020-10-14	5306	98	59	11	
2020-10-15	5637	99	64	11	
2020-10-16	5938	99	64	11	
2020-10-17	6148	100			
2020-10-18	6306	100	82	12	
2020-10-19	6869	101	82	12	
2020-10-20	7433	102	121	13	
2020-10-21	8061	103	121	13	
2020-10-22	8686	105	153	15	
2020-10-23	9331	105	153	15	
2020-10-24	9738	110			
2020-10-25	10033	115	217	20	
2020-10-26	11032	117	217	20	
2020-10-27	11914	121	213	22	
2020-10-28	12729	128	213	22	
2020-10-29	13522	135	253	33	
2020-10-30	14335	143	253	33	
2020-10-31	14734	152			
2020-11-01	15033	160	307	45	
2020-11-02	16047	168	339	41	
2020-11-03	16883	175	343	45	
2020-11-04	17659	185	346	43	
2020-11-05	18299	194	328	47	
2020-11-06	18921	203	356	50	
2020-11-07	19288	215	368		
2020-11-08	19505	219	398	53	
2020-11-09	20243	230	427	62	
2020-11-10	20855	237	403	64	
2020-11-11	21382	250	410	57	
2020-11-12	21914	266	402	54	
2020-11-13	22409	274	402	54	
2020-11-14	22730	282			
2020-11-15	22925	296	412	63	
2020-11-16	23521	304	407	75	
2020-11-17	24024	318	398	67	
2020-11-18	24469	324	380	68	
2020-11-19	24959	332	387	64	
2020-11-20	25362	340	390	67	
2020-11-21	25637	347			
2020-11-22	25834	359	376	65	
2020-11-23	26444	370	370	70	
2020-11-24	26904	381	355	67	
2020-11-25	27367	391	334	57	
2020-11-26	27802	405	326	56	
2020-11-27	28216	417	326	56	
2020-11-28	28477	424			
2020-11-29	28664	433	328	50	
2020-11-30	29187	445	331	54	
2020-12-01	29602	454	320	55	
2020-12-02	30107	463	302	55	
2020-12-03	30537	470	280	50	
2020-12-04	31065	483	283	53	
2020-12-05	31396	495			
2020-12-06	31644	501	313	55	
2020-12-07	32245	512	313	56	
2020-12-08	32849	520	307	58	
2020-12-09	33459	533	318	56	
2020-12-10	33971	540	307	54	
2020-12-11	34514	546	307	54	
2020-12-12	34863	551			
2020-12-13	35122	559	337	55	
2020-12-14	35818	574	334	55	
2020-12-15	36424	583	336	57	
2020-12-16	36990	591	325	55	
2020-12-17	37530	606	333	53	
2020-12-18	38025	619	334	54	
2020-12-19	38364	627			
2020-12-20	38599	630	347	59	
2020-12-21	39216	642	331	53	
2020-12-22	39739	648	327	53	
2020-12-23	40249	654	302	46	
2020-12-24	40574	668	264	44	
2020-12-25	40814	675	260	42	
2020-12-26	41070	685	270	46	
2020-12-27	41315	695	288	47	
2020-12-28	41872	711	309	53	
2020-12-29	42348	723	301	47	
2020-12-30	42803	738	296	40	
2020-12-31	43131	749	300	48	
2021-01-01	43298	762	297	49	
2021-01-02	43599	765	297	45	
2021-01-03	43831	770	304	47	
2021-01-04	44374	777	305	49	
2021-01-05	44792	783	309	53	
2021-01-06	45107	795	300	53	
2021-01-07	45476	805	279	47	
2021-01-08	45778	809	279	47	
2021-01-09	45988	822			
2021-01-10	46135	831	272	43	
2021-01-11	46455	840	257	42	
2021-01-12	46711	844	241	41	
2021-01-13	46983	854	230	44	
2021-01-14	47221	857	212	39	
2021-01-15	47444	866	212	39	
2021-01-16	47564	869			
2021-01-17	47669	872	208	42	
2021-01-18	47946	881	209	40	
2021-01-19	48167	886	191	34	
2021-01-20	48356	894	173	38	
2021-01-21	48567	898	171	38	
2021-01-22	48760	907	171	38	
2021-01-23	48847	915			
2021-01-24	48933	924	158	34	
2021-01-25	49175	933	150	29	
2021-01-26	49351	939	141	29	
2021-01-27	49543	944	135	26	
2021-01-28	49711	950	118	24	
