# Data source: https://raw.githubusercontent.com/openZH/covid_19/master/fallzahlen_kanton_total_csv/COVID19_Fallzahlen_Kanton_CANTONCODE_total.csv
# Data provenance: OpenZH
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-28	1	0	8	0	0
2020-02-29	1	0	8	0	0
2020-03-01	2	0	9	0	0
2020-03-02	4	0	12	0	0
2020-03-03	4	0	14	0	0
2020-03-04	5	0	15	0	0
2020-03-05	6	0	13	0	2
2020-03-06	6	0	14	0	2
2020-03-07	7	0	14	0	2
2020-03-08	14	0	18	1	2
2020-03-09	18	0	19	1	2
2020-03-10	23	0	22	1	2
2020-03-11	30	0	23	1	3
2020-03-12	55	0	30	1	3
2020-03-13	71	1	32	1	5
2020-03-14	92	1	36	1	6
2020-03-15	104	2	38	1	6
2020-03-16	163	3	44	2	8
2020-03-17	216	3	49	2	11
2020-03-18	299	4	61	2	11
2020-03-19	336	6	66	5	12
2020-03-20	431	7	75	6	15
2020-03-21	482	10	85	8	17
2020-03-22	520	11	94	11	19
2020-03-23	616	13	106	12	24
2020-03-24	716	14	120	13	25
2020-03-25	785	15	121	15	35
2020-03-26	861	17	131	19	41
2020-03-27	953	21	140	20	50
2020-03-28	999	25	145	21	53
2020-03-29	1033	31	155	22	54
2020-03-30	1118	35	156	25	71
2020-03-31	1185	37	155	24	81
2020-04-01	1254	40	149	26	96
2020-04-02	1301	47	149	28	104
2020-04-03	1351	51	149	26	109
2020-04-04	1384	53	152	28	112
2020-04-05	1399	57	149	26	115
2020-04-06	1467	60	136	26	134
2020-04-07	1505	68	132	25	143
2020-04-08	1542	71	125	26	152
2020-04-09	1569	77	120	24	160
2020-04-10	1601	83	118	24	166
2020-04-11	1625	85	115	20	169
2020-04-12	1638	91	113	22	173
2020-04-13	1652	93	109	21	176
2020-04-14	1681	94	102	20	187
2020-04-15	1694	94	96	20	195
2020-04-16	1711	95	94	17	198
2020-04-17	1728	99	87	16	204
2020-04-18	1737	104	86	18	204
2020-04-19	1746	107	84	16	205
2020-04-20	1765	110	80	15	211
2020-04-21	1773	115	76	14	213
2020-04-22	1780	118	77	13	216
2020-04-23	1795	123	73	13	219
2020-04-24	1804	127	70	14	223
2020-04-25	1809	129	72	14	224
2020-04-26	1811	131	74	15	224
