# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-04	6				
2020-03-05	22				
2020-03-06	33				
2020-03-07	76				
2020-03-08	105				
2020-03-09	142				
2020-03-10	173				
2020-03-11	216				
2020-03-12	216				
2020-03-13	421				
2020-03-14	524				
2020-03-15	729	3			
2020-03-16	950	7			
2020-03-17	1700	7	325		
2020-03-18	2382	12	416		
2020-03-19	4152	12	617		
2020-03-20	7102	35	1042		
2020-03-21	10356	44	1436		
2020-03-22	15168	114	2043		
2020-03-23	20875	114	2629		
2020-03-24	25665	210	3343		
2020-03-25	30811	285	4079		
2020-03-26	37258	385	5327	1290	
2020-03-27	44635	519	6481	1583	
2020-03-28	52318	728	7328	1755	
2020-03-29	59513	965	8503	2037	
2020-03-30	66497	1218	9517	2352	
2020-03-31	75795	1550	10929	2710	
2020-04-01	83712	1941	12226	3022	
2020-04-02	92381	2373	13383	3396	
2020-04-03	102863	2935	14810	3731	
2020-04-04	113704	3565	15905	4126	
2020-04-05	122031	4159	16479	4376	
2020-04-06	130689	4758	16837	4504	
2020-04-07	138863	5489	17493	4539	
2020-04-08	149316	6268	18079	4841	
2020-04-09	159937	7067	18279	4925	
2020-04-10	170512	7844	18569	4908	
2020-04-11	180458	8627	18654	5009	
2020-04-12	188694	9385	18707	5198	
2020-04-13	195031	10056	18825	5156	
2020-04-14	202208	10834	18697	5225	
2020-04-15	213779	11586	18335	5205	
2020-04-16	222284	12192	17735	5071	
2020-04-17	229642	12822	17316	5039	
2020-04-18	236732	13362	16967	4996	
2020-04-19	242786	13869	16213	4878	
2020-04-20	247512	14347	16103	4814	
2020-04-21	251690	14828	16135	4729	
2020-04-22	257216	15302	15599	4690	
2020-04-23	263460	15740	15021	4597	
2020-04-24	271590	16162	14258	4540	
2020-04-25	282143	16599	13524	4410	
2020-04-26	288045	16966	12839	4284	
2020-04-27	291996	17303	12819	4157	
2020-04-28	295106	17638	12646	4071	
2020-04-29	299691	18015	12159	3923	
2020-04-30	304372	18321	11598	3769	
2020-05-01	308314	18610	10993	3640	
2020-05-02	312977	18909	10350	3501	
2020-05-03	316415	19189	9786	3430	
2020-05-04	318953	19415	9647	3330	
2020-05-05	321192	19645	9600	3281	
2020-05-06	323978	19877	9179	3098	
2020-05-07	327649	20828	8665	2976	
2020-05-08	330407	21045	8196	2811	
2020-05-09	333122	21271	7776	2664	
2020-05-10	335395	21478	7262	2488	
2020-05-11	337055	21640	7226	2450	
2020-05-12	338485	21845	7063	2375	
2020-05-13	340661	22013	6946	2308	
2020-05-14	343051	22170	6706	2223	
2020-05-15	345813	22304	6394	2156	
2020-05-16	348232	22478	6220	2077	
2020-05-17	350121	22619	5897	1981	
2020-05-18	351371	22729	5840	1908	
2020-05-19	352845	22843	5818	1836	
2020-05-20	354370	22976	5570	1761	
2020-05-21	356458	23083	5187	1695	
2020-05-22	358154	23195	4844	1581	
2020-05-23	359926	23282	4642	1502	
2020-05-24	361515	23391	4393	1406	
2020-05-25	362764	23488	4348	1366	
2020-05-26	363836	23564	4265	1273	
2020-05-27	364965	23643	4208	1261	
2020-05-28	366733	23722	4010	1219	
2020-05-29	368284	23780	3781	1164	
2020-05-30	369660	23848	3619	1124	
2020-05-31	370770	23905	3436	1050	
2020-06-01	371711	23959	3331	999	
2020-06-02	373040	24023	3121	907	
2020-06-03	374085	24079	2978	865	
2020-06-04	375133	24133	2849	832	
2020-06-05	376208	24175	2728	758	
2020-06-06	377316	24212	2603	720	
2020-06-07	378097	24259	2427	704	
2020-06-08	378799	24299	2371	678	
2020-06-09	379482	24348	2344	663	
2020-06-10	380156	24404	2190	630	
2020-06-11	380892	24442	2042	581	
2020-06-12	381714	24495	1898	552	
2020-06-13	382630	24527	1734	517	
2020-06-14	383324	24551	1657	499	
2020-06-15	383944	24579	1608	470	
2020-06-16	384575	24608	1538	449	
2020-06-17	385142	24629	1479	431	
2020-06-18	385760	24661	1358	388	
2020-06-19	386556	24686	1284	359	
2020-06-20	387272	24710	1220	335	
2020-06-21	387936	24725	1142	332	
2020-06-22	388488	24739	1122	330	
2020-06-23	389085	24766	1104	302	
2020-06-24	389666	24782	1071	290	
2020-06-25	390415	24800	996	270	
2020-06-26	391220	24814	951	244	
2020-06-27	391923	24830	908	230	
2020-06-28	392539	24835	869	229	
2020-06-29	392930	24842	853	216	
2020-06-30	393454	24855	891	217	
2020-07-01	394079	24866	879	226	
