# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	0				
2020-03-07	1				
2020-03-08	1				
2020-03-09	4				
2020-03-10	6				
2020-03-11	8				
2020-03-12	8				
2020-03-13	11				
2020-03-14	14				
2020-03-15	16				
2020-03-16	21	1			
2020-03-17	22	1			
2020-03-18	26	1			
2020-03-19	35	1			
2020-03-20	47	1			
2020-03-21	54	2			
2020-03-22	99	3			
2020-03-23	104	3			
2020-03-24	124	4			
2020-03-25	157	4			
2020-03-26	198	4			
2020-03-27	248	6			
2020-03-28	302	8			
2020-03-29	394	9			
2020-03-30	439	9			
2020-03-31	480	11			
2020-04-01	591	17			
2020-04-02	680	20			
2020-04-03	770	31			
2020-04-04	831	37			
2020-04-05	917	40			
2020-04-06	955	45			
2020-04-07	1008	59			
2020-04-08	1149	65			
2020-04-09	1346	73			
2020-04-10	1693	90	271	105	
2020-04-11	1693	90	271	105	
2020-04-12	1840	94	271	105	
2020-04-13	1963	97	289	136	
2020-04-14	2048	104	299	136	
2020-04-15	2210	115	305	137	
2020-04-16	2291	122	412	252	
2020-04-17	2429	129	477	333	
2020-04-18	2522	137	360	227	
2020-04-19	2707	144	274	155	
2020-04-20	2960	148	274	155	
2020-04-21	3050	154	263	147	
2020-04-22	3192	171	286	165	
2020-04-23	3373	185	301	161	
2020-04-24	3481	191	302	163	
2020-04-25	3779	200	303	164	
2020-04-26	3905	205	301	164	
2020-04-27	4074	208	308	166	
2020-04-28	4146	213	313	165	
2020-04-29	4375	225	320	170	
2020-04-30	4539	235	325	176	
2020-05-01	4708	240	330	178	
