# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-03					
2020-03-04					
2020-03-05					
2020-03-06	0				
2020-03-07	1				
2020-03-08	1				
2020-03-09	1				
2020-03-10	1				
2020-03-11	2				
2020-03-12	2				
2020-03-13	5				
2020-03-14	8				
2020-03-15	12				
2020-03-16	17				
2020-03-17	19				
2020-03-18	21				
2020-03-19	28				
2020-03-20	44	2			
2020-03-21	52	2			
2020-03-22	76	2			
2020-03-23	97	5			
2020-03-24	125	7			
2020-03-25	160	8			
2020-03-26	185	9			
2020-03-27	213	10			
2020-03-28	234	12			
2020-03-29	256	12			
2020-03-30	293	12			
2020-03-31	320	13	21		
2020-04-01	359	16	30		
2020-04-02	390	17	29		
2020-04-03	460	17	29		
2020-04-04	512	20	29		
2020-04-05	543	22	29		
2020-04-06	575	23	28		
2020-04-07	608	23	29		
2020-04-08	631	23	35		
2020-04-09	680	23	33		
2020-04-10	713	24	32		
2020-04-11	733	25	77		
2020-04-12	754	27	34		
2020-04-13	761	28	33		
2020-04-14	770	29	64		
2020-04-15	779	30	63		
2020-04-16	792	35	58		
2020-04-17	802	35	32		
2020-04-18	813	38	56		
2020-04-19	817	38	53		
2020-04-20	820	38	49		
2020-04-21	828	40	41		
2020-04-22	831	40	37		
2020-04-23	834	43	44		
2020-04-24	843	44	32		
2020-04-25	852	46	37		
2020-04-26	855	46	34		
2020-04-27	862	47	33		
2020-04-28	862	47	29		
2020-04-29	866	47	26		
2020-04-30	879	49	23		
2020-05-01	885	50	19		
2020-05-02	896	51	11		
2020-05-03	901	52	19		
2020-05-04	906	52	15		
2020-05-05	909	52	33	2	
2020-05-06	914	52	26	2	
2020-05-07	916	53	14	2	
2020-05-08	918	53	15		
2020-05-09	926	53	21		
2020-05-10	926	53	21		
2020-05-11	927	53	14		
2020-05-12	929	53	18		
2020-05-13	930	53	17		
2020-05-14	931	53	18		
2020-05-15	932	53	17		
2020-05-16	940	53	20		
2020-05-17	940	54	14		
2020-05-18	944	54	22		
2020-05-19	944	54	24		
2020-05-20	944	54	15		
2020-05-21	950	54	14		
2020-05-22	952	54	16		
2020-05-23	954	54	21		
2020-05-24	956	54	25		
2020-05-25	962	54	19		
2020-05-26	967	54	25		
2020-05-27	971	54	21		
2020-05-28	974	55	17		
2020-05-29	975	55	14		
2020-05-30	977	55	17		
