# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	0				
2020-03-08	0				
2020-03-09	0				
2020-03-10	0				
2020-03-11	0				
2020-03-12	1				
2020-03-13	1				
2020-03-14	5				
2020-03-15	7				
2020-03-16	7				
2020-03-17	8				
2020-03-18	10				
2020-03-19	12				
2020-03-20	16				
2020-03-21	20				
2020-03-22	31				
2020-03-23	34				
2020-03-24	46				
2020-03-25	53				
2020-03-26	71				
2020-03-27	108				
2020-03-28	129	1			
2020-03-29	154	1			
2020-03-30	171	4			
2020-03-31	184	4			
2020-04-01	208	5			
2020-04-02	227	5			
2020-04-03	243	5			
2020-04-04	265	5			
2020-04-05	286	6			
2020-04-06	299	6			
2020-04-07	319	6			
2020-04-08	332	6			
2020-04-09	354	6	13		
2020-04-10	365	6	29		
2020-04-11	377	6	21		
2020-04-12	387	6	22		
2020-04-13	394	7	21		
2020-04-14	399	7	24		
2020-04-15	404	7	21		
2020-04-16	415	7	21		
2020-04-17	422	8	21		
2020-04-18	426	10	17		
2020-04-19	433	10	18		
2020-04-20	433	10	19		
2020-04-21	437	12	14		
2020-04-22	439	14	13		
2020-04-23	442	14	13		
2020-04-24	444	14	12		
2020-04-25	445	14	11		
2020-04-26	448	14	11		
2020-04-27	449	14	11		
2020-04-28	451	15	10		
2020-04-29	451	16	5		
2020-04-30	453	16	5		
2020-05-01	453	16	5		
2020-05-02	455	16	5		
2020-05-03	455	16	5		
2020-05-04	457	16	6		
2020-05-05	456	16	6		
2020-05-06	456	16	6		
2020-05-07	456	16	6		
2020-05-08	458	16	6		
2020-05-09	458	16	4		
2020-05-10	458	16	4		
2020-05-11	459	16	4		
2020-05-12	461	16	4		
2020-05-13	462	16	3		
2020-05-14	462	16	3		
2020-05-15	466	16	3		
2020-05-16	468	16	3		
2020-05-17	468	16	3		
2020-05-18	470	16	4		
2020-05-19	471	16	5		
2020-05-20	478	16	3		
2020-05-21	479	16	3		
2020-05-22	479	16	3		
2020-05-23	479	16	3		
2020-05-24	479	16	3		
2020-05-25	479	16	3		
2020-05-26	479	17	2		
2020-05-27	481	17	2		
2020-05-28	485	17	1		
2020-05-29	493	17	2		
2020-05-30	505	17	2		
2020-05-31	515	17	2		
2020-06-01	519	17	2		
2020-06-02	523	17	1		
2020-06-03	525	17	1		
2020-06-04	539	17	1		
2020-06-05	541	18	1		
2020-06-06	540	18	1		
2020-06-07	545	18	2		
2020-06-08	548	18	2		
2020-06-09	554	18	5		
2020-06-10	561	18	7		
2020-06-11	563	18	7		
2020-06-12	573	18	7		
2020-06-13	588	18	7		
2020-06-14	601	19	6		
2020-06-15	609	19	7		
2020-06-16	614	19	8		
2020-06-17	630	20	5		
2020-06-18	655	20	8		
2020-06-19	666	20	9		
2020-06-20	698	20	10		
2020-06-21	717	20	15		
2020-06-22	740	21	15		
2020-06-23	743	21	15		
2020-06-24	766	21	17		
2020-06-25	803	21	15		
2020-06-26	829	22	14		
2020-06-27	852	22	9		
2020-06-28	863	22	11		
2020-06-29	919	22	13		
2020-06-30	967	22	12		
2020-07-01	1016	22	14		
2020-07-02	1083	22	14		
2020-07-03	1128	23	17		
2020-07-04	1167	23	20		
2020-07-05	1212	23	20		
2020-07-06	1249	23	20		
2020-07-07	1327	23	22		
2020-07-08	1371	23	22		
2020-07-09	1466	25	24		
2020-07-10	1593	28	21		
2020-07-11	1677	29	24		
2020-07-12	1758	29	26		
2020-07-13	1843	32	28		
2020-07-14	1952	34	29		
2020-07-15	2096	34	37		
