# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	0				
2020-03-08	0				
2020-03-09	0				
2020-03-10	0				
2020-03-11	5				
2020-03-12	8				
2020-03-13	9				
2020-03-14	9				
2020-03-15	9				
2020-03-16	10				
2020-03-17	11				
2020-03-18	11	1			
2020-03-19	11	1			
2020-03-20	14	1			
2020-03-21	14	1			
2020-03-22	21	1			
2020-03-23	28	1			
2020-03-24	30	1			
2020-03-25	41	1			
2020-03-26	46	1			
2020-03-27	58	1			
2020-03-28	68	1			
2020-03-29	90	1			
2020-03-30	101	1			
2020-03-31	108	1			
2020-04-01	129	2			
2020-04-02	165	2			
2020-04-03	187	2			
2020-04-04	212	2			
2020-04-05	240	2			
2020-04-06	288	4			
2020-04-07	320	6			
2020-04-08	393	6			
2020-04-09	447	6			
2020-04-10	536	6			
2020-04-11	626	6			
2020-04-12	730	6			
2020-04-13	868	6			
2020-04-14	988	6			
2020-04-15	1168	6			
2020-04-16	1311	7			
2020-04-17	1411	7			
2020-04-18	1542	7			
2020-04-19	1635	7			
2020-04-20	1685	7			
2020-04-21	1755	8	65		
2020-04-22	1858	8	62		
2020-04-23	1956	9	58		
2020-04-24	2040	10	61		
2020-04-25	2147	10	61		
2020-04-26	2212	11	64		
2020-04-27	2245	11	61		
2020-04-28	2313	11	69		
2020-04-29	2373	13	69		
2020-04-30	2449	17	76		
2020-05-01	2525	21	69		
2020-05-02	2588	21	71		
2020-05-03	2631	21	71		
2020-05-04	2668	21	69		
2020-05-05	2721	24	75		
2020-05-06	2779	29	72		
2020-05-07	2905	31	70		
2020-05-08	3144	31	76		
2020-05-09	3393	34	79		
2020-05-10	3517	34	77		
2020-05-11	3614	34	78		
2020-05-12	3663	39	74		
2020-05-13	3732	39	79		
2020-05-14	3792	43	85		
2020-05-15	3887	44	80		
2020-05-16	3959	44	75		
2020-05-17	3987	44	77		
2020-05-18	4027	44	77		
2020-05-19	4085	46	75		
2020-05-20	4177	46	81		
2020-05-21	4250	48	91		
2020-05-22	4356	50	83		
2020-05-23	4468	50	90		
2020-05-24	4563	50	85		
2020-05-25	4586	50	99		
2020-05-26	4653	50	106		
2020-05-27	4710	54	101		
2020-05-28	4793	54	105		
2020-05-29	4866	59	95		
2020-05-30	4960	62	93		
2020-05-31	4993	62	86		
2020-06-01	5034	62	87		
2020-06-02	5067	62	89		
2020-06-03	5162	62	87		
2020-06-04	5247	64	86		
2020-06-05	5277	65	83		
2020-06-06	5367	65	93		
2020-06-07	5438	65	87		
2020-06-08	5471	65	92		
2020-06-09	5523	68	90		
2020-06-10	5604	69	101		
2020-06-11	5665	73	87		
2020-06-12	5742	74	87		
2020-06-13	5833	75	85		
2020-06-14	5898	75	87		
2020-06-15	5928	75	93		
2020-06-16	5966	77	92		
2020-06-17	6050	78	91		
2020-06-18	6109	78	93		
2020-06-19	6158	81	95		
2020-06-20	6225	81	91		
2020-06-21	6297	81	89		
2020-06-22	6326	81	88		
2020-06-23	6353	83	85		
2020-06-24	6419	84	81		
2020-06-25	6479	87	79		
2020-06-26	6535	88	79		
2020-06-27	6626	91	73		
