# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-03-01	9				
2020-03-02	18				
2020-03-03	34				
2020-03-04	52				
2020-03-05	72				
2020-03-06	98				
2020-03-07	128				
2020-03-08	168				
2020-03-09	254				
2020-03-10	358				
2020-03-11	497				
2020-03-12	702				
2020-03-13	945				
2020-03-14	1196				
2020-03-15	1480				
2020-03-16	1933				
2020-03-17	3659	2			
2020-03-18	4531	5			
2020-03-19	5276	10			
2020-03-20	6219	13			
2020-03-21	7023	23			
2020-03-22	7822	36			
2020-03-23	9062	57			
2020-03-24	10155	86			
2020-03-25	11335	111			
2020-03-26	12475	159			
2020-03-27	13799	212			
2020-03-28	14865	283			
2020-03-29	15784	351			
2020-03-30	17363	437			
2020-03-31	18654	551			
2020-04-01	20246	676			
2020-04-02	21376	801			
2020-04-03	22579	918			
2020-04-04	23581	1030			
2020-04-05	24458	1150			
2020-04-06	25785	1291			
2020-04-07	26964	1449			
2020-04-08	28064	1600			
2020-04-09	29096	1756	3826	1628	
2020-04-10	30172	1917	3823	1663	
2020-04-11	30980	2081	3636	1582	
2020-04-12	31666	2249	3636	1582	
2020-04-13	32702	2391	3986	1570	
2020-04-14	33613	2532	3910	1497	
2020-04-15	34533	2672	3918	1468	
2020-04-16	35455	2841	3809	1447	
2020-04-17	36320	2984	3674	1428	
2020-04-18	37029	3107	3634	1423	
2020-04-19	37557	3236	3403	1344	
2020-04-20	38494	3347	3374	1346	
2020-04-21	39589	3471	3357	1346	
2020-04-22	40705	3602	3305	1350	
2020-04-23	41694	3711	3611	1148	
2020-04-24	42730	3818	3022	1176	
2020-04-25	43263	3929	2889	1164	
2020-04-26	43789	4036	2757	1099	
2020-04-27	44709	4148	2667	1059	
2020-04-28	45538	4247	2623	1027	
2020-04-29	46488	4335	2498	997	
2020-04-30	47505	4434	2319	966	
2020-05-01	48240	4520	2319	966	
2020-05-02	48672	4579	2100	850	
2020-05-03	49029	4641	2100	850	
2020-05-04	49809	4722	1948	839	
2020-05-05	50497	4781	1948	839	
2020-05-06	51131	4839	1818	794	
2020-05-07	51731	4925	1697	753	
2020-05-08	52349	4987	1637	725	
2020-05-09	52732	5036	1531	683	
2020-05-10	53033	5081	1437	674	
2020-05-11	54004	5139	1424	685	
2020-05-12	55641	5188	1384	693	
2020-05-13	56458	5232	1384	693	
2020-05-14	57036	5278	1330	653	
2020-05-15	57687	5325	1256	532	
2020-05-16	58023	5357	1256	532	
2020-05-17	58278	5396	1114	488	
2020-05-18	58812	5427	1075	473	
2020-05-19	59576	5470	1079	486	
2020-05-20	60151	5514	1066	492	
2020-05-21	60610	5555	1054	472	
2020-05-22	61075	5586	955	470	
2020-05-23	61293	5612	953	449	
2020-05-24	61457	5640	953	449	
2020-05-25	61632	5678	953	449	
2020-05-26	62075	5703	953	449	
2020-05-27	62461	5727	882	388	
2020-05-28	62797	5751	860	405	
2020-05-29	63116	5778	774	371	
2020-05-30	63321	5802	774	371	
2020-05-31	63568	5818	774	371	
2020-06-01	63813	5843	674	346	
2020-06-02	64103	5869	674	346	
2020-06-03	64382	5884	646	328	
2020-06-04	64616	5901	617	321	
2020-06-05	64821	5909	617	321	
2020-06-06	64914	5916	864	315	
2020-06-07	64969	5927	864	315	
2020-06-08	65104	5942	661	249	
2020-06-09	65167	5951	661	249	
2020-06-10	65182	5952	661	249	
2020-06-11	65449	5985	661	249	
2020-06-12	65672	5990	636	253	
2020-06-13	65836	6013	636	253	
2020-06-14	66054	6016	636	253	
2020-06-15	66085	6017	562	210	
2020-06-16	66269	6034	562	210	
2020-06-17	66497	6036	562	210	
2020-06-18	66798	6061	557	209	
2020-06-19	67097	6067	557	209	
2020-06-20	67545	6087	557	209	
2020-06-21	67711	6090	324	181	
2020-06-22	67957	6097	557	209	
2020-06-23	68197	6109	557	209	
2020-06-24	68555	6114	557	209	
2020-06-25	68989	6133	557	193	
2020-06-26	69329	6134	557	193	
2020-06-27	69679	6153	557	193	
