# Data source: https://covidtracking.com/api/states/daily
# Data provenance: The COVID Tracking Project
# License: Apache License 2.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-27					
2020-02-28					
2020-02-29					
2020-03-01					
2020-03-02					
2020-03-03					
2020-03-04					
2020-03-05					
2020-03-06	1				
2020-03-07	1				
2020-03-08	2				
2020-03-09	2				
2020-03-10	6				
2020-03-11	10				
2020-03-12	12				
2020-03-13	12				
2020-03-14	15	0			
2020-03-15	19	0			
2020-03-16	24	1			
2020-03-17	30	2			
2020-03-18	39	2			
2020-03-19	56	2			
2020-03-20	79	2			
2020-03-21	126	4			
2020-03-22	201	6			
2020-03-23	259	7			
2020-03-24	365	12			
2020-03-25	477	14			
2020-03-26	645	17			
2020-03-27	981	24			
2020-03-28	1232	31			
2020-03-29	1514	32			
2020-03-30	1786	35			
2020-03-31	2159	49			
2020-04-01	2565	65			
2020-04-02	3039	78			
2020-04-03	3437	102			
2020-04-04	3953	116			
2020-04-05	4411	127			
2020-04-06	4944	139		924	
2020-04-07	5507	173		924	
2020-04-08	5943	203		924	
2020-04-09	6351	245		924	
2020-04-10	6907	300		820	
2020-04-11	7435	330		820	
2020-04-12	7928	343		820	
2020-04-13	8236	350		740	
2020-04-14	8527	388		721	
2020-04-15	8955	436		737	
2020-04-16	9542	477		696	
2020-04-17	10154	519		638	
2020-04-18	10641	545		663	
2020-04-19	11210	562		649	
2020-04-20	11686	569		669	
2020-04-21	12097	630		676	
2020-04-22	12438	661		633	
2020-04-23	13039	706		652	
2020-04-24	13680	741		621	
2020-04-25	14395	785	1515	598	
2020-04-26	15012	813	1446	589	
2020-04-27	15961	844	1493	581	
2020-04-28	16588	901	1518	546	
2020-04-29	17182	1065	1484	570	
2020-04-30	17835	1114	1466	549	
2020-05-01	18630	1175	1431	514	
2020-05-02	19295	1229	1456	487	
2020-05-03	19933	1246	1398	476	
2020-05-04	20507	1264	1449	483	
2020-05-05	21033	1326	1537	480	
2020-05-06	21870	1377	1558	526	
2020-05-07	22503	1414	1457	487	
2020-05-08	23146	1447	1379	481	
2020-05-09	23732	1490	1361	458	
2020-05-10	24126	1508	1328	462	
2020-05-11	24627	1540	1346	452	
2020-05-12	25127	1578	1283	472	
2020-05-13	25473	1619	1336	481	
2020-05-14	26053	1646	1381	488	
2020-05-15	26655	1691	1294	492	
2020-05-16	27280	1741	1274	426	
2020-05-17	27778	1751	1246	441	
2020-05-18	28255	1765	1244	426	
2020-05-19	28705	1824	1268	421	
2020-05-20	29274	1864	1288	431	
2020-05-21	29936	1913	1166	409	
2020-05-22	30409	1941	1203	416	
2020-05-23	30901	1943	1138	403	
2020-05-24	31376	1976	1112	396	
2020-05-25	31715	1976	1102	365	
2020-05-26	32078	2004	1088	365	
2020-05-27	32437	2030	1122	400	
2020-05-28	33068	2068	1131	411	
