# Data source: https://github.com/spigolotti/covid2019data_okinawa/blob/master/okinawaCOVID19.csv
# Data provenance: https://okinawa.stopcovid19.jp/en/?fbclid=IwAR2MxJ3yYdpGJn7gb3OXc4JzX8CMHSHUWjtwU3t7JnuoNXv1OQI64zz0VsU
# License: MIT
time	cases	deaths	hospitalized	icu	recovered
2020-03-18	3	0	1		2
2020-03-19	3	0	1		2
2020-03-20	3	0	1		2
2020-03-21	3	0	1		2
2020-03-22	3	0	1		2
2020-03-23	3	0	1		2
2020-03-24	4	0	2		2
2020-03-25	4	0	2		2
2020-03-26	4	0	2		2
2020-03-27	6	0	4		2
2020-03-28	6	0	4		2
2020-03-29	8	0	6		2
2020-03-30	9	0	7		2
2020-03-31	9	0	7		2
2020-04-01	9	0	7		2
2020-04-02	9	0	7		2
2020-04-03	9	0	7		2
2020-04-04	9	0	7		2
2020-04-05	9	0	7		2
2020-04-06	15	0	13		2
2020-04-07	27	0	25		2
2020-04-08	32	0	29		3
2020-04-09	42	0	39		3
2020-04-10	49	0	46		3
2020-04-11	49	0	46		3
2020-04-12	66	0	63		3
2020-04-13	72	0	69		3
2020-04-14	76	0	73		3
2020-04-15	86	0	83		3
2020-04-16	86	1	79		6
2020-04-17	101	1	94		6
2020-04-18	101	1	94		6
2020-04-19	110	1	103		6
2020-04-20	121	3	107		11
2020-04-21	121	3	107		11
2020-04-22	130	3	116		11
2020-04-23	132	3	118		11
2020-04-24	133	4	118		11
2020-04-25	133	4	118		11
2020-04-26	133	4	118		11
2020-04-27	138	4	111		23
2020-04-28	142	4	115		23
