# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	0	0			
2020-03-13	0	1			
2020-03-14	1	1			
2020-03-15	1	1			
2020-03-16	1	1			
2020-03-17	1	1			
2020-03-18	1	1			
2020-03-19	1	1			
2020-03-20	1	1			
2020-03-21	2	1			
2020-03-22	2	1			
2020-03-23	2	1			
2020-03-24	3	1			
2020-03-25	3	1			
2020-03-26	3	1			
2020-03-27	3	1			
2020-03-28	5	1			
2020-03-29	5	1			
2020-03-30	6	2			
2020-03-31	7	2			
2020-04-01	7	2			
2020-04-02	7	2			
2020-04-03	10	2			
2020-04-04	10	2			
2020-04-05	12	2			
2020-04-06	12	2			
2020-04-07	14	2			
2020-04-08	14	2			
2020-04-09	14	2			
2020-04-10	15	2			
2020-04-11	19	2			
2020-04-12	19	2			
2020-04-13	19	4			
2020-04-14	29	5			
2020-04-15	32	5			
2020-04-16	32	5			
2020-04-17	32	6			
2020-04-18	66	10			
2020-04-19	66	10			
2020-04-20	92	12			
2020-04-21	107	12			
2020-04-22	140	13			
2020-04-23	162	16			
2020-04-24	174	16			
2020-04-25	213	17			
2020-04-26	237	21			
2020-04-27	275	22			
2020-04-28	318	25			
2020-04-29	375	28			
2020-04-30	375	31			
2020-05-01	442	36			
2020-05-02	533	41			
2020-05-03	592	41			
2020-05-04	678	41			
2020-05-05	778	45			
2020-05-06	852	49			
2020-05-07	930	52			
2020-05-08	930	59			
2020-05-09	1111	64			
2020-05-10	1164	70			
2020-05-11	1365	74			
2020-05-12	1526	80			
2020-05-13	1660	90			
2020-05-14	1818	90			
2020-05-15	1964	91			
2020-05-16	1964	97			
2020-05-17	2289	97			
2020-05-18	2591	105			
2020-05-19	2591	111			
2020-05-20	2728	111			
2020-05-21	3138	121			
2020-05-22	3138	137			
2020-05-23	3378	146			
2020-05-24	3634	165			
2020-05-25	3826	170			
2020-05-26	3976	170			
2020-05-27	4146	195			
2020-05-28	4346	195			
2020-05-29	4346	233			
2020-05-30	4521	262			
2020-05-31	4800	286			
2020-06-01	5026	298			
2020-06-02	5173	307			
2020-06-03	5310	314			
2020-06-04	5499	333			
2020-06-05	5714	347			
2020-06-06	5866	359			
2020-06-07	6081	359			
2020-06-08	6081	372			
2020-06-09	6242	389			
2020-06-10	6427	401			
2020-06-11	6582	413			
2020-06-12	6730	433			
2020-06-13	6879	447			
2020-06-14	7007	459			
2020-06-15	7220	468			
2020-06-16	7435	477			
2020-06-17	7740	487			
2020-06-18	8020	487			
2020-06-19	8020	506			
2020-06-20	8416	521			
2020-06-21	8580	521			
2020-06-22	8698	533			
2020-06-23	8796	548			
2020-06-24	8887	548			
2020-06-25	8887	556			
2020-06-26	8982	572			
2020-06-27	9257	572			
2020-06-28	9314	572			
2020-06-29	9320	572			
2020-06-30	9372	572			
2020-07-01	9500	602			
2020-07-02	9573	602			
2020-07-03	9689	604			
2020-07-04	9689	608			
2020-07-05	9767	608			
2020-07-06	9767	616			
2020-07-07	9894	622			
2020-07-08	9997	636			
2020-07-09	10084	641			
2020-07-10	10204	649			
2020-07-11	10204	650			
2020-07-12	10250	650			
2020-07-13	10250	657			
2020-07-14	10316	659			
2020-07-15	10417	668			
2020-07-16	10527	668			
2020-07-17	10527	668			
2020-07-18	10527	673			
2020-07-19	10762	693			
2020-07-20	10992	693			
2020-07-21	10992	693			
2020-07-22	11127	708			
2020-07-23	11237	708			
2020-07-24	11302	715			
2020-07-25	11302	717			
2020-07-26	11385	717			
2020-07-27	11424	720			
2020-07-28	11496	725			
2020-07-29	11579	725			
2020-07-30	11579	725			
2020-07-31	11579	746			
2020-08-01	11644	752			
2020-08-02	11738	752			
2020-08-03	11738	752			
2020-08-04	11780	763			
2020-08-05	11780	763			
2020-08-06	11850	763			
2020-08-07	11894	773			
2020-08-08	11894	773			
2020-08-09	11956	781			
2020-08-10	12033	781			
2020-08-11	12033	786			
2020-08-12	12115	786			
2020-08-13	12162	792			
2020-08-14	12211	793			
2020-08-15	12314	796			
2020-08-16	12410	798			
2020-08-17	12485	803			
2020-08-18	12546	805			
2020-08-19	12582	808			
2020-08-20	12623	812			
2020-08-21	12682	812			
2020-08-22	12836	815			
2020-08-23	12903	815			
2020-08-24	12974	818			
2020-08-25	12974	819			
2020-08-26	13045	819			
2020-08-27	13082	823			
2020-08-28	13189	823			
2020-08-29	13189	823			
2020-08-30	13189	823			
2020-08-31	13189	823			
2020-09-01	13189	823			
2020-09-02	13189	823			
2020-09-03	13189	823			
2020-09-04	13189	823			
2020-09-05	13407	832			
2020-09-06	13437	833			
2020-09-07	13437	833			
2020-09-08	13470	833			
2020-09-09	13470	833			
2020-09-10	13470	833			
2020-09-11	13516	834			
2020-09-12	13532	834			
2020-09-13	13532	835			
2020-09-14	13532	836			
2020-09-15	13535	836			
2020-09-16	13535	836			
2020-09-17	13535	836			
2020-09-18	13555	836			
2020-09-19	13555	836			
2020-09-20	13555	836			
2020-09-21	13576	836			
2020-09-22	13578	836			
2020-09-23	13578	836			
2020-09-24	13592	836			
2020-09-25	13604	836			
2020-09-26	13606	836			
2020-09-27	13610	836			
2020-09-28	13613	836			
2020-09-29	13640	836			
2020-09-30	13646	836			
2020-10-01	13653	836			
2020-10-02	13657	836			
2020-10-03	13658	836			
2020-10-04	13660	836			
2020-10-05	13660	836			
2020-10-06	13668	836			
2020-10-07	13668	836			
2020-10-08	13670	836			
2020-10-09	13673	836			
2020-10-10	13682	836			
2020-10-11	13685	836			
2020-10-12	13691	836			
2020-10-13	13691	836			
2020-10-14	13697	836			
2020-10-15	13697	836			
2020-10-16	13700	836			
2020-10-17	13700	836			
2020-10-18	13711	836			
2020-10-19	13724	836			
2020-10-20	13724	836			
2020-10-21	13728	836			
2020-10-22	13728	836			
2020-10-23	13733	836			
2020-10-24	13733	837			
2020-10-25	13742	837			
2020-10-26	13742	837			
2020-10-27	13747	837			
2020-10-28	13765	837			
2020-10-29	13777	837			
2020-10-30	13804	837			
2020-10-31	13804	837			
