# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-04-05	1	0			
2020-04-06	1	0			
2020-04-07	2	0			
2020-04-08	2	0			
2020-04-09	3	0			
2020-04-10	4	0			
2020-04-11	4	0			
2020-04-12	4	0			
2020-04-13	4	0			
2020-04-14	4	0			
2020-04-15	4	0			
2020-04-16	4	0			
2020-04-17	4	0			
2020-04-18	4	0			
2020-04-19	4	0			
2020-04-20	4	0			
2020-04-21	4	0			
2020-04-22	4	0			
2020-04-23	5	0			
2020-04-24	5	0			
2020-04-25	5	0			
2020-04-26	6	0			
2020-04-27	6	0			
2020-04-28	34	0			
2020-04-29	34	0			
2020-04-30	35	0			
2020-05-01	45	0			
2020-05-02	45	0			
2020-05-03	46	0			
2020-05-04	46	0			
2020-05-05	52	0			
2020-05-06	58	0			
2020-05-07	74	0			
2020-05-08	120	0			
2020-05-09	120	0			
2020-05-10	120	0			
2020-05-11	156	0			
2020-05-12	194	0			
2020-05-13	203	0			
2020-05-14	203	0			
2020-05-15	236	4			
2020-05-16	236	4			
2020-05-17	290	4			
2020-05-18	290	4			
2020-05-19	290	4			
2020-05-20	290	4			
2020-05-21	481	4			
2020-05-22	563	6			
2020-05-23	655	8			
2020-05-24	655	8			
2020-05-25	806	8			
2020-05-26	806	8			
2020-05-27	994	10			
2020-05-28	994	10			
2020-05-29	994	10			
2020-05-30	994	10			
2020-05-31	994	10			
2020-06-01	994	10			
2020-06-02	994	10			
2020-06-03	994	10			
2020-06-04	994	10			
2020-06-05	994	10			
2020-06-06	994	10			
2020-06-07	1317	14			
2020-06-08	1604	19			
2020-06-09	1604	19			
2020-06-10	1604	19			
2020-06-11	1670	24			
2020-06-12	1670	24			
2020-06-13	1693	27			
2020-06-14	1693	27			
2020-06-15	1693	27			
2020-06-16	1776	30			
2020-06-17	1813	31			
2020-06-18	1830	32			
2020-06-19	1864	34			
2020-06-20	1882	34			
2020-06-21	1892	34			
2020-06-22	1916	35			
2020-06-23	1930	36			
2020-06-24	1942	36			
2020-06-25	1942	36			
2020-06-26	1942	36			
2020-06-27	1942	36			
2020-06-28	1989	36			
2020-06-29	1989	36			
2020-06-30	2007	38			
2020-07-01	2021	38			
2020-07-02	2021	38			
2020-07-03	2021	38			
2020-07-04	2021	38			
2020-07-05	2021	38			
2020-07-06	2021	38			
2020-07-07	2021	38			
2020-07-08	2021	38			
2020-07-09	2021	38			
2020-07-10	2021	38			
2020-07-11	2021	38			
2020-07-12	2021	38			
2020-07-13	2148	41			
2020-07-14	2148	41			
2020-07-15	2153	41			
2020-07-16	2171	41			
2020-07-17	2191	43			
2020-07-18	2191	43			
2020-07-19	2200	43			
2020-07-20	2211	45			
