# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-24	2	0			
2020-01-25	3	0			
2020-01-26	3	0			
2020-01-27	3	0			
2020-01-28	4	0			
2020-01-29	5	0			
2020-01-30	5	0			
2020-01-31	5	0			
2020-02-01	6	0			
2020-02-02	6	0			
2020-02-03	6	0			
2020-02-04	6	0			
2020-02-05	6	0			
2020-02-06	6	0			
2020-02-07	6	0			
2020-02-08	11	0			
2020-02-09	11	0			
2020-02-10	11	0			
2020-02-11	11	0			
2020-02-12	11	0			
2020-02-13	11	0			
2020-02-14	11	0			
2020-02-15	12	1			
2020-02-16	12	1			
2020-02-17	12	1			
2020-02-18	12	1			
2020-02-19	12	1			
2020-02-20	12	1			
2020-02-21	12	1			
2020-02-22	12	1			
2020-02-23	12	1			
2020-02-24	12	1			
2020-02-25	14	1			
2020-02-26	18	2			
2020-02-27	38	2			
2020-02-28	57	2			
2020-02-29	100	2			
2020-03-01	130	2			
2020-03-02	191	3			
2020-03-03	212	4			
2020-03-04	288	4			
2020-03-05	426	7			
2020-03-06	616	9			
2020-03-07	948	16			
2020-03-08	1125	19			
2020-03-09	1411	25			
2020-03-10	1783	33			
2020-03-11	2293	48			
2020-03-12	2293	48			
2020-03-13	3681	79			
2020-03-14	4496	91			
2020-03-15	4532	91			
2020-03-16	6683	149			
2020-03-17	7715	149			
2020-03-18	9124	149			
2020-03-19	10970	244			
2020-03-20	12758	451			
2020-03-21	14463	563			
2020-03-22	16758	676			
2020-03-23	20123	862			
2020-03-24	22372	1102			
2020-03-25	25334	1333			
2020-03-26	29252	1697			
2020-03-27	33047	1996			
2020-03-28	37692	2314			
2020-03-29	40295	2608			
2020-03-30	44649	3026			
2020-03-31	52278	3526			
2020-04-01	57122	4778			
2020-04-02	59228	5387			
2020-04-03	64452	6509			
2020-04-04	47378	7562			
2020-04-05	48233	8081			
2020-04-06	50887	8914			
2020-04-07	47396	10330			
2020-04-08	51251	10874			
2020-04-09	55035	12214			
2020-04-10	56600	13199			
2020-04-11	58045	13835			
2020-04-12	108791	14396			
2020-04-13	111932	14969			
2020-04-14	129380	15712			
2020-04-15	132588	17150			
2020-04-16	145166	17903			
2020-04-17	147057	18664			
2020-04-18	150863	19305			
2020-04-19	151955	19694			
2020-04-20	154402	20241			
2020-04-21	157068	20769			
2020-04-22	158868	21313			
2020-04-23	157158	21829			
2020-04-24	159969	22219			
2020-04-25	161647	22588			
2020-04-26	162280	22830			
2020-04-27	165966	23267			
2020-04-28	169098	23634			
2020-04-29	167643	24060			
2020-04-30	168861	24349			
2020-05-01	169387	24566			
2020-05-02	170179	24763			
2020-05-03	170540	24898			
2020-05-04	171102	25204			
2020-05-05	172219	25537			
2020-05-06	176355	25812			
2020-05-07	177096	25991			
2020-05-08	177627	26233			
2020-05-09	178156	26313			
2020-05-10	178405	26383			
2020-05-11	178719	26646			
2020-05-12	179472	26994			
2020-05-13	179993	27079			
2020-05-14	180635	27430			
2020-05-15	181148	27532			
2020-05-16	181563	27630			
2020-05-17	181703	28113			
2020-05-18	182147	28242			
2020-05-19	182648	28025			
2020-05-20	183130	28136			
2020-05-21	183397	28218			
2020-05-22	184153	28366			
2020-05-23	184699	28452			
2020-05-24	184260	28372			
2020-05-25	184585	28461			
2020-05-26	184840	28598			
2020-05-27	185012	28599			
2020-05-28	188355	28666			
2020-05-29	188949	28717			
2020-05-30	190744	28774			
2020-05-31	190975	28805			
2020-06-01	191382	28837			
2020-06-02	190735	28943			
2020-06-03	187509	29024			
2020-06-04	191869	29069			
2020-06-05	192450	29114			
2020-06-06	193022	29145			
2020-06-07	193363	29158			
2020-06-08	193637	29213			
2020-06-09	194190	29301			
2020-06-10	194815	29322			
2020-06-11	195179	29349			
2020-06-12	195981	29377			
2020-06-13	196478	29401			
2020-06-14	196868	29411			
2020-06-15	197004	29439			
2020-06-16	197667	29553			
2020-06-17	198155	29578			
2020-06-18	198741	29606			
2020-06-19	199528	29620			
2020-06-20	200147	29638			
2020-06-21	200490	29644			
2020-06-22	200632	29668			
2020-06-23	201330	29722			
2020-06-24	201598	29735			
2020-06-25	201853	29754			
2020-06-26	203116	29780			
2020-06-27	203564	29781			
2020-06-28	203158	29781			
2020-06-29	203803	29816			
2020-06-30	204244	29846			
2020-07-01	205234	29865			
2020-07-02	205773	29878			
2020-07-03	206312	29896			
2020-07-04	206670	29896			
2020-07-05	206681	29895			
2020-07-06	207699	29925			
2020-07-07	208153	29936			
2020-07-08	208975	29967			
2020-07-09	209419	29983			
2020-07-10	210134	30009			
2020-07-11	210385	30012			
2020-07-12	210401	30012			
2020-07-13	211824	30035			
2020-07-14	211886	30037			
2020-07-15	212613	30125			
2020-07-16	213182	30142			
2020-07-17	214011	30155			
2020-07-18	214174	30158			
2020-07-19	214178	30158			
2020-07-20	216089	30182			
2020-07-21	216684	30169			
2020-07-22	217605	30175			
2020-07-23	218841	30186			
2020-07-24	219932	30196			
2020-07-25	220020	30196			
2020-07-26	220020	30196			
2020-07-27	222508	30214			
2020-07-28	223072	30227			
2020-07-29	224542	30241			
2020-07-30	225931	30257			
2020-07-31	227239	30268			
2020-08-01	227302	30268			
2020-08-02	227305	30268			
2020-08-03	230665	30298			
2020-08-04	231636	30300			
2020-08-05	233344	30311			
2020-08-06	234945	30315			
2020-08-07	237332	30328			
