# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	2	0			
2020-03-10	2	0			
2020-03-11	2	0			
2020-03-12	2	0			
2020-03-13	2	0			
2020-03-14	2	0			
2020-03-15	2	0			
2020-03-16	2	0			
2020-03-17	3	0			
2020-03-18	8	0			
2020-03-19	8	0			
2020-03-20	12	0			
2020-03-21	22	0			
2020-03-22	30	0			
2020-03-23	40	1			
2020-03-24	44	1			
2020-03-25	51	1			
2020-03-26	65	1			
2020-03-27	70	1			
2020-03-28	89	1			
2020-03-29	111	1			
2020-03-30	131	2			
2020-03-31	135	2			
2020-04-01	174	2			
2020-04-02	184	2			
2020-04-03	210	4			
2020-04-04	214	4			
2020-04-05	232	5			
2020-04-06	238	5			
2020-04-07	254	6			
2020-04-08	276	6			
2020-04-09	288	7			
2020-04-10	305	7			
2020-04-11	318	10			
2020-04-12	323	10			
2020-04-13	343	10			
2020-04-14	373	11			
2020-04-15	407	12			
2020-04-16	442	13			
2020-04-17	493	17			
2020-04-18	542	19			
2020-04-19	627	21			
2020-04-20	665	22			
2020-04-21	665	22			
2020-04-22	873	28			
2020-04-23	981	31			
2020-04-24	1095	32			
2020-04-25	1182	35			
2020-04-26	1273	40			
2020-04-27	1337	40			
2020-04-28	1532	44			
2020-04-29	1728	51			
2020-04-30	1932	58			
2020-05-01	2170	68			
2020-05-02	2388	85			
2020-05-03	2558	87			
2020-05-04	2802	93			
2020-05-05	2950	98			
2020-05-06	3145	103			
2020-05-07	3526	107			
2020-05-08	3912	117			
2020-05-09	4151	128			
2020-05-10	4399	143			
2020-05-11	4641	150			
2020-05-12	4787	158			
2020-05-13	4971	164			
2020-05-14	5162	167			
2020-05-15	5450	171			
2020-05-16	5621	176			
2020-05-17	5959	182			
2020-05-18	6175	191			
2020-05-19	6401	192			
2020-05-20	6677	200			
2020-05-21	7016	211			
2020-05-22	7261	221			
2020-05-23	7526	221			
2020-05-24	7839	226			
2020-05-25	8068	233			
2020-05-26	8344	249			
2020-05-27	8733	254			
2020-05-28	8915	259			
2020-05-29	9302	261			
2020-05-30	9855	273			
2020-05-31	10162	287			
2020-06-01	10578	299			
2020-06-02	10819	314			
2020-06-03	11166	315			
2020-06-04	11516	323			
2020-06-05	11844	333			
2020-06-06	12233	342			
2020-06-07	12486	354			
2020-06-08	12801	361			
2020-06-09	13464	365			
2020-06-10	13873	382			
2020-06-11	14554	387			
2020-06-12	15181	399			
2020-06-13	15682	407			
2020-06-14	16085	420			
2020-06-15	16658	424			
2020-06-16	17148	455			
2020-06-17	17735	469			
2020-06-18	18480	475			
2020-06-19	19147	487			
2020-06-20	19808	506			
2020-06-21	20244	518			
2020-06-22	20919	525			
2020-06-23	21371	533			
2020-06-24	22020	542			
2020-06-25	22614	549			
2020-06-26	23298	554			
2020-06-27	24077	558			
2020-06-28	24567	565			
2020-06-29	25133	573			
2020-06-30	25694	590			
2020-07-01	26484	603			
2020-07-02	27110	616			
2020-07-03	27564	628			
2020-07-04	28167	634			
2020-07-05	28711	645			
2020-07-06	29286	654			
2020-07-07	29789	669			
2020-07-08	30249	684			
2020-07-09	30748	689			
2020-07-10	31323	709			
2020-07-11	31987	724			
2020-07-12	32558	740			
2020-07-13	33153	744			
2020-07-14	33616	754			
2020-07-15	34259	760			
2020-07-16	34854	769			
2020-07-17	35454	772			
2020-07-18	36107	778			
2020-07-19	36663	789			
2020-07-20	37225	801			
2020-07-21	37801	805			
2020-07-22	38344	813			
2020-07-23	38948	833			
2020-07-24	39539	845			
2020-07-25	39977	856			
2020-07-26	40532	858			
2020-07-27	41180	860			
2020-07-28	41804	868			
2020-07-29	42208	873			
2020-07-30	42689	878			
2020-07-31	43151	879			
2020-08-01	43537	883			
2020-08-02	43841	888			
2020-08-03	44129	896			
2020-08-04	44433	910			
2020-08-05	44890	927			
2020-08-06	45244	930			
