# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2021-05-21	0	0			
2021-05-22	0	0			
2021-05-23	0	0			
2021-05-24	0	0			
2021-05-25	0	0			
2021-05-26	0	0			
2021-05-27	0	0			
2021-05-28	0	0			
2021-05-29	0	0			
2021-05-30	0	0			
2021-05-31	0	0			
2021-06-01	0	0			
2021-06-02	0	0			
2021-06-03	0	0			
2021-06-04	0	0			
2021-06-05	0	0			
2021-06-06	0	0			
2021-06-07	0	0			
2021-06-08	0	0			
2021-06-09	0	0			
2021-06-10	0	0			
2021-06-11	0	0			
2021-06-12	0	0			
2021-06-13	0	0			
2021-06-14	0	0			
2021-06-15	0	0			
2021-06-16	0	0			
2021-06-17	0	0			
2021-06-18	0	0			
