# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-11	1	0			
2020-03-12	1	0			
2020-03-13	5	0			
2020-03-14	5	0			
2020-03-15	6	0			
2020-03-16	18	0			
2020-03-17	47	1			
2020-03-18	98	1			
2020-03-19	192	3			
2020-03-20	359	4			
2020-03-21	670	9			
2020-03-22	1236	30			
2020-03-23	1529	37			
2020-03-24	1872	44			
2020-03-25	2433	59			
2020-03-26	3629	75			
2020-03-27	5698	92			
2020-03-28	7402	108			
2020-03-29	9217	131			
2020-03-30	10827	168			
2020-03-31	13531	214			
2020-04-01	15679	277			
2020-04-02	18135	356			
2020-04-03	20921	425			
2020-04-04	23934	501			
2020-04-05	27069	574			
2020-04-06	30217	649			
2020-04-07	34109	725			
2020-04-08	38226	812			
2020-04-09	42282	908			
2020-04-10	47029	1006			
2020-04-11	52167	1101			
2020-04-12	56956	1198			
2020-04-13	61049	1296			
2020-04-14	65111	1403			
2020-04-15	69392	1518			
2020-04-16	74193	1643			
2020-04-17	78546	1769			
2020-04-18	82329	1890			
2020-04-19	86306	2017			
2020-04-20	90980	2140			
2020-04-21	95591	2259			
2020-04-22	98674	2376			
2020-04-23	101790	2491			
2020-04-24	104912	2600			
2020-04-25	107773	2706			
2020-04-26	110130	2805			
2020-04-27	112261	2900			
2020-04-28	114653	2992			
2020-04-29	117589	3081			
2020-04-30	120204	3174			
2020-05-01	122392	3258			
2020-05-02	124375	3336			
2020-05-03	126045	3397			
2020-05-04	127659	3461			
2020-05-05	129491	3520			
2020-05-06	131744	3584			
2020-05-07	133721	3641			
2020-05-08	135569	3689			
2020-05-09	137115	3739			
2020-05-10	138657	3786			
2020-05-11	139771	3841			
2020-05-12	141475	3894			
2020-05-13	143114	3952			
2020-05-14	144749	4007			
2020-05-15	146457	4055			
2020-05-16	148067	4096			
2020-05-17	149435	4140			
2020-05-18	150593	4171			
2020-05-19	151615	4199			
2020-05-20	152587	4222			
2020-05-21	153548	4249			
2020-05-22	154500	4276			
2020-05-23	155686	4308			
2020-05-24	156827	4340			
2020-05-25	157814	4369			
2020-05-26	158762	4397			
2020-05-27	159797	4431			
2020-05-28	160979	4461			
2020-05-29	162120	4489			
2020-05-30	163103	4515			
2020-05-31	163942	4540			
2020-06-01	164769	4563			
2020-06-02	165555	4585			
2020-06-03	166422	4609			
2020-06-04	167410	4630			
2020-06-05	168340	4648			
2020-06-06	169218	4669			
2020-06-07	170132	4692			
2020-06-08	171121	4711			
2020-06-09	172114	4729			
2020-06-10	173036	4746			
2020-06-11	174023	4763			
2020-06-12	175218	4778			
2020-06-13	176677	4792			
2020-06-14	178239	4807			
2020-06-15	179831	4825			
2020-06-16	181298	4842			
2020-06-17	182727	4861			
2020-06-18	184031	4882			
2020-06-19	185245	4905			
2020-06-20	186493	4927			
2020-06-21	187685	4950			
2020-06-22	188897	4974			
2020-06-23	190165	5001			
2020-06-24	191657	5025			
2020-06-25	193115	5046			
2020-06-26	194511	5065			
2020-06-27	195883	5082			
2020-06-28	197239	5097			
2020-06-29	198613	5115			
2020-06-30	199906	5131			
2020-07-01	201098	5150			
2020-07-02	202284	5167			
2020-07-03	203456	5186			
2020-07-04	204610	5206			
2020-07-05	205758	5225			
2020-07-06	206844	5241			
2020-07-07	207897	5260			
2020-07-08	208938	5282			
2020-07-09	209962	5300			
2020-07-10	210965	5323			
2020-07-11	211981	5344			
2020-07-12	212993	5363			
2020-07-13	214001	5382			
2020-07-14	214993	5402			
2020-07-15	215940	5419			
2020-07-16	216873	5440			
2020-07-17	217799	5458			
2020-07-18	218717	5475			
2020-07-19	219641	5491			
2020-07-20	220572	5508			
2020-07-21	221500	5526			
2020-07-22	222402	5545			
2020-07-23	223315	5563			
2020-07-24	224252	5580			
2020-07-25	225173	5596			
2020-07-26	226100	5613			
2020-07-27	227019	5630			
2020-07-28	227982	5645			
2020-07-29	228924	5659			
2020-07-30	229891	5674			
2020-07-31	230873	5691			
2020-08-01	231869	5710			
2020-08-02	232856	5728			
2020-08-03	233851	5747			
2020-08-04	234934	5765			
2020-08-05	236112	5784			
2020-08-06	237265	5798			
2020-08-07	238450	5813			
2020-08-08	239622	5829			
2020-08-09	240804	5844			
2020-08-10	241997	5858			
2020-08-11	243180	5873			
2020-08-12	244392	5891			
2020-08-13	245635	5912			
2020-08-14	246861	5934			
2020-08-15	248117	5955			
2020-08-16	249309	5974			
2020-08-17	250542	5996			
2020-08-18	251805	6016			
2020-08-19	253108	6039			
2020-08-20	254520	6058			
2020-08-21	255723	6080			
2020-08-22	257032	6102			
2020-08-23	258249	6121			
2020-08-24	259692	6139			
2020-08-25	261194	6163			
2020-08-26	262507	6183			
2020-08-27	263998	6209			
2020-08-28	265515	6245			
2020-08-29	267064	6284			
2020-08-30	268546	6326			
2020-08-31	270133	6370			
2020-09-01	271705	6417			
2020-09-02	273301	6462			
2020-09-03	274943	6511			
2020-09-04	276555	6564			
2020-09-05	278228	6620			
2020-09-06	279806	6673			
2020-09-07	281509	6730			
2020-09-08	283270	6782			
2020-09-09	284943	6837			
2020-09-10	286455	6895			
2020-09-11	288126	6951			
2020-09-12	289635	6999			
2020-09-13	291162	7056			
2020-09-14	292878	7119			
2020-09-15	294620	7186			
2020-09-16	296391	7249			
2020-09-17	298039	7315			
2020-09-18	299810	7377			
2020-09-19	301348	7445			
2020-09-20	302867	7506			
2020-09-21	304610	7574			
2020-09-22	306302	7639			
2020-09-23	308069	7711			
2020-09-24	309790	7785			
2020-09-25	311455	7858			
2020-09-26	312966	7929			
2020-09-27	314433	7997			
2020-09-28	315845	8062			
2020-09-29	317272	8130			
2020-09-30	318663	8195			
2020-10-01	320070	8262			
2020-10-02	321512	8325			
2020-10-03	323014	8384			
2020-10-04	324443	8441			
2020-10-05	326046	8498			
2020-10-06	327557	8553			
2020-10-07	329138	8609			
2020-10-08	330753	8667			
2020-10-09	332382	8722			
2020-10-10	334031	8778			
2020-10-11	335533	8837			
2020-10-12	337147	8895			
2020-10-13	338779	8957			
2020-10-14	340450	9014			
2020-10-15	342143	9080			
2020-10-16	343955	9153			
2020-10-17	345678	9224			
2020-10-18	347493	9296			
2020-10-19	349519	9371			
2020-10-20	351413	9445			
2020-10-21	353426	9513			
2020-10-22	355528	9584			
2020-10-23	357693	9658			
2020-10-24	359784	9727			
2020-10-25	361801	9799			
2020-10-26	363999	9874			
2020-10-27	366208	9950			
2020-10-28	368513	10027			
2020-10-29	370832	10099			
2020-10-30	373154	10177			
2020-10-31	375367	10252			
2020-11-01	377473	10326			
2020-11-02	379775	10402			
2020-11-03	382118	10481			
2020-11-04	384509	10558			
2020-11-05	386820	10639			
2020-11-06	389256	10722			
2020-11-07	391739	10803			
2020-11-08	394255	10887			
2020-11-09	396831	10972			
2020-11-10	399360	11059			
2020-11-11	402053	11145			
2020-11-12	404894	11233			
2020-11-13	407939	11326			
2020-11-14	411055	11418			
2020-11-15	414278	11507			
2020-11-16	417594	11601			
2020-11-17	421413	11704			
2020-11-18	425628	11820			
