# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-02	2	0			
2020-03-03	2	0			
2020-03-04	2	0			
2020-03-05	2	0			
2020-03-06	4	0			
2020-03-07	4	0			
2020-03-08	6	0			
2020-03-09	19	0			
2020-03-10	27	0			
2020-03-11	34	1			
2020-03-12	34	1			
2020-03-13	69	4			
2020-03-14	96	5			
2020-03-15	117	5			
2020-03-16	134	5			
2020-03-17	172	5			
2020-03-18	227	19			
2020-03-19	311	25			
2020-03-20	369	32			
2020-03-21	450	38			
2020-03-22	514	48			
2020-03-23	579	49			
2020-03-24	686	55			
2020-03-25	790	58			
2020-03-26	893	78			
2020-03-27	1046	87			
2020-03-28	1155	102			
2020-03-29	1285	114			
2020-03-30	1414	122			
2020-03-31	1528	136			
2020-04-01	1677	157			
2020-04-02	1790	170			
2020-04-03	1986	181			
2020-04-04	2092	191			
2020-04-05	2273	198			
2020-04-06	2491	209			
2020-04-07	2738	221			
2020-04-08	2956	240			
2020-04-09	3293	280			
2020-04-10	3512	306			
2020-04-11	3842	327			
2020-04-12	4241	373			
2020-04-13	4557	399			
2020-04-14	4839	459			
2020-04-15	5136	469			
2020-04-16	5516	496			
2020-04-17	5923	520			
2020-04-18	6248	535			
2020-04-19	6575	582			
2020-04-20	6760	590			
2020-04-21	7135	616			
2020-04-22	7418	635			
2020-04-23	7775	647			
2020-04-24	8211	689			
2020-04-25	8607	720			
2020-04-26	8882	743			
2020-04-27	9096	765			
2020-04-28	9511	773			
2020-04-29	9771	784			
2020-04-30	10118	792			
2020-05-01	10551	800			
2020-05-02	10843	831			
2020-05-03	11192	845			
2020-05-04	11587	864			
2020-05-05	12071	872			
2020-05-06	12438	895			
2020-05-07	12776	930			
2020-05-08	13112	943			
2020-05-09	13645	959			
2020-05-10	14032	973			
2020-05-11	14265	991			
2020-05-12	14749	1007			
2020-05-13	15438	1028			
2020-05-14	16006	1043			
2020-05-15	16496	1076			
2020-05-16	17025	1089			
2020-05-17	17514	1148			
2020-05-18	18010	1191			
2020-05-19	18496	1221			
2020-05-20	19189	1242			
2020-05-21	20162	1278			
2020-05-22	20796	1326			
2020-05-23	21745	1351			
2020-05-24	22271	1372			
2020-05-25	22750	1391			
2020-05-26	23165	1418			
2020-05-27	23851	1473			
2020-05-28	24538	1496			
2020-05-29	25216	1520			
2020-05-30	25773	1573			
2020-05-31	26473	1613			
2020-06-01	26940	1641			
2020-06-02	27549	1663			
2020-06-03	28233	1698			
2020-06-04	28818	1721			
2020-06-05	29521	1770			
2020-06-06	30514	1801			
2020-06-07	31186	1851			
2020-06-08	32033	1883			
2020-06-09	33076	1923			
2020-06-10	34316	1959			
2020-06-11	35295	2000			
2020-06-12	36406	2048			
2020-06-13	37420	2091			
2020-06-14	38277	2134			
2020-06-15	39294	2198			
2020-06-16	40400	2231			
2020-06-17	41431	2276			
2020-06-18	42762	2339			
2020-06-19	43803	2373			
2020-06-20	45029	2429			
2020-06-21	45891	2465			
2020-06-22	46845	2500			
2020-06-23	47896	2535			
2020-06-24	49009	2573			
2020-06-25	50187	2620			
2020-06-26	51427	2683			
2020-06-27	52812	2720			
2020-06-28	54010	2754			
2020-06-29	55092	2805			
2020-06-30	56385	2876			
2020-07-01	57770	2934			
2020-07-02	59394	2987			
2020-07-03	60695	3036			
2020-07-04	62142	3089			
2020-07-05	63749	3171			
2020-07-06	64958	3241			
2020-07-07	66226	3309			
2020-07-08	68079	3359			
2020-07-09	70736	3417			
2020-07-10	72347	3469			
2020-07-11	74018	3535			
2020-07-12	75699	3606			
2020-07-13	76981	3656			
2020-07-14	78572	3710			
2020-07-15	80094	3797			
2020-07-16	81668	3873			
2020-07-17	83130	3957			
2020-07-18	84882	4016			
2020-07-19	86521	4143			
2020-07-20	88214	4239			
2020-07-21	89869	4320			
2020-07-22	91751	4459			
2020-07-23	93657	4576			
2020-07-24	95418	4665			
2020-07-25	97286	4714			
2020-07-26	98778	4781			
2020-07-27	100303	4838			
2020-07-28	102051	4901			
2020-07-29	104432	4975			
2020-07-30	106336	5058			
2020-07-31	108376	5131			
2020-08-01	109936	5193			
2020-08-02	111455	5236			
2020-08-03	113134	5302			
2020-08-04	115056	5388			
2020-08-05	116871	5452			
2020-08-06	118753	5521			
2020-08-07	121226	5593			
2020-08-08	123503	5658			
2020-08-09	125396	5723			
2020-08-10	127083	5765			
2020-08-11	128776	5824			
2020-08-12	130718	5903			
2020-08-13	132816	5968			
2020-08-14	135123	6021			
2020-08-15	137468	6071			
2020-08-16	139549	6150			
2020-08-17	141370	6207			
2020-08-18	143043	6277			
2020-08-19	144945	6346			
2020-08-20	147211	6418			
2020-08-21	149408	6500			
2020-08-22	151498	6594			
2020-08-23	153535	6680			
2020-08-24	155412	6759			
2020-08-25	157859	6858			
2020-08-26	160165	6944			
2020-08-27	162884	7064			
2020-08-28	165887	7169			
2020-08-29	169195	7261			
2020-08-30	172053	7343			
2020-08-31	174796	7417			
2020-09-01	177571	7505			
2020-09-02	180646	7616			
2020-09-03	184268	7750			
2020-09-04	187537	7832			
2020-09-05	190665	7940			
2020-09-06	194109	8025			
2020-09-07	196989	8130			
2020-09-08	200035	8230			
2020-09-09	203342	8336			
2020-09-10	207203	8456			
2020-09-11	210940	8544			
2020-09-12	214746	8650			
2020-09-13	218382	8723			
2020-09-14	221523	8841			
2020-09-15	225030	8965			
2020-09-16	228993	9100			
2020-09-17	232628	9222			
2020-09-18	236519	9336			
2020-09-19	240687	9448			
2020-09-20	244676	9553			
2020-09-21	248852	9677			
2020-09-22	252923	9837			
2020-09-23	257388	9977			
2020-09-24	262022	10105			
2020-09-25	266845	10218			
2020-09-26	271339	10308			
2020-09-27	275213	10386			
2020-09-28	278722	10473			
2020-09-29	282724	10601			
2020-09-30	287008	10740			
2020-10-01	291182	10856			
2020-10-02	295499	10972			
2020-10-03	299506	11055			
2020-10-04	303498	11151			
2020-10-05	307120	11253			
2020-10-06	311176	11374			
2020-10-07	315714	11472			
2020-10-08	320564	11580			
2020-10-09	324658	11677			
2020-10-10	328952	11765			
2020-10-11	333449	11844			
2020-10-12	336716	11935			
2020-10-13	340622	12027			
2020-10-14	344749	12156			
2020-10-15	349160	12268			
2020-10-16	353461	12347			
2020-10-17	357762	12431			
2020-10-18	361867	12511			
2020-10-19	365240	12617			
2020-10-20	368842	12734			
2020-10-21	373109	12857			
2020-10-22	377541	12959			
2020-10-23	381910	13077			
2020-10-24	385980	13205			
2020-10-25	389712	13299			
2020-10-26	392934	13411			
