# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-13	4	0			
2020-03-14	6	0			
2020-03-15	8	0			
2020-03-16	29	0			
2020-03-17	50	0			
2020-03-18	79	0			
2020-03-19	94	0			
2020-03-20	110	0			
2020-03-21	135	0			
2020-03-22	158	0			
2020-03-23	162	0			
2020-03-24	189	0			
2020-03-25	217	0			
2020-03-26	238	0			
2020-03-27	274	0			
2020-03-28	303	1			
2020-03-29	309	1			
2020-03-30	320	1			
2020-03-31	338	1			
2020-04-01	350	2			
2020-04-02	369	4			
2020-04-03	386	4			
2020-04-04	400	5			
2020-04-05	406	6			
2020-04-06	415	6			
2020-04-07	424	7			
2020-04-08	456	7			
2020-04-09	473	7			
2020-04-10	494	7			
2020-04-11	501	7			
2020-04-12	480	7			
2020-04-13	483	8			
2020-04-14	492	8			
2020-04-15	493	9			
2020-04-16	502	9			
2020-04-17	508	9			
2020-04-18	517	9			
2020-04-19	528	10			
2020-04-20	535	10			
2020-04-21	543	12			
2020-04-22	549	12			
2020-04-23	557	12			
2020-04-24	563	12			
2020-04-25	596	14			
2020-04-26	606	15			
2020-04-27	620	15			
2020-04-28	625	15			
2020-04-29	630	15			
2020-04-30	643	17			
2020-05-01	648	17			
2020-05-02	652	17			
2020-05-03	655	17			
2020-05-04	657	17			
2020-05-05	670	17			
2020-05-06	673	17			
2020-05-07	684	17			
2020-05-08	694	18			
2020-05-09	702	18			
2020-05-10	707	19			
2020-05-11	711	19			
2020-05-12	717	19			
2020-05-13	719	19			
2020-05-14	724	19			
2020-05-15	732	19			
2020-05-16	733	19			
2020-05-17	734	20			
2020-05-18	737	20			
2020-05-19	738	20			
2020-05-20	746	20			
2020-05-21	749	20			
2020-05-22	753	20			
2020-05-23	764	22			
2020-05-24	769	22			
2020-05-25	787	22			
2020-05-26	789	22			
2020-05-27	803	22			
2020-05-28	811	22			
2020-05-29	816	22			
2020-05-30	821	22			
2020-05-31	823	22			
2020-06-01	825	23			
2020-06-02	826	23			
2020-06-03	828	23			
2020-06-04	832	23			
2020-06-05	834	23			
2020-06-06	845	23			
2020-06-07	845	23			
2020-06-08	845	23			
2020-06-09	846	23			
2020-06-10	847	23			
2020-06-11	847	23			
2020-06-12	847	23			
2020-06-13	847	23			
2020-06-14	848	23			
2020-06-15	848	23			
2020-06-16	849	24			
2020-06-17	849	24			
2020-06-18	850	24			
2020-06-19	853	24			
2020-06-20	859	25			
2020-06-21	876	25			
2020-06-22	882	25			
2020-06-23	885	25			
2020-06-24	902	26			
2020-06-25	907	26			
2020-06-26	919	26			
2020-06-27	924	26			
2020-06-28	929	27			
2020-06-29	932	27			
2020-06-30	936	27			
2020-07-01	943	28			
