# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-13	4	0			
2020-03-14	6	0			
2020-03-15	9	0			
2020-03-16	10	0			
2020-03-17	33	0			
2020-03-18	35	0			
2020-03-19	44	0			
2020-03-20	49	0			
2020-03-21	53	0			
2020-03-22	61	0			
2020-03-23	62	0			
2020-03-24	72	0			
2020-03-25	81	0			
2020-03-26	111	1			
2020-03-27	150	1			
2020-03-28	228	1			
2020-03-29	284	1			
2020-03-30	302	1			
2020-03-31	343	2			
2020-04-01	380	3			
2020-04-02	435	3			
2020-04-03	464	6			
2020-04-04	531	5			
2020-04-05	584	6			
2020-04-06	662	6			
2020-04-07	697	6			
2020-04-08	727	7			
2020-04-09	781	8			
2020-04-10	812	10			
2020-04-11	865	10			
2020-04-12	951	10			
2020-04-13	1091	12			
2020-04-14	1232	14			
2020-04-15	1295	16			
2020-04-16	1402	17			
2020-04-17	1546	17			
2020-04-18	1615	17			
2020-04-19	1676	17			
2020-04-20	1852	19			
2020-04-21	1995	19			
2020-04-22	2135	19			
2020-04-23	2289	20			
2020-04-24	2482	25			
2020-04-25	2601	25			
2020-04-26	2717	25			
2020-04-27	2835	25			
2020-04-28	3027	25			
2020-04-29	3138	25			
2020-04-30	3402	25			
2020-05-01	3597	25			
2020-05-02	3857	25			
2020-05-03	3920	27			
2020-05-04	4049	29			
2020-05-05	4205	29			
2020-05-06	4422	30			
2020-05-07	4578	30			
2020-05-08	4834	31			
2020-05-09	4975	31			
2020-05-10	5090	31			
2020-05-11	5207	32			
2020-05-12	5279	32			
2020-05-13	5417	32			
2020-05-14	5571	32			
2020-05-15	5689	34			
2020-05-16	5850	34			
2020-05-17	6157	34			
2020-05-18	6751	35			
2020-05-19	6751	35			
2020-05-20	6969	35			
2020-05-21	7234	35			
2020-05-22	7919	35			
2020-05-23	7919	35			
2020-05-24	8531	35			
2020-05-25	8969	35			
2020-05-26	8969	37			
2020-05-27	9304	37			
2020-05-28	9576	37			
2020-05-29	9932	37			
2020-05-30	10382	38			
2020-05-31	10858	40			
2020-06-01	11308	41			
2020-06-02	11571	44			
2020-06-03	12067	48			
2020-06-04	12067	52			
2020-06-05	12312	52			
2020-06-06	12511	53			
2020-06-07	12694	56			
2020-06-08	12859	56			
2020-06-09	13074	61			
2020-06-10	13319	67			
2020-06-11	13872	67			
2020-06-12	13872	70			
2020-06-13	14238	73			
2020-06-14	14496	77			
2020-06-15	15192	81			
2020-06-16	15542	88			
2020-06-17	15877	97			
2020-06-18	15877	100			
2020-06-19	16779	113			
2020-06-20	17225	118			
2020-06-21	17732	120			
2020-06-22	18231	127			
2020-06-23	18765	134			
2020-06-24	19285	136			
2020-06-25	19750	140			
