# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-01	1	0			
2020-02-02	1	0			
2020-02-03	1	0			
2020-02-04	1	0			
2020-02-05	1	0			
2020-02-06	1	0			
2020-02-07	1	0			
2020-02-08	1	0			
2020-02-09	1	0			
2020-02-10	1	0			
2020-02-11	1	0			
2020-02-12	1	0			
2020-02-13	1	0			
2020-02-14	1	0			
2020-02-15	1	0			
2020-02-16	1	0			
2020-02-17	1	0			
2020-02-18	1	0			
2020-02-19	1	0			
2020-02-20	1	0			
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	2	0			
2020-02-27	3	0			
2020-02-28	11	0			
2020-02-29	14	0			
2020-03-01	14	0			
2020-03-02	19	0			
2020-03-03	32	0			
2020-03-04	62	0			
2020-03-05	87	0			
2020-03-06	146	0			
2020-03-07	179	0			
2020-03-08	225	0			
2020-03-09	326	0			
2020-03-10	424	1			
2020-03-11	620	1			
2020-03-12	771	2			
2020-03-13	923	3			
2020-03-14	994	5			
2020-03-15	1063	7			
2020-03-16	1146	8			
2020-03-17	1265	14			
2020-03-18	1410	21			
2020-03-19	1553	30			
2020-03-20	1733	38			
2020-03-21	1868	49			
2020-03-22	1986	60			
2020-03-23	2168	81			
2020-03-24	2398	103			
2020-03-25	2712	134			
2020-03-26	2998	166			
2020-03-27	3363	201			
2020-03-28	3663	239			
2020-03-29	3943	284			
2020-03-30	4359	332			
2020-03-31	4834	385			
2020-04-01	5320	455			
2020-04-02	5874	535			
2020-04-03	6475	605			
2020-04-04	6832	690			
2020-04-05	7172	780			
2020-04-06	7561	864			
2020-04-07	8299	979			
2020-04-08	8954	1065			
2020-04-09	9599	1155			
2020-04-10	10053	1258			
2020-04-11	10448	1355			
2020-04-12	10912	1440			
2020-04-13	11349	1531			
2020-04-14	11828	1646			
2020-04-15	12432	1757			
2020-04-16	13055	1839			
2020-04-17	13743	1925			
2020-04-18	14275	2013			
2020-04-19	14663	2097			
2020-04-20	15124	2159			
2020-04-21	15831	2236			
2020-04-22	16553	2322			
2020-04-23	17311	2411			
