# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-02	1	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	5	0			
2020-03-06	5	0			
2020-03-07	5	0			
2020-03-08	11	0			
2020-03-09	15	0			
2020-03-10	20	0			
2020-03-11	21	0			
2020-03-12	45	0			
2020-03-13	86	0			
2020-03-14	103	0			
2020-03-15	103	0			
2020-03-16	118	0			
2020-03-17	171	0			
2020-03-18	171	0			
2020-03-19	274	0			
2020-03-20	344	0			
2020-03-21	392	0			
2020-03-22	511	0			
2020-03-23	562	0			
2020-03-24	767	1			
2020-03-25	900	2			
2020-03-26	1012	3			
2020-03-27	1104	3			
2020-03-28	1203	4			
2020-03-29	1299	8			
2020-03-30	1453	8			
2020-03-31	1563	10			
2020-04-01	1720	16			
2020-04-02	1885	21			
2020-04-03	2039	25			
2020-04-04	2179	29			
2020-04-05	2402	34			
2020-04-06	2605	38			
2020-04-07	2795	41			
2020-04-08	2932	41			
2020-04-09	3287	44			
2020-04-10	3651	47			
2020-04-11	4033	52			
2020-04-12	4462	59			
2020-04-13	4934	65			
2020-04-14	5369	73			
2020-04-15	5862	79			
2020-04-16	6380	83			
2020-04-17	7142	87			
2020-04-18	8274	92			
2020-04-19	9362	97			
2020-04-20	10484	103			
2020-04-21	11631	109			
2020-04-22	12772	114			
2020-04-23	13930	121			
2020-04-24	15102	127			
2020-04-25	16299	136			
2020-04-26	17522	139			
2020-04-27	18811	144			
2020-04-28	20077	152			
2020-04-29	21402	157			
2020-04-30	22753	162			
2020-05-01	24097	169			
2020-05-02	25459	176			
2020-05-03	27011	184			
2020-05-04	28656	191			
2020-05-05	30251	200			
2020-05-06	31938	209			
2020-05-07	33731	219			
2020-05-08	35432	229			
2020-05-09	37136	239			
2020-05-10	39048	246			
2020-05-11	41014	255			
2020-05-12	42925	264			
2020-05-13	44830	273			
2020-05-14	46869	283			
2020-05-15	49176	292			
2020-05-16	52016	302			
2020-05-17	54752	312			
2020-05-18	57345	320			
2020-05-19	59854	329			
2020-05-20	62545	339			
2020-05-21	65077	351			
2020-05-22	67719	364			
2020-05-23	70161	379			
2020-05-24	72560	390			
2020-05-25	74795	399			
2020-05-26	76726	411			
2020-05-27	78541	425			
2020-05-28	80185	441			
2020-05-29	81766	458			
2020-05-30	83384	480			
2020-05-31	85261	503			
2020-06-01	87142	525			
2020-06-02	89011	549			
2020-06-03	91182	579			
2020-06-04	93157	611			
2020-06-05	95748	642			
2020-06-06	98869	676			
2020-06-07	101914	712			
2020-06-08	105283	746			
2020-06-09	108571	783			
2020-06-10	112288	819			
2020-06-11	116021	857			
2020-06-12	119942	893			
2020-06-13	123308	932			
2020-06-14	127541	972			
2020-06-15	132048	1011			
2020-06-16	136315	1052			
2020-06-17	141234	1091			
2020-06-18	145991	1139			
2020-06-19	150292	1184			
2020-06-20	154233	1230			
2020-06-21	157612	1267			
2020-06-22	161005	1307			
2020-06-23	164144	1346			
2020-06-24	167267	1387			
2020-06-25	170639	1428			
2020-06-26	174577	1474			
2020-06-27	178504	1511			
2020-06-28	182493	1551			
2020-06-29	186436	1599			
2020-06-30	190823	1649			
2020-07-01	194225	1698			
2020-07-02	197608	1752			
2020-07-03	201801	1802			
2020-07-04	205929	1858			
2020-07-05	209509	1916			
2020-07-06	213716	1968			
2020-07-07	217108	2017			
2020-07-08	220144	2059			
2020-07-09	223327	2100			
2020-07-10	226486	2151			
2020-07-11	229480	2181			
2020-07-12	232259	2223			
2020-07-13	235111	2243			
