# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	5	0			
2020-02-27	7	0			
2020-02-28	7	0			
2020-02-29	13	0			
2020-03-01	19	0			
2020-03-02	26	0			
2020-03-03	32	0			
2020-03-04	35	2			
2020-03-05	35	2			
2020-03-06	40	3			
2020-03-07	54	4			
2020-03-08	60	6			
2020-03-09	60	6			
2020-03-10	71	7			
2020-03-11	71	7			
2020-03-12	71	8			
2020-03-13	101	9			
2020-03-14	110	10			
2020-03-15	116	10			
2020-03-16	124	10			
2020-03-17	154	11			
2020-03-18	164	12			
2020-03-19	192	13			
2020-03-20	208	17			
2020-03-21	214	17			
2020-03-22	233	20			
2020-03-23	266	23			
2020-03-24	316	27			
2020-03-25	346	29			
2020-03-26	382	36			
2020-03-27	458	40			
2020-03-28	506	42			
2020-03-29	547	42			
2020-03-30	630	46			
2020-03-31	694	50			
2020-04-01	728	52			
2020-04-02	772	54			
2020-04-03	820	54			
2020-04-04	878	56			
2020-04-05	961	61			
2020-04-06	1031	64			
2020-04-07	1122	65			
2020-04-08	1202	69			
2020-04-09	1232	69			
2020-04-10	1279	70			
2020-04-11	1318	72			
2020-04-12	1352	76			
2020-04-13	1378	78			
2020-04-14	1400	78			
2020-04-15	1415	79			
2020-04-16	1434	80			
2020-04-17	1482	81			
2020-04-18	1513	82			
2020-04-19	1539	82			
2020-04-20	1574	82			
2020-04-21	1602	83			
2020-04-22	1631	83			
2020-04-23	1677	83			
2020-04-24	1708	86			
2020-04-25	1763	86			
2020-04-26	1820	87			
2020-04-27	1847	88			
2020-04-28	1928	90			
2020-04-29	2003	92			
2020-04-30	2085	93			
2020-05-01	2153	94			
2020-05-02	2219	95			
2020-05-03	2296	97			
2020-05-04	2346	98			
2020-05-05	2431	102			
2020-05-06	2480	102			
2020-05-07	2543	102			
2020-05-08	2603	104			
2020-05-09	2679	107			
2020-05-10	2767	109			
2020-05-11	2818	110			
2020-05-12	2913	112			
2020-05-13	3032	115			
2020-05-14	3143	115			
2020-05-15	3193	117			
2020-05-16	3260	121			
2020-05-17	3404	123			
2020-05-18	3554	127			
2020-05-19	3611	131			
2020-05-20	3724	134			
2020-05-21	3877	140			
2020-05-22	3964	147			
2020-05-23	4272	152			
2020-05-24	4469	160			
2020-05-25	4632	163			
2020-05-26	4848	169			
2020-05-27	5135	175			
2020-05-28	5457	179			
2020-05-29	5873	185			
2020-05-30	6179	195			
2020-05-31	6439	205			
2020-06-01	6868	215			
2020-06-02	7387	235			
2020-06-03	8168	256			
2020-06-04	8840	271			
2020-06-05	9846	285			
2020-06-06	11098	318			
2020-06-07	12366	346			
2020-06-08	13481	370			
2020-06-09	14268	392			
2020-06-10	15414	426			
2020-06-11	16675	457			
2020-06-12	17770	496			
2020-06-13	18950	549			
2020-06-14	20209	607			
2020-06-15	21315	652			
2020-06-16	22700	712			
2020-06-17	24254	773			
2020-06-18	25717	856			
2020-06-19	27352	925			
2020-06-20	29222	1013			
2020-06-21	30868	1100			
2020-06-22	32676	1167			
2020-06-23	34502	1251			
2020-06-24	36702	1330			
2020-06-25	39139	1437			
2020-06-26	41193	1559			
2020-06-27	43262	1660			
2020-06-28	45402	1756			
2020-06-29	47151	1839			
2020-06-30	49109	1943			
2020-07-01	51524	2050			
2020-07-02	53708	2160			
2020-07-03	56020	2262			
2020-07-04	58354	2368			
2020-07-05	60479	2473			
2020-07-06	62275	2567			
2020-07-07	64701	2685			
2020-07-08	67442	2779			
2020-07-09	69612	2882			
2020-07-10	72460	2960			
2020-07-11	75194	3055			
2020-07-12	77506	3150			
2020-07-13	79735	3250			
2020-07-14	81757	3345			
2020-07-15	83867	3432			
2020-07-16	86148	3522			
2020-07-17	88171	3616			
2020-07-18	90220	3691			
2020-07-19	92530	3781			
2020-07-20	94693	3869			
2020-07-21	97159	3950			
2020-07-22	99865	4042			
2020-07-23	102226	4122			
2020-07-24	104711	4212			
2020-07-25	107573	4284			
2020-07-26	110032	4362			
2020-07-27	112585	4458			
2020-07-28	115332	4535			
2020-07-29	118300	4603			
2020-07-30	121263	4671			
2020-07-31	124609	4741			
2020-08-01	126704	4805			
2020-08-02	129151	4868			
2020-08-03	131886	4934			
2020-08-04	134722	5017			
2020-08-05	137556	5094			
2020-08-06	140603	5161			
2020-08-07	144064	5236			
2020-08-08	147389	5310			
2020-08-09	150115	5392			
2020-08-10	153599	5464			
2020-08-11	156995	5531			
2020-08-12	160436	5588			
2020-08-13	164277	5641			
2020-08-14	168290	5709			
2020-08-15	172583	5785			
2020-08-16	176931	5860			
2020-08-17	180133	5954			
2020-08-18	184709	6036			
2020-08-19	188802	6121			
2020-08-20	192797	6208			
2020-08-21	197085	6283			
2020-08-22	201050	6353			
2020-08-23	204341	6428			
2020-08-24	207985	6519			
2020-08-25	211947	6596			
2020-08-26	215784	6668			
2020-08-27	219435	6740			
2020-08-28	223612	6814			
2020-08-29	227446	6891			
2020-08-30	231177	6959			
2020-08-31	234934	7042			
2020-09-01	238338	7123			
2020-09-02	242284	7201			
2020-09-03	247039	7275			
2020-09-04	252075	7359			
2020-09-05	256719	7422			
2020-09-06	260370	7512			
2020-09-07	264684	7589			
2020-09-08	269578	7657			
2020-09-09	273821	7732			
2020-09-10	278418	7814			
2020-09-11	282672	7881			
2020-09-12	286778	7941			
2020-09-13	290309	8014			
2020-09-14	294478	8086			
2020-09-15	298702	8166			
2020-09-16	303059	8248			
2020-09-17	307385	8332			
2020-09-18	311690	8408			
2020-09-19	315597	8491			
2020-09-20	319035	8555			
2020-09-21	322856	8625			
2020-09-22	327580	8682			
2020-09-23	332635	8754			
2020-09-24	337106	8799			
2020-09-25	341699	8867			
2020-09-26	345969	8935			
2020-09-27	349450	8990			
2020-09-28	353566	9052			
2020-09-29	358290	9122			
2020-09-30	362981	9181			
2020-10-01	367474	9231			
2020-10-02	372259	9298			
2020-10-03	375931	9347			
2020-10-04	379141	9399			
2020-10-05	382949	9464			
2020-10-06	387121	9531			
2020-10-07	391044	9604			
2020-10-08	394566	9683			
2020-10-09	397780	9735			
2020-10-10	400124	9790			
2020-10-11	402330	9852			
2020-10-12	405437	9912			
2020-10-13	409358	9970			
2020-10-14	413215	10021			
2020-10-15	416802	10086			
2020-10-16	420303	10142			
2020-10-17	423524	10198			
2020-10-18	426634	10254			
2020-10-19	430678	10317			
2020-10-20	434598	10366			
2020-10-21	438265	10418			
2020-10-22	442164	10465			
2020-10-23	445949	10513			
2020-10-24	449153	10568			
2020-10-25	451707	10623			
2020-10-26	455398	10671			
2020-10-27	459908	10724			
2020-10-28	463951	10770			
2020-10-29	467755	10815			
2020-10-30	470633	10862			
2020-10-31	472630	10910			
2020-11-01	475288	10966			
2020-11-02	478701	11017			
2020-11-03	482296	11068			
2020-11-04	485870	11128			
2020-11-05	489571	11175			
2020-11-06	493139	11244			
2020-11-07	496019	11283			
2020-11-08	498549	11327			
2020-11-09	501733	11380			
2020-11-10	505310	11432			
2020-11-11	508508	11482			
2020-11-12	511806	11532			
2020-11-13	514496	11580			
2020-11-14	516915	11623			
2020-11-15	519152	11670			
2020-11-16	521542	11712			
2020-11-17	524503	11752			
2020-11-18	526852	11795			
2020-11-19	529226	11834			
2020-11-20	531769	11883			
2020-11-21	533555	11925			
2020-11-22	535321	11958			
2020-11-23	537457	11996			
2020-11-24	539749	12031			
2020-11-25	542187	12086			
2020-11-26	544670	12125			
2020-11-27	547215	12167			
2020-11-28	548821	12200			
2020-11-29	550435	12224			
2020-11-30	552549	12258			
2020-12-01	554767	12306			
2020-12-02	556728	12340			
2020-12-03	558767	12361			
2020-12-04	560622	12387			
2020-12-05	562520	12411			
2020-12-06	564200	12432			
2020-12-07	566015	12460			
2020-12-08	568138	12477			
2020-12-09	569873	12501			
2020-12-10	571253	12526			
2020-12-11	572600	12549			
2020-12-12	573622	12565			
2020-12-13	574634	12579			
2020-12-14	575972	12603			
2020-12-15	577363	12614			
2020-12-16	578916	12636			
2020-12-17	580449	12650			
2020-12-18	581811	12670			
2020-12-19	583118	12680			
2020-12-20	584145	12697			
2020-12-21	585345	12710			
2020-12-22	586503	12725			
2020-12-23	587676	12737			
2020-12-24	588803	12744			
2020-12-25	589943	12755			
2020-12-26	590779	12767			
2020-12-27	591597	12780			
2020-12-28	592528	12791			
2020-12-29	593541	12800			
2020-12-30	594442	12808			
2020-12-31	595291	12813			
2021-01-01	596193	12824			
2021-01-02	597033	12829			
2021-01-03	597774	12834			
2021-01-04	598369	12844			
2021-01-05	599126	12856			
