# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	1	0			
2020-03-23	1	0			
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	1	0			
2020-03-27	1	0			
2020-03-28	1	0			
2020-03-29	1	0			
2020-03-30	1	0			
2020-03-31	1	0			
2020-04-01	1	0			
2020-04-02	1	0			
2020-04-03	1	0			
2020-04-04	1	0			
2020-04-05	1	0			
2020-04-06	2	0			
2020-04-07	2	0			
2020-04-08	2	0			
2020-04-09	2	0			
2020-04-10	2	0			
2020-04-11	2	0			
2020-04-12	2	0			
2020-04-13	2	0			
2020-04-14	2	0			
2020-04-15	2	0			
2020-04-16	7	0			
2020-04-17	7	0			
2020-04-18	7	0			
2020-04-19	7	0			
2020-04-20	7	0			
2020-04-21	7	0			
2020-04-22	8	0			
2020-04-23	8	0			
2020-04-24	8	0			
2020-04-25	8	0			
2020-04-26	8	0			
2020-04-27	8	0			
2020-04-28	8	0			
2020-04-29	8	0			
2020-04-30	8	0			
2020-05-01	8	0			
2020-05-02	8	0			
2020-05-03	8	0			
2020-05-04	8	0			
2020-05-05	8	0			
2020-05-06	8	0			
2020-05-07	8	0			
2020-05-08	8	0			
2020-05-09	8	0			
2020-05-10	8	0			
2020-05-11	8	0			
2020-05-12	8	0			
2020-05-13	8	0			
2020-05-14	8	0			
2020-05-15	8	0			
2020-05-16	8	0			
2020-05-17	8	0			
2020-05-18	8	0			
2020-05-19	8	0			
2020-05-20	8	0			
2020-05-21	8	0			
2020-05-22	8	0			
2020-05-23	8	0			
2020-05-24	8	0			
2020-05-25	8	0			
2020-05-26	8	0			
2020-05-27	8	0			
2020-05-28	8	0			
2020-05-29	8	0			
2020-05-30	8	0			
2020-05-31	8	0			
2020-06-01	8	0			
2020-06-02	8	0			
2020-06-03	8	0			
2020-06-04	8	0			
2020-06-05	8	0			
2020-06-06	8	0			
2020-06-07	8	0			
2020-06-08	8	0			
2020-06-09	8	0			
2020-06-10	8	0			
2020-06-11	8	0			
2020-06-12	8	0			
2020-06-13	8	0			
2020-06-14	8	0			
2020-06-15	8	0			
2020-06-16	8	0			
2020-06-17	8	0			
2020-06-18	8	0			
2020-06-19	8	0			
2020-06-20	8	0			
2020-06-21	8	0			
2020-06-22	9	0			
2020-06-23	9	0			
2020-06-24	10	0			
2020-06-25	10	0			
2020-06-26	11	0			
2020-06-27	11	0			
2020-06-28	11	0			
2020-06-29	11	0			
2020-06-30	11	0			
2020-07-01	11	0			
2020-07-02	11	0			
2020-07-03	11	0			
2020-07-04	11	0			
2020-07-05	11	0			
2020-07-06	11	0			
2020-07-07	11	0			
2020-07-08	11	0			
2020-07-09	11	0			
2020-07-10	11	0			
2020-07-11	11	0			
2020-07-12	11	0			
2020-07-13	11	0			
2020-07-14	11	0			
2020-07-15	11	0			
2020-07-16	11	0			
2020-07-17	15	0			
2020-07-18	16	0			
2020-07-19	16	0			
2020-07-20	19	0			
2020-07-21	27	0			
2020-07-22	30	0			
2020-07-23	31	0			
2020-07-24	32	0			
2020-07-25	39	0			
2020-07-26	62	0			
2020-07-27	62	0			
2020-07-28	63	0			
2020-07-29	63	1			
2020-07-30	63	2			
2020-07-31	72	2			
2020-08-01	91	2			
2020-08-02	110	2			
2020-08-03	111	2			
2020-08-04	114	2			
2020-08-05	153	2			
2020-08-06	163	3			
2020-08-07	188	3			
2020-08-08	188	3			
2020-08-09	214	3			
2020-08-10	214	3			
2020-08-11	214	3			
2020-08-12	287	3			
2020-08-13	271	3			
2020-08-14	271	3			
2020-08-15	271	3			
2020-08-16	323	3			
2020-08-17	333	3			
2020-08-18	347	3			
2020-08-19	347	3			
2020-08-20	361	4			
2020-08-21	361	4			
2020-08-22	361	4			
2020-08-23	401	4			
2020-08-24	401	4			
2020-08-25	419	4			
2020-08-26	419	4			
2020-08-27	424	4			
2020-08-28	453	5			
2020-08-29	453	5			
2020-08-30	459	5			
2020-08-31	459	5			
2020-09-01	460	5			
2020-09-02	471	5			
2020-09-03	471	5			
2020-09-04	479	5			
2020-09-05	488	5			
2020-09-06	497	5			
2020-09-07	497	5			
2020-09-08	503	5			
2020-09-09	504	5			
2020-09-10	507	5			
2020-09-11	508	5			
2020-09-12	508	5			
2020-09-13	510	6			
2020-09-14	511	6			
2020-09-15	511	6			
2020-09-16	516	6			
2020-09-17	516	6			
2020-09-18	516	6			
2020-09-19	516	6			
2020-09-20	517	7			
2020-09-21	517	7			
2020-09-22	527	7			
2020-09-23	527	7			
2020-09-24	531	7			
2020-09-25	532	7			
2020-09-26	532	7			
2020-09-27	532	7			
2020-09-28	532	7			
2020-09-29	534	7			
2020-09-30	534	7			
2020-10-01	539	7			
2020-10-02	539	7			
2020-10-03	540	7			
2020-10-04	540	7			
2020-10-05	540	7			
2020-10-06	541	7			
2020-10-07	541	7			
2020-10-08	549	7			
2020-10-09	549	7			
2020-10-10	549	7			
2020-10-11	554	7			
2020-10-12	565	7			
2020-10-13	565	7			
2020-10-14	578	7			
2020-10-15	578	7			
2020-10-16	578	7			
2020-10-17	581	7			
2020-10-18	581	7			
2020-10-19	581	7			
2020-10-20	581	7			
2020-10-21	581	7			
2020-10-22	583	7			
2020-10-23	583	7			
2020-10-24	583	7			
2020-10-25	583	7			
2020-10-26	588	7			
2020-10-27	588	7			
2020-10-28	588	7			
2020-10-29	589	7			
2020-10-30	589	7			
2020-10-31	589	7			
2020-11-01	589	7			
2020-11-02	590	7			
2020-11-03	597	7			
2020-11-04	597	7			
2020-11-05	597	7			
2020-11-06	597	7			
2020-11-07	597	7			
2020-11-08	599	7			
2020-11-09	599	7			
2020-11-10	599	7			
2020-11-11	599	7			
2020-11-12	599	7			
2020-11-13	600	7			
2020-11-14	600	7			
2020-11-15	602	7			
2020-11-16	602	7			
2020-11-17	602	7			
2020-11-18	604	7			
2020-11-19	604	7			
2020-11-20	604	7			
2020-11-21	604	7			
2020-11-22	604	7			
2020-11-23	630	7			
2020-11-24	630	7			
2020-11-25	645	7			
2020-11-26	645	7			
2020-11-27	645	7			
2020-11-28	645	7			
2020-11-29	645	7			
2020-11-30	656	7			
2020-12-01	669	7			
2020-12-02	669	7			
2020-12-03	671	7			
2020-12-04	671	7			
2020-12-05	671	7			
2020-12-06	671	7			
2020-12-07	671	7			
2020-12-08	684	7			
2020-12-09	684	7			
2020-12-10	684	7			
2020-12-11	720	8			
2020-12-12	720	8			
2020-12-13	725	8			
2020-12-14	725	8			
2020-12-15	729	8			
2020-12-16	729	8			
2020-12-17	760	8			
2020-12-18	760	8			
2020-12-19	760	8			
2020-12-20	760	8			
2020-12-21	761	9			
2020-12-22	761	9			
2020-12-23	761	9			
2020-12-24	780	9			
2020-12-25	780	9			
2020-12-26	780	9			
2020-12-27	780	9			
2020-12-28	780	9			
2020-12-29	780	9			
2020-12-30	780	9			
2020-12-31	780	9			
2021-01-01	780	9			
2021-01-02	780	9			
2021-01-03	799	9			
2021-01-04	799	9			
2021-01-05	799	9			
2021-01-06	799	9			
2021-01-07	799	9			
2021-01-08	811	9			
2021-01-09	811	9			
2021-01-10	811	9			
2021-01-11	819	9			
2021-01-12	823	9			
2021-01-13	833	9			
2021-01-14	834	9			
2021-01-15	834	9			
2021-01-16	834	9			
2021-01-17	834	9			
2021-01-18	834	9			
2021-01-19	834	9			
2021-01-20	835	9			
2021-01-21	835	9			
2021-01-22	835	9			
2021-01-23	835	9			
2021-01-24	835	9			
2021-01-25	835	9			
2021-01-26	850	9			
2021-01-27	851	9			
