# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	3	0			
2020-03-15	6	0			
2020-03-16	6	0			
2020-03-17	7	0			
2020-03-18	7	0			
2020-03-19	11	0			
2020-03-20	16	0			
2020-03-21	19	1			
2020-03-22	23	1			
2020-03-23	27	2			
2020-03-24	53	2			
2020-03-25	93	4			
2020-03-26	132	4			
2020-03-27	137	4			
2020-03-28	141	5			
2020-03-29	152	5			
2020-03-30	152	5			
2020-03-31	161	5			
2020-04-01	195	5			
2020-04-02	204	5			
2020-04-03	205	5			
2020-04-04	205	5			
2020-04-05	214	5			
2020-04-06	214	5			
2020-04-07	287	5			
2020-04-08	313	6			
2020-04-09	378	6			
2020-04-10	378	6			
2020-04-11	408	8			
2020-04-12	566	8			
2020-04-13	566	8			
2020-04-14	636	8			
2020-04-15	636	8			
2020-04-16	641	8			
2020-04-17	641	8			
2020-04-18	834	9			
2020-04-19	1042	9			
2020-04-20	1042	9			
2020-04-21	1042	9			
2020-04-22	1154	9			
2020-04-23	1154	9			
2020-04-24	1279	10			
2020-04-25	1279	10			
2020-04-26	1550	11			
2020-04-27	1550	11			
2020-04-28	1671	16			
2020-04-29	1671	16			
2020-04-30	2074	17			
2020-05-01	2074	17			
2020-05-02	2169	18			
2020-05-03	2169	18			
2020-05-04	2719	18			
2020-05-05	2719	18			
2020-05-06	3091	18			
2020-05-07	3091	18			
2020-05-08	4012	18			
2020-05-09	4263	22			
2020-05-10	4263	22			
2020-05-11	4700	22			
2020-05-12	5127	22			
2020-05-13	5408	24			
2020-05-14	5530	24			
2020-05-15	5638	28			
2020-05-16	5735	29			
2020-05-17	5735	29			
2020-05-18	5735	29			
2020-05-19	6096	31			
2020-05-20	6269	31			
2020-05-21	6269	31			
2020-05-22	6486	31			
2020-05-23	6617	31			
2020-05-24	6683	32			
2020-05-25	6808	32			
2020-05-26	7117	34			
2020-05-27	7303	34			
2020-05-28	7303	34			
2020-05-29	7616	34			
2020-05-30	7768	35			
2020-05-31	8070	36			
2020-06-01	8070	36			
2020-06-02	8297	38			
2020-06-03	8548	38			
2020-06-04	8885	38			
2020-06-05	9168	42			
2020-06-06	9462	44			
2020-06-07	9638	44			
2020-06-08	9910	48			
2020-06-09	10201	48			
2020-06-10	10201	48			
2020-06-11	10358	48			
2020-06-12	10856	48			
2020-06-13	11118	48			
2020-06-14	11964	54			
2020-06-15	11964	54			
2020-06-16	12193	58			
2020-06-17	12590	66			
2020-06-18	12929	66			
2020-06-19	13203	70			
2020-06-20	13717	85			
2020-06-21	14154	85			
2020-06-22	14154	85			
2020-06-23	14568	95			
2020-06-24	15013	95			
2020-06-25	15473	95			
2020-06-26	15834	103			
2020-06-27	16431	103			
2020-06-28	16742	112			
2020-06-29	17351	112			
2020-06-30	17741	112			
2020-07-01	18134	117			
2020-07-02	18134	117			
2020-07-03	19388	117			
2020-07-04	19388	117			
2020-07-05	20085	122			
2020-07-06	21077	129			
2020-07-07	21968	129			
2020-07-08	22822	129			
2020-07-09	23463	129			
2020-07-10	23834	135			
2020-07-11	24248	135			
2020-07-12	24518	139			
2020-07-13	24988	139			
2020-07-14	24988	139			
2020-07-15	25430	139			
2020-07-16	26125	139			
2020-07-17	26572	144			
2020-07-18	27060	145			
2020-07-19	27667	148			
2020-07-20	28430	153			
2020-07-21	28989	153			
2020-07-22	29672	153			
2020-07-23	29672	153			
2020-07-24	31057	161			
2020-07-25	31851	161			
2020-07-26	32969	168			
2020-07-27	33624	168			
2020-07-28	34406	168			
2020-07-29	35142	175			
2020-07-30	35142	175			
2020-07-31	35501	182			
2020-08-01	37014	182			
2020-08-02	37014	182			
2020-08-03	37812	191			
2020-08-04	37812	191			
2020-08-05	39075	199			
2020-08-06	39642	199			
2020-08-07	40097	206			
2020-08-08	40533	206			
2020-08-09	41003	215			
2020-08-10	41212	215			
2020-08-11	41404	215			
2020-08-12	41572	223			
2020-08-13	41725	223			
2020-08-14	41847	223			
2020-08-15	42210	231			
2020-08-16	42532	231			
2020-08-17	42653	239			
2020-08-18	42993	248			
2020-08-19	43094	256			
2020-08-20	43260	261			
2020-08-21	43325	261			
2020-08-22	43325	261			
2020-08-23	43505	261			
2020-08-24	43622	263			
2020-08-25	43717	270			
2020-08-26	43769	270			
2020-08-27	43841	270			
2020-08-28	43949	270			
2020-08-29	44118	270			
2020-08-30	44205	276			
2020-08-31	44298	276			
2020-09-01	44460	276			
2020-09-02	44658	276			
2020-09-03	44713	280			
2020-09-04	44777	283			
2020-09-05	44777	283			
2020-09-06	44777	283			
2020-09-07	44869	283			
2020-09-08	45012	283			
2020-09-09	45313	283			
2020-09-10	45313	283			
2020-09-11	45388	285			
2020-09-12	45434	286			
2020-09-13	45434	286			
2020-09-14	45601	294			
2020-09-15	45655	294			
2020-09-16	45655	294			
2020-09-17	45714	294			
2020-09-18	45760	295			
2020-09-19	45877	297			
2020-09-20	46004	297			
2020-09-21	46062	297			
2020-09-22	46062	297			
2020-09-23	46153	299			
2020-09-24	46222	299			
2020-09-25	46222	299			
2020-09-26	46222	299			
2020-09-27	46387	299			
2020-09-28	46444	299			
2020-09-29	46482	301			
2020-09-30	46626	301			
2020-10-01	46656	301			
2020-10-02	46694	301			
2020-10-03	46803	303			
2020-10-04	46829	303			
2020-10-05	46829	303			
2020-10-06	46829	303			
2020-10-07	46829	303			
2020-10-08	46947	306			
2020-10-09	46987	306			
2020-10-10	47005	306			
2020-10-11	47005	306			
2020-10-12	47030	308			
2020-10-13	47126	310			
2020-10-14	47126	310			
2020-10-15	47173	310			
2020-10-16	47173	310			
2020-10-17	47232	310			
2020-10-18	47310	310			
2020-10-19	47372	310			
2020-10-20	47461	312			
2020-10-21	47461	312			
2020-10-22	47538	312			
2020-10-23	47601	314			
2020-10-24	47690	316			
2020-10-25	47690	316			
2020-10-26	47775	316			
2020-10-27	47775	316			
2020-10-28	47775	316			
2020-10-29	48055	320			
2020-10-30	48055	320			
2020-10-31	48055	320			
2020-11-01	48124	320			
2020-11-02	48200	320			
2020-11-03	48200	320			
2020-11-04	48643	320			
2020-11-05	48788	320			
2020-11-06	48788	320			
2020-11-07	48904	320			
2020-11-08	49102	320			
2020-11-09	49202	320			
2020-11-10	49302	320			
2020-11-11	49302	320			
2020-11-12	49957	320			
2020-11-13	50018	320			
2020-11-14	50018	320			
2020-11-15	50123	322			
2020-11-16	50376	323			
2020-11-17	50376	323			
2020-11-18	50457	323			
2020-11-19	50631	323			
2020-11-20	50631	323			
2020-11-21	50717	323			
2020-11-22	50874	323			
2020-11-23	50941	323			
2020-11-24	51184	323			
2020-11-25	51225	323			
2020-11-26	51225	323			
2020-11-27	51225	323			
2020-11-28	51379	323			
2020-11-29	51569	323			
2020-11-30	51667	323			
2020-12-01	51667	323			
2020-12-02	51667	323			
2020-12-03	51667	323			
2020-12-04	52096	325			
2020-12-05	52096	325			
2020-12-06	52274	325			
2020-12-07	52274	325			
2020-12-08	52500	326			
2020-12-09	52622	326			
2020-12-10	52738	326			
2020-12-11	52738	326			
2020-12-12	52933	327			
2020-12-13	52933	327			
2020-12-14	53014	327			
2020-12-15	53270	327			
2020-12-16	53386	327			
2020-12-17	53553	331			
2020-12-18	53653	331			
2020-12-19	53653	331			
2020-12-20	53653	331			
2020-12-21	53954	333			
2020-12-22	53954	333			
2020-12-23	54043	333			
2020-12-24	54043	333			
2020-12-25	54043	333			
2020-12-26	54286	333			
2020-12-27	54401	333			
