# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	1	0			
2020-03-22	4	0			
2020-03-23	4	0			
2020-03-24	4	0			
2020-03-25	4	0			
2020-03-26	6	0			
2020-03-27	9	0			
2020-03-28	9	0			
2020-03-29	9	0			
2020-03-30	9	0			
2020-03-31	9	0			
2020-04-01	9	0			
2020-04-02	9	0			
2020-04-03	9	0			
2020-04-04	9	0			
2020-04-05	9	0			
2020-04-06	10	0			
2020-04-07	10	0			
2020-04-08	12	0			
2020-04-09	12	0			
2020-04-10	12	0			
2020-04-11	12	0			
2020-04-12	14	0			
2020-04-13	15	0			
2020-04-14	15	0			
2020-04-15	15	0			
2020-04-16	16	1			
2020-04-17	16	1			
2020-04-18	22	1			
2020-04-19	22	1			
2020-04-20	24	1			
2020-04-21	31	1			
2020-04-22	31	1			
2020-04-23	31	1			
2020-04-24	36	1			
2020-04-25	56	1			
2020-04-26	59	1			
2020-04-27	65	1			
2020-04-28	71	1			
2020-04-29	91	1			
2020-04-30	100	1			
2020-05-01	106	1			
2020-05-02	108	1			
2020-05-03	112	1			
2020-05-04	116	1			
2020-05-05	119	1			
2020-05-06	123	2			
2020-05-07	153	2			
2020-05-08	159	2			
2020-05-09	163	2			
2020-05-10	172	2			
2020-05-11	175	2			
2020-05-12	184	2			
2020-05-13	187	2			
2020-05-14	187	2			
2020-05-15	190	2			
2020-05-16	202	2			
2020-05-17	203	2			
2020-05-18	205	2			
2020-05-19	208	2			
2020-05-20	217	2			
2020-05-21	220	2			
2020-05-22	225	2			
2020-05-23	238	2			
2020-05-24	250	2			
2020-05-25	256	2			
2020-05-26	261	2			
2020-05-27	272	2			
2020-05-28	279	2			
2020-05-29	279	2			
2020-05-30	283	2			
2020-05-31	285	2			
2020-06-01	293	3			
2020-06-02	294	3			
2020-06-03	295	3			
2020-06-04	300	3			
2020-06-05	305	3			
2020-06-06	322	3			
2020-06-07	333	3			
2020-06-08	340	3			
2020-06-09	371	3			
2020-06-10	398	3			
2020-06-11	449	3			
2020-06-12	472	3			
2020-06-13	486	3			
2020-06-14	490	4			
2020-06-15	506	4			
2020-06-16	520	4			
2020-06-17	563	4			
2020-06-18	586	4			
2020-06-19	623	4			
2020-06-20	627	5			
2020-06-21	635	5			
2020-06-22	643	6			
2020-06-23	674	7			
2020-06-24	690	7			
2020-06-25	706	8			
2020-06-26	728	8			
2020-06-27	745	8			
2020-06-28	781	11			
