# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-11-10	1	0			
2020-11-11	1	0			
2020-11-12	1	0			
2020-11-13	1	0			
2020-11-14	1	0			
2020-11-15	1	0			
2020-11-16	1	0			
2020-11-17	1	0			
2020-11-18	1	0			
2020-11-19	1	0			
2020-11-20	1	0			
2020-11-21	1	0			
2020-11-22	1	0			
2020-11-23	1	0			
2020-11-24	1	0			
2020-11-25	1	0			
2020-11-26	1	0			
2020-11-27	1	0			
2020-11-28	1	0			
2020-11-29	1	0			
2020-11-30	1	0			
2020-12-01	1	0			
2020-12-02	1	0			
2020-12-03	1	0			
2020-12-04	1	0			
2020-12-05	1	0			
2020-12-06	1	0			
2020-12-07	1	0			
2020-12-08	1	0			
2020-12-09	1	0			
2020-12-10	1	0			
2020-12-11	1	0			
2020-12-12	1	0			
2020-12-13	1	0			
2020-12-14	1	0			
2020-12-15	1	0			
2020-12-16	1	0			
2020-12-17	1	0			
2020-12-18	1	0			
2020-12-19	1	0			
2020-12-20	1	0			
2020-12-21	1	0			
2020-12-22	1	0			
2020-12-23	1	0			
2020-12-24	1	0			
2020-12-25	1	0			
2020-12-26	1	0			
2020-12-27	1	0			
2020-12-28	1	0			
2020-12-29	1	0			
2020-12-30	1	0			
2020-12-31	1	0			
2021-01-01	1	0			
2021-01-02	1	0			
2021-01-03	1	0			
2021-01-04	1	0			
2021-01-05	1	0			
2021-01-06	1	0			
2021-01-07	1	0			
2021-01-08	1	0			
2021-01-09	1	0			
2021-01-10	1	0			
2021-01-11	1	0			
2021-01-12	1	0			
2021-01-13	1	0			
2021-01-14	1	0			
2021-01-15	1	0			
2021-01-16	1	0			
2021-01-17	1	0			
2021-01-18	1	0			
2021-01-19	1	0			
2021-01-20	1	0			
2021-01-21	1	0			
2021-01-22	1	0			
2021-01-23	1	0			
2021-01-24	1	0			
2021-01-25	1	0			
2021-01-26	1	0			
2021-01-27	1	0			
2021-01-28	1	0			
2021-01-29	1	0			
2021-01-30	1	0			
2021-01-31	1	0			
2021-02-01	1	0			
2021-02-02	1	0			
2021-02-03	1	0			
2021-02-04	1	0			
2021-02-05	1	0			
2021-02-06	1	0			
2021-02-07	1	0			
2021-02-08	1	0			
2021-02-09	1	0			
2021-02-10	1	0			
2021-02-11	1	0			
2021-02-12	1	0			
2021-02-13	1	0			
2021-02-14	1	0			
2021-02-15	1	0			
2021-02-16	1	0			
2021-02-17	1	0			
2021-02-18	1	0			
2021-02-19	1	0			
2021-02-20	1	0			
2021-02-21	1	0			
2021-02-22	1	0			
2021-02-23	1	0			
2021-02-24	1	0			
2021-02-25	1	0			
2021-02-26	1	0			
2021-02-27	1	0			
2021-02-28	1	0			
2021-03-01	1	0			
2021-03-02	1	0			
2021-03-03	1	0			
2021-03-04	1	0			
2021-03-05	1	0			
2021-03-06	1	0			
2021-03-07	1	0			
2021-03-08	3	0			
2021-03-09	3	0			
2021-03-10	3	0			
2021-03-11	3	0			
2021-03-12	3	0			
2021-03-13	3	0			
2021-03-14	3	0			
2021-03-15	3	0			
2021-03-16	3	0			
2021-03-17	3	0			
2021-03-18	3	0			
2021-03-19	3	0			
2021-03-20	3	0			
2021-03-21	3	0			
2021-03-22	3	0			
2021-03-23	3	0			
2021-03-24	3	0			
2021-03-25	3	0			
2021-03-26	3	0			
2021-03-27	3	0			
2021-03-28	3	0			
2021-03-29	3	0			
2021-03-30	3	0			
2021-03-31	3	0			
2021-04-01	3	0			
2021-04-02	3	0			
2021-04-03	3	0			
2021-04-04	3	0			
2021-04-05	3	0			
2021-04-06	3	0			
2021-04-07	3	0			
2021-04-08	3	0			
2021-04-09	3	0			
2021-04-10	3	0			
2021-04-11	3	0			
2021-04-12	3	0			
2021-04-13	3	0			
2021-04-14	3	0			
2021-04-15	3	0			
2021-04-16	3	0			
2021-04-17	3	0			
2021-04-18	3	0			
2021-04-19	3	0			
2021-04-20	3	0			
2021-04-21	4	1			
2021-04-22	4	1			
2021-04-23	4	1			
2021-04-24	4	1			
2021-04-25	4	1			
2021-04-26	4	1			
2021-04-27	4	1			
2021-04-28	4	1			
2021-04-29	4	1			
2021-04-30	4	1			
2021-05-01	4	1			
2021-05-02	4	1			
2021-05-03	4	1			
2021-05-04	4	1			
2021-05-05	4	1			
2021-05-06	4	1			
2021-05-07	4	1			
2021-05-08	4	1			
2021-05-09	4	1			
2021-05-10	4	1			
2021-05-11	4	1			
2021-05-12	4	1			
2021-05-13	4	1			
2021-05-14	4	1			
2021-05-15	4	1			
2021-05-16	4	1			
2021-05-17	4	1			
2021-05-18	4	1			
2021-05-19	4	1			
2021-05-20	4	1			
2021-05-21	4	1			
2021-05-22	4	1			
2021-05-23	4	1			
2021-05-24	4	1			
2021-05-25	4	1			
2021-05-26	4	1			
2021-05-27	4	1			
2021-05-28	4	1			
2021-05-29	4	1			
2021-05-30	4	1			
2021-05-31	4	1			
2021-06-01	4	1			
2021-06-02	4	1			
2021-06-03	4	1			
2021-06-04	4	1			
2021-06-05	4	1			
2021-06-06	4	1			
2021-06-07	4	1			
2021-06-08	4	1			
2021-06-09	4	1			
2021-06-10	4	1			
2021-06-11	4	1			
2021-06-12	4	1			
2021-06-13	4	1			
2021-06-14	4	1			
2021-06-15	4	1			
2021-06-16	4	1			
2021-06-17	4	1			
2021-06-18	4	1			
2021-06-19	4	1			
2021-06-20	4	1			
2021-06-21	4	1			
2021-06-22	4	1			
2021-06-23	4	1			
2021-06-24	4	1			
2021-06-25	4	1			
2021-06-26	4	1			
2021-06-27	4	1			
2021-06-28	4	1			
2021-06-29	4	1			
2021-06-30	4	1			
2021-07-01	4	1			
2021-07-02	4	1			
2021-07-03	4	1			
2021-07-04	4	1			
2021-07-05	4	1			
2021-07-06	4	1			
2021-07-07	4	1			
2021-07-08	4	1			
2021-07-09	4	1			
2021-07-10	4	1			
2021-07-11	4	1			
2021-07-12	4	1			
2021-07-13	4	1			
2021-07-14	4	1			
2021-07-15	4	1			
2021-07-16	4	1			
2021-07-17	4	1			
2021-07-18	4	1			
2021-07-19	4	1			
2021-07-20	4	1			
2021-07-21	4	1			
2021-07-22	4	1			
2021-07-23	4	1			
2021-07-24	4	1			
2021-07-25	4	1			
2021-07-26	4	1			
2021-07-27	4	1			
2021-07-28	4	1			
2021-07-29	4	1			
2021-07-30	4	1			
2021-07-31	4	1			
2021-08-01	4	1			
2021-08-02	4	1			
2021-08-03	4	1			
2021-08-04	4	1			
2021-08-05	4	1			
2021-08-06	4	1			
2021-08-07	4	1			
2021-08-08	4	1			
