# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	1	0			
2020-03-17	1	0			
2020-03-18	1	0			
2020-03-19	1	0			
2020-03-20	4	0			
2020-03-21	4	0			
2020-03-22	5	0			
2020-03-23	5	0			
2020-03-24	7	0			
2020-03-25	8	0			
2020-03-26	8	0			
2020-03-27	8	0			
2020-03-28	8	0			
2020-03-29	8	0			
2020-03-30	8	0			
2020-03-31	9	0			
2020-04-01	10	0			
2020-04-02	10	0			
2020-04-03	10	1			
2020-04-04	10	1			
2020-04-05	10	1			
2020-04-06	10	1			
2020-04-07	10	1			
2020-04-08	10	1			
2020-04-09	10	1			
2020-04-10	10	1			
2020-04-11	10	1			
2020-04-12	10	1			
2020-04-13	10	1			
2020-04-14	10	1			
2020-04-15	10	1			
2020-04-16	10	1			
2020-04-17	10	1			
2020-04-18	10	1			
2020-04-19	10	1			
2020-04-20	10	1			
2020-04-21	10	1			
2020-04-22	10	1			
2020-04-23	10	1			
2020-04-24	10	1			
2020-04-25	10	1			
2020-04-26	10	1			
2020-04-27	10	1			
2020-04-28	10	1			
2020-04-29	10	1			
2020-04-30	10	1			
2020-05-01	10	1			
2020-05-02	10	1			
2020-05-03	10	1			
2020-05-04	10	1			
2020-05-05	10	1			
2020-05-06	10	1			
2020-05-07	10	1			
2020-05-08	10	1			
2020-05-09	10	1			
2020-05-10	10	1			
2020-05-11	10	1			
2020-05-12	10	1			
2020-05-13	10	1			
2020-05-14	10	1			
2020-05-15	10	1			
2020-05-16	10	1			
2020-05-17	10	1			
2020-05-18	11	1			
2020-05-19	11	1			
2020-05-20	11	1			
2020-05-21	11	1			
2020-05-22	11	1			
2020-05-23	11	1			
2020-05-24	11	1			
2020-05-25	11	1			
2020-05-26	11	1			
2020-05-27	12	1			
2020-05-28	12	1			
2020-05-29	12	1			
2020-05-30	14	1			
2020-05-31	23	1			
2020-06-01	44	1			
2020-06-02	54	1			
2020-06-03	74	1			
2020-06-04	82	1			
2020-06-05	90	1			
2020-06-06	100	1			
2020-06-07	122	1			
2020-06-08	128	2			
2020-06-09	137	2			
2020-06-10	144	2			
2020-06-11	168	2			
2020-06-12	187	3			
2020-06-13	196	3			
2020-06-14	208	3			
2020-06-15	229	5			
2020-06-16	236	6			
2020-06-17	261	6			
2020-06-18	277	7			
2020-06-19	293	8			
2020-06-20	303	8			
2020-06-21	314	8			
2020-06-22	319	8			
2020-06-23	319	9			
2020-06-24	357	10			
2020-06-25	373	10			
2020-06-26	389	10			
2020-06-27	467	11			
2020-06-28	490	11			
