# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-01-27	1	0			
2020-01-28	1	0			
2020-01-29	1	0			
2020-01-30	1	0			
2020-01-31	1	0			
2020-02-01	1	0			
2020-02-02	1	0			
2020-02-03	1	0			
2020-02-04	1	0			
2020-02-05	1	0			
2020-02-06	1	0			
2020-02-07	1	0			
2020-02-08	1	0			
2020-02-09	1	0			
2020-02-10	1	0			
2020-02-11	1	0			
2020-02-12	1	0			
2020-02-13	1	0			
2020-02-14	1	0			
2020-02-15	1	0			
2020-02-16	1	0			
2020-02-17	1	0			
2020-02-18	1	0			
2020-02-19	1	0			
2020-02-20	1	0			
2020-02-21	1	0			
2020-02-22	1	0			
2020-02-23	1	0			
2020-02-24	1	0			
2020-02-25	1	0			
2020-02-26	1	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	1	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	1	0			
2020-03-11	2	0			
2020-03-12	2	0			
2020-03-13	6	0			
2020-03-14	10	0			
2020-03-15	18	0			
2020-03-16	28	0			
2020-03-17	44	0			
2020-03-18	51	0			
2020-03-19	60	0			
2020-03-20	73	0			
2020-03-21	77	0			
2020-03-22	82	0			
2020-03-23	97	0			
2020-03-24	102	0			
2020-03-25	102	0			
2020-03-26	106	0			
2020-03-27	106	0			
2020-03-28	113	1			
2020-03-29	117	1			
2020-03-30	122	2			
2020-03-31	143	2			
2020-04-01	146	3			
2020-04-02	151	4			
2020-04-03	159	4			
2020-04-04	166	5			
2020-04-05	176	5			
2020-04-06	178	5			
2020-04-07	185	6			
2020-04-08	189	7			
2020-04-09	190	7			
2020-04-10	190	7			
2020-04-11	198	7			
2020-04-12	210	7			
2020-04-13	217	7			
2020-04-14	233	7			
2020-04-15	238	7			
2020-04-16	238	7			
2020-04-17	244	7			
2020-04-18	254	7			
2020-04-19	271	7			
2020-04-20	304	7			
2020-04-21	310	7			
2020-04-22	330	7			
2020-04-23	368	7			
2020-04-24	420	7			
2020-04-25	460	7			
2020-04-26	523	7			
2020-04-27	588	7			
2020-04-28	619	7			
2020-04-29	649	7			
2020-04-30	663	7			
2020-05-01	690	7			
2020-05-02	705	7			
2020-05-03	718	7			
2020-05-04	751	8			
2020-05-05	771	9			
2020-05-06	797	9			
2020-05-07	824	9			
2020-05-08	835	9			
2020-05-09	847	9			
2020-05-10	863	9			
2020-05-11	869	9			
2020-05-12	889	9			
2020-05-13	915	9			
2020-05-14	925	9			
2020-05-15	935	9			
2020-05-16	960	9			
2020-05-17	981	9			
2020-05-18	992	9			
2020-05-19	1027	9			
2020-05-20	1028	9			
2020-05-21	1055	9			
2020-05-22	1068	9			
2020-05-23	1089	9			
2020-05-24	1141	9			
2020-05-25	1182	10			
2020-05-26	1319	10			
2020-05-27	1469	10			
2020-05-28	1530	10			
2020-05-29	1558	10			
2020-05-30	1620	10			
2020-05-31	1633	10			
2020-06-01	1643	11			
2020-06-02	1683	11			
2020-06-03	1749	11			
2020-06-04	1797	11			
2020-06-05	1801	11			
2020-06-06	1814	11			
2020-06-07	1835	11			
2020-06-08	1857	11			
2020-06-09	1859	11			
2020-06-10	1869	11			
2020-06-11	1877	11			
2020-06-12	1880	11			
2020-06-13	1884	11			
2020-06-14	1889	11			
2020-06-15	1905	11			
2020-06-16	1915	11			
2020-06-17	1924	11			
2020-06-18	1947	11			
2020-06-19	1950	11			
