# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	1	0			
2020-03-21	3	0			
2020-03-22	3	0			
2020-03-23	3	0			
2020-03-24	3	1			
2020-03-25	4	1			
2020-03-26	4	1			
2020-03-27	5	1			
2020-03-28	5	1			
2020-03-29	6	1			
2020-03-30	6	1			
2020-03-31	6	1			
2020-04-01	6	1			
2020-04-02	6	1			
2020-04-03	6	1			
2020-04-04	7	1			
2020-04-05	7	1			
2020-04-06	7	1			
2020-04-07	7	1			
2020-04-08	7	1			
2020-04-09	7	1			
2020-04-10	7	1			
2020-04-11	8	1			
2020-04-12	8	1			
2020-04-13	10	1			
2020-04-14	11	1			
2020-04-15	56	1			
2020-04-16	56	1			
2020-04-17	56	1			
2020-04-18	58	1			
2020-04-19	61	1			
2020-04-20	67	1			
2020-04-21	68	1			
2020-04-22	73	1			
2020-04-23	82	1			
2020-04-24	88	1			
2020-04-25	90	1			
2020-04-26	106	1			
2020-04-27	109	1			
2020-04-28	114	1			
2020-04-29	114	1			
2020-04-30	121	1			
2020-05-01	122	1			
2020-05-02	152	2			
2020-05-03	165	2			
2020-05-04	175	2			
2020-05-05	186	2			
2020-05-06	191	2			
2020-05-07	218	2			
2020-05-08	230	2			
2020-05-09	236	2			
2020-05-10	246	2			
2020-05-11	260	2			
2020-05-12	267	2			
2020-05-13	289	2			
2020-05-14	315	2			
2020-05-15	326	2			
2020-05-16	328	3			
2020-05-17	328	3			
2020-05-18	328	3			
2020-05-19	335	3			
2020-05-20	349	3			
2020-05-21	356	3			
2020-05-22	362	3			
2020-05-23	371	3			
2020-05-24	380	3			
2020-05-25	390	3			
2020-05-26	390	4			
2020-05-27	390	4			
2020-05-28	390	4			
2020-05-29	405	4			
2020-05-30	421	4			
2020-05-31	435	4			
2020-06-01	458	4			
2020-06-02	466	5			
2020-06-03	477	5			
2020-06-04	502	5			
2020-06-05	536	5			
2020-06-06	542	5			
2020-06-07	554	5			
2020-06-08	567	5			
2020-06-09	585	5			
2020-06-10	615	5			
2020-06-11	657	6			
2020-06-12	697	6			
2020-06-13	726	6			
2020-06-14	750	6			
2020-06-15	760	7			
2020-06-16	781	7			
2020-06-17	792	7			
2020-06-18	823	7			
2020-06-19	848	8			
2020-06-20	863	8			
2020-06-21	890	8			
2020-06-22	944	8			
2020-06-23	982	8			
2020-06-24	999	8			
2020-06-25	1003	8			
2020-06-26	1027	10			
2020-06-27	1091	12			
2020-06-28	1155	12			
2020-06-29	1165	12			
2020-06-30	1227	15			
2020-07-01	1267	15			
2020-07-02	1301	15			
2020-07-03	1382	15			
2020-07-04	1421	16			
2020-07-05	1451	17			
2020-07-06	1463	17			
2020-07-07	1499	18			
2020-07-08	1542	18			
2020-07-09	1552	18			
2020-07-10	1591	19			
2020-07-11	1623	19			
2020-07-12	1623	19			
2020-07-13	1698	19			
2020-07-14	1722	19			
2020-07-15	1780	19			
2020-07-16	1894	19			
2020-07-17	1939	19			
2020-07-18	2014	21			
2020-07-19	2045	21			
2020-07-20	2071	21			
2020-07-21	2107	21			
2020-07-22	2154	21			
2020-07-23	2190	21			
2020-07-24	2220	22			
2020-07-25	2258	22			
2020-07-26	2307	22			
2020-07-27	2328	22			
2020-07-28	2354	22			
2020-07-29	2373	23			
2020-07-30	2418	23			
2020-07-31	2451	23			
2020-08-01	2480	24			
2020-08-02	2547	24			
2020-08-03	2583	25			
2020-08-04	2631	26			
2020-08-05	2689	27			
2020-08-06	2734	27			
2020-08-07	2780	29			
2020-08-08	2835	32			
2020-08-09	2858	32			
2020-08-10	2883	32			
2020-08-11	2920	33			
2020-08-12	3000	33			
2020-08-13	3073	33			
2020-08-14	3136	33			
2020-08-15	3163	34			
2020-08-16	3179	35			
2020-08-17	3203	36			
2020-08-18	3253	36			
2020-08-19	3321	36			
2020-08-20	3368	37			
2020-08-21	3412	37			
2020-08-22	3455	37			
2020-08-23	3509	37			
2020-08-24	3532	37			
2020-08-25	3568	37			
2020-08-26	3630	38			
2020-08-27	3699	38			
2020-08-28	3745	38			
2020-08-29	3778	39			
2020-08-30	3852	40			
2020-08-31	3884	40			
2020-09-01	3970	40			
2020-09-02	4048	41			
2020-09-03	4125	41			
2020-09-04	4200	41			
2020-09-05	4275	42			
2020-09-06	4330	42			
2020-09-07	4358	42			
2020-09-08	4400	42			
2020-09-09	4473	43			
2020-09-10	4557	43			
2020-09-11	4651	44			
2020-09-12	4711	44			
2020-09-13	4813	44			
2020-09-14	4839	45			
2020-09-15	4904	46			
2020-09-16	4978	47			
2020-09-17	5063	49			
2020-09-18	5141	50			
2020-09-19	5186	50			
2020-09-20	5257	51			
2020-09-21	5281	52			
2020-09-22	5337	52			
2020-09-23	5412	54			
2020-09-24	5479	55			
2020-09-25	5628	55			
2020-09-26	5701	56			
2020-09-27	5771	57			
2020-09-28	5817	59			
2020-09-29	5900	59			
2020-09-30	6024	60			
2020-10-01	6126	61			
2020-10-02	6205	62			
2020-10-03	6296	62			
2020-10-04	6360	65			
2020-10-05	6433	68			
2020-10-06	6518	69			
2020-10-07	6624	71			
2020-10-08	6717	71			
2020-10-09	6809	73			
2020-10-10	6913	74			
2020-10-11	7072	75			
2020-10-12	7155	75			
2020-10-13	7254	77			
2020-10-14	7371	79			
2020-10-15	7444	79			
2020-10-16	7526	82			
2020-10-17	7638	85			
2020-10-18	7752	86			
2020-10-19	7800	87			
2020-10-20	7901	87			
2020-10-21	8033	90			
2020-10-22	8122	91			
2020-10-23	8198	94			
2020-10-24	8322	94			
2020-10-25	8396	94			
2020-10-26	8423	94			
2020-10-27	8472	94			
2020-10-28	8548	94			
2020-10-29	8603	95			
2020-10-30	8694	95			
2020-10-31	8793	95			
2020-11-01	8848	95			
2020-11-02	8882	95			
2020-11-03	8944	95			
2020-11-04	9053	95			
2020-11-05	9149	97			
2020-11-06	9224	100			
2020-11-07	9291	100			
2020-11-08	9369	100			
2020-11-09	9419	100			
2020-11-10	9499	101			
2020-11-11	9560	102			
2020-11-12	9694	102			
2020-11-13	9741	102			
2020-11-14	9780	102			
2020-11-15	9822	103			
2020-11-16	9840	103			
2020-11-17	9960	103			
2020-11-18	10000	104			
2020-11-19	10082	104			
2020-11-20	10152	104			
2020-11-21	10234	104			
2020-11-22	10276	104			
2020-11-23	10302	104			
2020-11-24	10400	104			
2020-11-25	10526	104			
2020-11-26	10570	105			
2020-11-27	10626	105			
2020-11-28	10700	105			
2020-11-29	10747	105			
2020-11-30	10761	105			
2020-12-01	10816	106			
2020-12-02	10867	106			
2020-12-03	10938	107			
2020-12-04	10996	108			
2020-12-05	11036	109			
2020-12-06	11063	109			
2020-12-07	11098	109			
2020-12-08	11118	109			
2020-12-09	11192	109			
2020-12-10	11203	109			
2020-12-11	11262	110			
2020-12-12	11302	110			
2020-12-13	11357	110			
2020-12-14	11361	110			
2020-12-15	11395	110			
2020-12-16	11458	110			
2020-12-17	11502	110			
2020-12-18	11526	110			
2020-12-19	11567	111			
2020-12-20	11579	111			
2020-12-21	11600	111			
2020-12-22	11636	112			
2020-12-23	11668	112			
2020-12-24	11688	112			
2020-12-25	11696	112			
2020-12-26	11698	112			
2020-12-27	11714	112			
2020-12-28	11723	112			
2020-12-29	11752	112			
2020-12-30	11793	112			
2020-12-31	11840	113			
2021-01-01	11872	113			
2021-01-02	11883	113			
2021-01-03	11920	113			
2021-01-04	11949	113			
2021-01-05	11983	113			
2021-01-06	12052	113			
2021-01-07	12146	113			
2021-01-08	12237	114			
2021-01-09	12316	114			
2021-01-10	12392	114			
2021-01-11	12433	115			
2021-01-12	12506	115			
2021-01-13	12592	115			
2021-01-14	12664	115			
2021-01-15	12776	118			
2021-01-16	12901	119			
2021-01-17	12993	119			
2021-01-18	13046	120			
2021-01-19	13139	120			
2021-01-20	13224	121			
2021-01-21	13307	122			
2021-01-22	13381	122			
2021-01-23	13414	124			
2021-01-24	13489	127			
2021-01-25	13557	127			
2021-01-26	13619	129			
2021-01-27	13722	129			
