# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-11-18	1	0			
2020-11-19	1	0			
2020-11-20	1	0			
2020-11-21	1	0			
2020-11-22	1	0			
2020-11-23	1	0			
2020-11-24	1	0			
2020-11-25	1	0			
2020-11-26	1	0			
2020-11-27	2	0			
2020-11-28	2	0			
2020-11-29	2	0			
2020-11-30	2	0			
2020-12-01	2	0			
2020-12-02	2	0			
2020-12-03	2	0			
2020-12-04	2	0			
2020-12-05	2	0			
2020-12-06	2	0			
2020-12-07	2	0			
2020-12-08	2	0			
2020-12-09	2	0			
2020-12-10	2	0			
2020-12-11	2	0			
2020-12-12	2	0			
2020-12-13	2	0			
2020-12-14	2	0			
2020-12-15	2	0			
2020-12-16	2	0			
2020-12-17	2	0			
2020-12-18	2	0			
2020-12-19	2	0			
2020-12-20	2	0			
2020-12-21	2	0			
2020-12-22	2	0			
2020-12-23	2	0			
2020-12-24	2	0			
2020-12-25	2	0			
2020-12-26	2	0			
2020-12-27	2	0			
2020-12-28	2	0			
2020-12-29	2	0			
2020-12-30	2	0			
2020-12-31	2	0			
2021-01-01	2	0			
2021-01-02	2	0			
2021-01-03	2	0			
2021-01-04	2	0			
2021-01-05	2	0			
2021-01-06	2	0			
2021-01-07	2	0			
2021-01-08	2	0			
2021-01-09	2	0			
2021-01-10	2	0			
2021-01-11	2	0			
2021-01-12	2	0			
2021-01-13	2	0			
2021-01-14	2	0			
2021-01-15	2	0			
2021-01-16	2	0			
2021-01-17	2	0			
2021-01-18	2	0			
2021-01-19	2	0			
2021-01-20	2	0			
2021-01-21	2	0			
2021-01-22	2	0			
2021-01-23	2	0			
2021-01-24	2	0			
2021-01-25	2	0			
2021-01-26	2	0			
2021-01-27	2	0			
2021-01-28	2	0			
2021-01-29	2	0			
2021-01-30	2	0			
2021-01-31	2	0			
2021-02-01	2	0			
2021-02-02	2	0			
2021-02-03	2	0			
2021-02-04	2	0			
2021-02-05	2	0			
2021-02-06	2	0			
2021-02-07	2	0			
2021-02-08	2	0			
2021-02-09	2	0			
2021-02-10	2	0			
2021-02-11	2	0			
2021-02-12	2	0			
2021-02-13	2	0			
2021-02-14	2	0			
2021-02-15	3	0			
2021-02-16	3	0			
2021-02-17	3	0			
2021-02-18	3	0			
2021-02-19	3	0			
2021-02-20	3	0			
2021-02-21	3	0			
2021-02-22	3	0			
2021-02-23	3	0			
2021-02-24	3	0			
2021-02-25	3	0			
2021-02-26	3	0			
2021-02-27	3	0			
2021-02-28	3	0			
2021-03-01	3	0			
2021-03-02	3	0			
2021-03-03	3	0			
2021-03-04	3	0			
2021-03-05	3	0			
2021-03-06	3	0			
2021-03-07	3	0			
2021-03-08	3	0			
2021-03-09	3	0			
2021-03-10	3	0			
2021-03-11	3	0			
2021-03-12	3	0			
2021-03-13	3	0			
2021-03-14	3	0			
2021-03-15	3	0			
2021-03-16	3	0			
2021-03-17	3	0			
2021-03-18	3	0			
2021-03-19	3	0			
2021-03-20	3	0			
2021-03-21	3	0			
2021-03-22	3	0			
2021-03-23	3	0			
2021-03-24	3	0			
2021-03-25	3	0			
2021-03-26	3	0			
2021-03-27	3	0			
2021-03-28	3	0			
2021-03-29	3	0			
2021-03-30	3	0			
2021-03-31	3	0			
2021-04-01	3	0			
2021-04-02	3	0			
2021-04-03	3	0			
2021-04-04	3	0			
2021-04-05	3	0			
2021-04-06	3	0			
2021-04-07	3	0			
2021-04-08	3	0			
2021-04-09	3	0			
2021-04-10	3	0			
2021-04-11	3	0			
2021-04-12	3	0			
2021-04-13	3	0			
2021-04-14	3	0			
2021-04-15	3	0			
2021-04-16	3	0			
2021-04-17	3	0			
2021-04-18	3	0			
2021-04-19	3	0			
2021-04-20	3	0			
2021-04-21	3	0			
2021-04-22	3	0			
2021-04-23	3	0			
2021-04-24	3	0			
2021-04-25	3	0			
2021-04-26	3	0			
2021-04-27	3	0			
2021-04-28	3	0			
2021-04-29	3	0			
2021-04-30	3	0			
2021-05-01	3	0			
2021-05-02	3	0			
2021-05-03	3	0			
2021-05-04	3	0			
2021-05-05	3	0			
2021-05-06	3	0			
2021-05-07	3	0			
2021-05-08	3	0			
2021-05-09	3	0			
2021-05-10	3	0			
2021-05-11	3	0			
2021-05-12	3	0			
2021-05-13	3	0			
2021-05-14	3	0			
2021-05-15	3	0			
2021-05-16	3	0			
2021-05-17	3	0			
2021-05-18	3	0			
2021-05-19	3	0			
2021-05-20	3	0			
2021-05-21	3	0			
2021-05-22	3	0			
2021-05-23	3	0			
2021-05-24	3	0			
2021-05-25	3	0			
2021-05-26	3	0			
2021-05-27	3	0			
2021-05-28	3	0			
2021-05-29	3	0			
2021-05-30	3	0			
2021-05-31	3	0			
2021-06-01	3	0			
2021-06-02	3	0			
2021-06-03	3	0			
2021-06-04	3	0			
2021-06-05	3	0			
2021-06-06	3	0			
2021-06-07	3	0			
2021-06-08	3	0			
2021-06-09	3	0			
2021-06-10	3	0			
2021-06-11	3	0			
2021-06-12	3	0			
2021-06-13	3	0			
2021-06-14	3	0			
2021-06-15	3	0			
2021-06-16	3	0			
2021-06-17	3	0			
2021-06-18	3	0			
2021-06-19	3	0			
2021-06-20	3	0			
2021-06-21	3	0			
2021-06-22	3	0			
2021-06-23	3	0			
