# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-19	2	2			
2020-02-20	5	2			
2020-02-21	18	4			
2020-02-22	28	5			
2020-02-23	43	8			
2020-02-24	61	12			
2020-02-25	95	16			
2020-02-26	139	19			
2020-02-27	245	26			
2020-02-28	388	34			
2020-02-29	593	43			
2020-03-01	978	54			
2020-03-02	1501	66			
2020-03-03	2336	77			
2020-03-04	2922	92			
2020-03-05	3513	107			
2020-03-06	4747	124			
2020-03-07	5823	145			
2020-03-08	6566	194			
2020-03-09	7161	237			
2020-03-10	8042	291			
2020-03-11	9000	354			
2020-03-12	10075	429			
2020-03-13	11364	514			
2020-03-14	12729	611			
2020-03-15	13938	724			
2020-03-16	14991	853			
2020-03-17	16169	988			
2020-03-18	17361	1135			
2020-03-19	18407	1284			
2020-03-20	19644	1433			
2020-03-21	20610	1556			
2020-03-22	21638	1685			
2020-03-23	23049	1812			
2020-03-24	24811	1934			
2020-03-25	27017	2077			
2020-03-26	29406	2234			
2020-03-27	32332	2378			
2020-03-28	35408	2517			
2020-03-29	38309	2640			
2020-03-30	41495	2757			
2020-03-31	44605	2898			
2020-04-01	47593	3036			
2020-04-02	50468	3160			
2020-04-03	53183	3294			
2020-04-04	55743	3452			
2020-04-05	58226	3603			
2020-04-06	60500	3739			
2020-04-07	62589	3872			
2020-04-08	64586	3993			
2020-04-09	66220	4110			
2020-04-10	68192	4232			
2020-04-11	70029	4357			
2020-04-12	71686	4474			
2020-04-13	73303	4585			
2020-04-14	74877	4683			
2020-04-15	76389	4777			
2020-04-16	77995	4869			
2020-04-17	79494	4958			
2020-04-18	80868	5031			
2020-04-19	82211	5118			
2020-04-20	83505	5209			
2020-04-21	84802	5297			
2020-04-22	85996	5391			
2020-04-23	87026	5481			
2020-04-24	88194	5574			
2020-04-25	89328	5650			
2020-04-26	90481	5710			
2020-04-27	91472	5806			
2020-04-28	92584	5877			
2020-04-29	93657	5957			
2020-04-30	94640	6028			
2020-05-01	95646	6091			
2020-05-02	96448	6156			
2020-05-03	97424	6203			
2020-05-04	98647	6277			
2020-05-05	99970	6340			
2020-05-06	101650	6418			
2020-05-07	103135	6486			
2020-05-08	104691	6541			
2020-05-09	106220	6589			
2020-05-10	107603	6640			
2020-05-11	109286	6685			
2020-05-12	110767	6733			
2020-05-13	112725	6783			
2020-05-14	114533	6854			
2020-05-15	116635	6902			
2020-05-16	118392	6937			
2020-05-17	120198	6988			
2020-05-18	122492	7057			
2020-05-19	124603	7119			
2020-05-20	126949	7183			
2020-05-21	129341	7249			
2020-05-22	131652	7300			
2020-05-23	133521	7359			
2020-05-24	135701	7417			
2020-05-25	137724	7451			
2020-05-26	139511	7508			
2020-05-27	141591	7564			
2020-05-28	143849	7627			
2020-05-29	146668	7677			
2020-05-30	148950	7734			
2020-05-31	151466	7797			
2020-06-01	154445	7878			
2020-06-02	157562	7942			
2020-06-03	160696	8012			
2020-06-04	164270	8071			
2020-06-05	167156	8134			
2020-06-06	169425	8209			
2020-06-07	171789	8281			
2020-06-08	173832	8351			
2020-06-09	175927	8425			
2020-06-10	177938	8506			
2020-06-11	180156	8584			
2020-06-12	182525	8659			
2020-06-13	184955	8730			
2020-06-14	187427	8837			
2020-06-15	189876	8950			
2020-06-16	192439	9065			
2020-06-17	195051	9185			
2020-06-18	197647	9272			
2020-06-19	200262	9392			
2020-06-20	202584	9507			
2020-06-21	204952	9623			
2020-06-22	207525	9742			
2020-06-23	209970	9863			
2020-06-24	212501	9996			
2020-06-25	215096	10130			
2020-06-26	217724	10239			
2020-06-27	220180	10364			
2020-06-28	222669	10508			
2020-06-29	225205	10670			
2020-06-30	227662	10817			
2020-07-01	230211	10958			
2020-07-02	232863	11106			
2020-07-03	235429	11260			
2020-07-04	237878	11408			
2020-07-05	240438	11571			
2020-07-06	243051	11731			
2020-07-07	245688	11931			
2020-07-08	248379	12084			
2020-07-09	250458	12305			
2020-07-10	252720	12447			
2020-07-11	255117	12635			
2020-07-12	257303	12829			
2020-07-13	259652	13032			
2020-07-14	262173	13211			
2020-07-15	264561	13410			
2020-07-16	267061	13608			
2020-07-17	269440	13791			
2020-07-18	271606	13979			
2020-07-19	273788	14188			
2020-07-20	276202	14405			
2020-07-21	278827	14634			
2020-07-22	281413	14853			
2020-07-23	284034	15074			
2020-07-24	286523	15289			
2020-07-25	288839	15484			
2020-07-26	291172	15700			
2020-07-27	293606	15912			
2020-07-28	296273	16147			
2020-07-29	298909	16343			
2020-07-30	301530	16569			
2020-07-31	304204	16766			
2020-08-01	306752	16982			
2020-08-02	309437	17190			
2020-08-03	312035	17405			
2020-08-04	314786	17617			
2020-08-05	317483	17802			
2020-08-06	320117	17976			
2020-08-07	322567	18132			
2020-08-08	324692	18264			
2020-08-09	326712	18427			
2020-08-10	328844	18616			
2020-08-11	331189	18800			
2020-08-12	333699	18988			
2020-08-13	336324	19162			
2020-08-14	338825	19331			
2020-08-15	341070	19492			
2020-08-16	343203	19639			
2020-08-17	345450	19804			
2020-08-18	347835	19972			
2020-08-19	350279	20125			
2020-08-20	352558	20264			
2020-08-21	354764	20376			
2020-08-22	356792	20502			
2020-08-23	358905	20643			
2020-08-24	361150	20776			
2020-08-25	363363	20901			
2020-08-26	365606	21020			
2020-08-27	367796	21137			
2020-08-28	369911	21249			
2020-08-29	371816	21359			
2020-08-30	373570	21462			
2020-08-31	375212	21571			
2020-09-01	376894	21672			
2020-09-02	378752	21797			
2020-09-03	380746	21926			
2020-09-04	382772	22044			
2020-09-05	384666	22154			
2020-09-06	386658	22293			
2020-09-07	388810	22410			
2020-09-08	391112	22542			
2020-09-09	393425	22669			
2020-09-10	395488	22798			
2020-09-11	397801	22913			
2020-09-12	399940	23029			
2020-09-13	402029	23157			
2020-09-14	404648	23313			
2020-09-15	407353	23453			
2020-09-16	410334	23632			
2020-09-17	413149	23808			
2020-09-18	416198	23952			
2020-09-19	419043	24118			
2020-09-20	422140	24301			
2020-09-21	425481	24478			
2020-09-22	429193	24656			
2020-09-23	432798	24840			
2020-09-24	436319	25015			
2020-09-25	439882	25222			
2020-09-26	443086	25394			
2020-09-27	446448	25589			
2020-09-28	449960	25779			
2020-09-29	453637	25986			
2020-09-30	457219	26169			
2020-10-01	461044	26380			
2020-10-02	464596	26567			
2020-10-03	468119	26746			
2020-10-04	471772	26957			
2020-10-05	475674	27192			
2020-10-06	479825	27419			
2020-10-07	483844	27658			
2020-10-08	488236	27888			
2020-10-09	492378	28098			
2020-10-10	496253	28293			
2020-10-11	500075	28544			
2020-10-12	504281	28816			
2020-10-13	508389	29070			
2020-10-14	513219	29349			
2020-10-15	517835	29605			
2020-10-16	522387	29870			
2020-10-17	526490	30123			
2020-10-18	530380	30375			
2020-10-19	534631	30712			
2020-10-20	539670	31034			
2020-10-21	545286	31346			
2020-10-22	550757	31650			
2020-10-23	556891	31985			
2020-10-24	562705	32320			
2020-10-25	568896	32616			
2020-10-26	574856	32953			
2020-10-27	581824	33299			
2020-10-28	588648	33714			
2020-10-29	596941	34113			
2020-10-30	604952	34478			
2020-10-31	612772	34864			
2020-11-01	620491	35298			
2020-11-02	628780	35738			
2020-11-03	637712	36160			
2020-11-04	646164	36579			
