# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	1	0			
2020-03-07	1	0			
2020-03-08	1	0			
2020-03-09	1	0			
2020-03-10	5	0			
2020-03-11	12	0			
2020-03-12	19	0			
2020-03-13	35	0			
2020-03-14	46	0			
2020-03-15	48	0			
2020-03-16	55	0			
2020-03-17	65	0			
2020-03-18	83	0			
2020-03-19	103	0			
2020-03-20	135	1			
2020-03-21	171	1			
2020-03-22	222	2			
2020-03-23	249	3			
2020-03-24	303	3			
2020-03-25	384	4			
2020-03-26	384	1			
2020-03-27	457	1			
2020-03-28	659	10			
2020-03-29	741	13			
2020-03-30	785	16			
2020-03-31	900	16			
2020-04-01	1060	28			
2020-04-02	1171	31			
2020-04-03	1476	39			
2020-04-04	1624	44			
2020-04-05	1908	51			
2020-04-06	2200	58			
2020-04-07	2447	61			
2020-04-08	2666	65			
2020-04-09	2867	66			
2020-04-10	3105	71			
2020-04-11	3380	74			
2020-04-12	3630	80			
2020-04-13	4054	85			
2020-04-14	4465	94			
2020-04-15	4873	99			
2020-04-16	5318	103			
2020-04-17	5690	110			
2020-04-18	5994	117			
2020-04-19	6318	122			
2020-04-20	6630	125			
2020-04-21	6890	130			
2020-04-22	7144	134			
2020-04-23	7276	139			
2020-04-24	7483	144			
2020-04-25	7779	151			
2020-04-26	8042	156			
2020-04-27	8275	162			
2020-04-28	8497	168			
2020-04-29	8724	173			
2020-04-30	9009	179			
2020-05-01	9009	179			
2020-05-02	9362	189			
2020-05-03	9464	193			
2020-05-04	9557	197			
2020-05-05	9677	200			
2020-05-06	9791	203			
2020-05-07	9848	206			
2020-05-08	9943	209			
2020-05-09	10032	215			
2020-05-10	10032	215			
2020-05-11	10176	218			
2020-05-12	10243	220			
2020-05-13	10295	222			
2020-05-14	10374	224			
2020-05-15	10438	225			
2020-05-16	10496	228			
2020-05-17	10610	230			
2020-05-18	10699	231			
2020-05-19	10733	234			
2020-05-20	10833	235			
2020-05-21	10919	237			
2020-05-22	11024	237			
2020-05-23	11092	238			
2020-05-24	11159	238			
2020-05-25	11193	239			
2020-05-26	11227	239			
2020-05-27	11275	240			
2020-05-28	11300	241			
2020-05-29	11354	242			
2020-05-30	11381	242			
2020-05-31	11412	243			
2020-06-01	11430	244			
2020-06-02	11454	245			
2020-06-03	11523	245			
2020-06-04	11571	246			
2020-06-05	11667	247			
2020-06-06	11741	248			
2020-06-07	11823	249			
2020-06-08	11896	250			
2020-06-09	11965	250			
2020-06-10	12031	251			
2020-06-11	12102	252			
2020-06-12	12175	252			
2020-06-13	12251	253			
2020-06-14	12310	254			
2020-06-15	12367	255			
2020-06-16	12426	256			
2020-06-17	12522	257			
2020-06-18	12616	258			
2020-06-19	12709	259			
2020-06-20	12803	260			
2020-06-21	12894	261			
2020-06-22	12990	262			
2020-06-23	13092	263			
2020-06-24	13235	263			
2020-06-25	13372	264			
2020-06-26	13565	265			
2020-06-27	13792	267			
2020-06-28	14046	270			
2020-06-29	14288	274			
2020-06-30	14564	277			
2020-07-01	14836	281			
2020-07-02	15195	287			
2020-07-03	15504	298			
2020-07-04	15829	306			
2020-07-05	16131	311			
2020-07-06	16420	317			
2020-07-07	16719	330			
