# Data source: https://covid.ourworldindata.org/data/owid-covid-data.json
# Data provenance: Our World in Data
# License: CC-BY
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	1	0			
2020-02-25	23	0			
2020-02-26	33	0			
2020-02-27	33	0			
2020-02-28	36	0			
2020-02-29	41	0			
2020-03-01	47	0			
2020-03-02	49	0			
2020-03-03	49	0			
2020-03-04	52	0			
2020-03-05	55	0			
2020-03-06	60	0			
2020-03-07	85	0			
2020-03-08	85	0			
2020-03-09	95	0			
2020-03-10	110	0			
2020-03-11	195	0			
2020-03-12	195	0			
2020-03-13	195	0			
2020-03-14	210	0			
2020-03-15	214	0			
2020-03-16	214	1			
2020-03-17	228	1			
2020-03-18	256	1			
2020-03-19	278	1			
2020-03-20	285	1			
2020-03-21	305	1			
2020-03-22	334	2			
2020-03-23	377	2			
2020-03-24	392	3			
2020-03-25	419	4			
2020-03-26	458	4			
2020-03-27	466	4			
2020-03-28	476	4			
2020-03-29	499	4			
2020-03-30	515	4			
2020-03-31	567	4			
2020-04-01	569	4			
2020-04-02	643	4			
2020-04-03	672	4			
2020-04-04	688	4			
2020-04-05	700	4			
2020-04-06	756	4			
2020-04-07	811	5			
2020-04-08	823	5			
2020-04-09	887	5			
2020-04-10	925	6			
2020-04-11	1040	6			
2020-04-12	1136	6			
2020-04-13	1361	6			
2020-04-14	1528	7			
2020-04-15	1671	7			
2020-04-16	1700	7			
2020-04-17	1740	7			
2020-04-18	1773	7			
2020-04-19	1881	7			
2020-04-20	1907	7			
2020-04-21	1973	7			
2020-04-22	2027	7			
2020-04-23	2217	8			
2020-04-24	2518	8			
2020-04-25	2588	8			
2020-04-26	2647	8			
2020-04-27	2723	8			
2020-04-28	2811	8			
2020-04-29	2921	8			
2020-04-30	3040	8			
2020-05-01	3170	8			
2020-05-02	3284	8			
2020-05-03	3383	8			
2020-05-04	3533	8			
2020-05-05	3720	8			
2020-05-06	3934	8			
2020-05-07	4199	8			
2020-05-08	4444	8			
2020-05-09	4774	8			
2020-05-10	4941	8			
2020-05-11	5236	8			
2020-05-12	5531	9			
2020-05-13	5816	10			
2020-05-14	6198	10			
2020-05-15	6583	12			
2020-05-16	6747	12			
2020-05-17	6956	12			
2020-05-18	7184	12			
2020-05-19	7532	12			
2020-05-20	7888	12			
2020-05-21	8174	12			
2020-05-22	8414	12			
2020-05-23	8802	13			
2020-05-24	9138	14			
2020-05-25	9171	14			
2020-05-26	9366	14			
2020-05-27	9692	15			
2020-05-28	10052	15			
2020-05-29	10449	15			
2020-05-30	10793	17			
2020-05-31	11398	19			
2020-06-01	11871	19			
2020-06-02	12311	19			
2020-06-03	12815	20			
2020-06-04	13296	21			
2020-06-05	13835	22			
2020-06-06	14383	24			
2020-06-07	14763	26			
2020-06-08	15417	27			
2020-06-09	15731	29			
2020-06-10	16200	31			
2020-06-11	16667	34			
2020-06-12	17269	36			
2020-06-13	17713	37			
2020-06-14	18227	42			
2020-06-15	19013	46			
2020-06-16	19553	47			
2020-06-17	19961	49			
2020-06-18	20430	55			
2020-06-19	20916	57			
2020-06-20	21331	60			
2020-06-21	21764	63			
2020-06-22	22407	65			
2020-06-23	23062	67			
2020-06-24	23570	69			
2020-06-25	24081	71			
2020-06-26	24805	73			
2020-06-27	25267	78			
2020-06-28	25705	83			
2020-06-29	26239	84			
2020-06-30	26758	87			
2020-07-01	27414	92			
2020-07-02	27837	94			
2020-07-03	28410	95			
2020-07-04	28857	96			
2020-07-05	29367	97			
2020-07-06	29821	98			
2020-07-07	30321	98			
2020-07-08	30931	98			
2020-07-09	31528	103			
2020-07-10	32039	104			
2020-07-11	32470	104			
2020-07-12	32941	108			
2020-07-13	33476	109			
2020-07-14	34078	111			
2020-07-15	34560	117			
2020-07-16	35084	121			
2020-07-17	35473	124			
2020-07-18	36004	124			
2020-07-19	36422	126			
2020-07-20	36936	128			
2020-07-21	37316	129			
2020-07-22	37637	130			
2020-07-23	37996	134			
2020-07-24	38458	136			
2020-07-25	38747	137			
2020-07-26	39131	140			
2020-07-27	39482	141			
2020-07-28	39921	141			
2020-07-29	40311	144			
2020-07-30	40755	146			
2020-07-31	40982	147			
2020-08-01	41190	147			
2020-08-02	41536	147			
2020-08-03	41835	150			
2020-08-04	42132	151			
2020-08-05	42514	154			
2020-08-06	42889	156			
2020-08-07	43307	159			
2020-08-08	43629	161			
2020-08-09	44011	162			
2020-08-10	44397	163			
2020-08-11	44804	165			
2020-08-12	45264	166			
2020-08-13	45726	167			
2020-08-14	46052	168			
2020-08-15	46430	170			
2020-08-16	46835	170			
2020-08-17	47185	173			
2020-08-18	47581	175			
2020-08-19	47950	178			
2020-08-20	48303	179			
2020-08-21	48661	181			
2020-08-22	49038	183			
2020-08-23	49330	184			
2020-08-24	49719	185			
2020-08-25	50076	186			
2020-08-26	50393	186			
2020-08-27	50756	188			
2020-08-28	51113	189			
2020-08-29	51391	189			
2020-08-30	51574	189			
2020-08-31	51972	190			
2020-09-01	52440	190			
2020-09-02	52807	190			
2020-09-03	53433	190			
2020-09-04	54095	195			
2020-09-05	54771	196			
2020-09-06	55415	199			
2020-09-07	56076	200			
2020-09-08	56778	202			
2020-09-09	57450	203			
2020-09-10	58207	207			
2020-09-11	58839	208			
2020-09-12	59586	211			
2020-09-13	60307	212			
2020-09-14	60965	213			
2020-09-15	61643	213			
2020-09-16	62484	216			
2020-09-17	63189	217			
2020-09-18	63879	220			
2020-09-19	64499	221			
2020-09-20	65039	221			
2020-09-21	65752	224			
2020-09-22	66402	227			
2020-09-23	67014	231			
2020-09-24	67701	231			
2020-09-25	68190	236			
2020-09-26	68775	239			
2020-09-27	69361	242			
2020-09-28	69848	245			
2020-09-29	70422	246			
2020-09-30	70864	251			
2020-10-01	71374	254			
2020-10-02	71803	255			
2020-10-03	72310	258			
2020-10-04	72662	260			
2020-10-05	73116	261			
2020-10-06	73476	262			
2020-10-07	73932	262			
2020-10-08	74422	264			
2020-10-09	74860	271			
2020-10-10	75287	273			
2020-10-11	75614	275			
2020-10-12	75948	280			
2020-10-13	76272	285			
2020-10-14	76621	287			
2020-10-15	76954	289			
2020-10-16	77325	292			
2020-10-17	77571	293			
2020-10-18	77902	300			
2020-10-19	78224	302			
2020-10-20	78533	305			
2020-10-21	78907	308			
2020-10-22	79211	308			
2020-10-23	79574	311			
2020-10-24	79975	312			
2020-10-25	80255	312			
2020-10-26	80533	316			
2020-10-27	80765	316			
