# Data source: https://raw.githubusercontent.com/chriswien/COVID19_CaseNumberDE/master/COVID19_Cases_Bundeslaender_DE.csv
# Data provenance: https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Fallzahlen.html
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	1	0			
2020-03-04	1	0			
2020-03-05	1	0			
2020-03-06	1	0			
2020-03-07	2	0			
2020-03-08	2	0			
2020-03-09	2	0			
2020-03-10	4	0			
2020-03-11	10	0			
2020-03-12	14	0			
2020-03-13	29	0			
2020-03-14	46	0			
2020-03-15	51	0			
2020-03-16	55	0			
2020-03-17	51	0			
2020-03-18	74	0			
2020-03-19	98	0			
2020-03-20	149	0			
2020-03-21	187	0			
2020-03-22	216				
2020-03-23	249				
2020-03-24	327	1			
2020-03-25	394	1			
2020-03-26	468	3			
2020-03-27	542	4			
2020-03-28	584	5			
2020-03-29	697	5			
2020-03-30	719	5			
2020-03-31	784	6			
2020-04-01	860	6			
2020-04-02	925	7			
2020-04-03	982	9			
2020-04-04	1072	10			
2020-04-05	1140	10			
2020-04-06	1176	12			
2020-04-07	1208	18			
2020-04-08	1285	20			
2020-04-09	1351	20			
2020-04-10	1416	24			
2020-04-11	1435	25			
2020-04-12	1464	25			
2020-04-13	1485	27			
2020-04-14	1504	31			
2020-04-15	1550	38			
2020-04-16	1601	45			
2020-04-17	1682	49			
2020-04-18	1717	50			
2020-04-19	1756	53			
2020-04-20	1785	53			
2020-04-21	1798	55			
2020-04-22	1872	71			
2020-04-23	1932	61			
2020-04-24	2023	65			
2020-04-25	2058	71			
2020-04-26	2098	73			
2020-04-27	2120	74			
2020-04-28	2144	78			
2020-04-29	2170	80			
2020-04-30	2254	85			
2020-05-01	2323	93			
2020-05-02	2335	93			
2020-05-03	2345	93			
2020-05-04	2355	96			
2020-05-05	2392	99			
2020-05-06	2429	104			
2020-05-07	2452	109			
2020-05-08	2512	112			
2020-05-09	2533	115			
2020-05-10	2556	117			
2020-05-11	2585	118			
2020-05-12	2594	118			
2020-05-13	2622	126			
2020-05-14	2652	131			
2020-05-15	2681	135			
2020-05-16	2711	137			
2020-05-17	2725	138			
2020-05-18	2740	139			
2020-05-19	2750	147			
2020-05-20	2760	149			
2020-05-21	2796	151			
2020-05-22	2818	151			
2020-05-23	2830	151			
2020-05-24	2857	152			
2020-05-25	2871	152			
2020-05-26	2877	153			
2020-05-27	2898	157			
2020-05-28	2932	158			
2020-05-29	2958	159			
2020-05-30	2974	161			
2020-05-31	2984	162			
2020-06-01	3015	162			
2020-06-02	3017	163			
2020-06-03	3022	166			
2020-06-04	3033	167			
2020-06-05	3051	169			
2020-06-06	3066	170			
2020-06-07	3077	170			
2020-06-08	3081	170			
2020-06-09	3100	170			
2020-06-10	3108	170			
2020-06-11	3130	171			
2020-06-12	3143	171			
2020-06-13	3154	174			
2020-06-14	3169	174			
2020-06-15	3171	174			
2020-06-16	3175	174			
2020-06-17	3188	178			
2020-06-18	3189	177			
2020-06-19	3205	178			
2020-06-20	3210	178			
2020-06-21	3214	178			
2020-06-22	3221	178			
2020-06-23	3229	178			
2020-06-24	3231	178			
2020-06-25	3225	178			
2020-06-26	3240	178			
2020-06-27	3248	181			
2020-06-28	3250	181			
2020-06-29	3250	181			
2020-06-30	3254	181			
2020-07-01	3253	181			
2020-07-02	3259	181			
2020-07-03	3265	181			
2020-07-04	3267	181			
2020-07-05	3270	181			
2020-07-06	3272	181			
2020-07-07	3277	181			
2020-07-08	3283	182			
2020-07-09	3286	182			
2020-07-10	3288	182			
2020-07-11	3289	182			
2020-07-12	3291	182			
2020-07-14	3295	182			
2020-07-15	3301	182			
2020-07-16	3310	182			
