# Data source: https://raw.githubusercontent.com/chriswien/COVID19_CaseNumberDE/master/COVID19_Cases_Bundeslaender_DE.csv
# Data provenance: https://www.rki.de/DE/Content/InfAZ/N/Neuartiges_Coronavirus/Fallzahlen.html
# License: none specified
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	0	0			
2020-03-02	0	0			
2020-03-03	0	0			
2020-03-04	0	0			
2020-03-05	0	0			
2020-03-06	0	0			
2020-03-07	0	0			
2020-03-08	0	0			
2020-03-09	0	0			
2020-03-10	7	0			
2020-03-11	15	0			
2020-03-12	27	0			
2020-03-13	42	0			
2020-03-14	45	0			
2020-03-15	47	0			
2020-03-16	77	0			
2020-03-17	58	0			
2020-03-18	105	0			
2020-03-19	140	0			
2020-03-20	180	0			
2020-03-21	188	0			
2020-03-22	211				
2020-03-23	212				
2020-03-24	321				
2020-03-25	375	1			
2020-03-26	418	1			
2020-03-27	458	2			
2020-03-28	458	2			
2020-03-29	592	2			
2020-03-30	592	2			
2020-03-31	680	6			
2020-04-01	750	7			
2020-04-02	804	8			
2020-04-03	836	11			
2020-04-04	896	11			
2020-04-05	919	12			
2020-04-06	956	12			
2020-04-07	987	12			
2020-04-08	1020	16			
2020-04-09	1075	16			
2020-04-10	1121	18			
2020-04-11	1135	18			
2020-04-12	1166	21			
2020-04-13	1193	24			
2020-04-14	1207	25			
2020-04-15	1223	26			
2020-04-16	1248	26			
2020-04-17	1279	28			
2020-04-18	1315	29			
2020-04-19	1350	30			
2020-04-20	1369	30			
2020-04-21	1383	32			
2020-04-22	1395	33			
2020-04-23	1425	34			
2020-04-24	1436	35			
2020-04-25	1480	35			
2020-04-26	1494	36			
2020-04-27	1515	36			
2020-04-28	1520	39			
2020-04-29	1525	39			
2020-04-30	1549	43			
2020-05-01	1564	44			
2020-05-02	1571	44			
2020-05-03	1576	44			
2020-05-04	1578	45			
2020-05-05	1585	46			
2020-05-06	1590	46			
2020-05-07	1602	48			
2020-05-08	1615	48			
2020-05-09	1637	48			
2020-05-10	1640	48			
2020-05-11	1643	48			
2020-05-12	1648	50			
2020-05-13	1650	52			
2020-05-14	1656	52			
2020-05-15	1668	54			
2020-05-16	1676	54			
2020-05-17	1676	54			
2020-05-18	1678	54			
2020-05-19	1679	54			
2020-05-20	1680	54			
2020-05-21	1689	54			
2020-05-22	1692	54			
2020-05-23	1692	54			
2020-05-24	1694	54			
2020-05-25	1694	54			
2020-05-26	1698	54			
2020-05-27	1698	55			
2020-05-28	1701	55			
2020-05-29	1700	55			
2020-05-30	1701	55			
2020-05-31	1705	55			
2020-06-01	1706	55			
2020-06-02	1707	55			
2020-06-03	1707	55			
2020-06-04	1711	55			
2020-06-05	1712	55			
2020-06-06	1717	55			
2020-06-07	1720	56			
2020-06-08	1720	56			
2020-06-09	1720	56			
2020-06-10	1721	56			
2020-06-11	1728	56			
2020-06-12	1732	56			
2020-06-13	1734	56			
2020-06-14	1756	57			
2020-06-15	1768	57			
2020-06-16	1771	57			
2020-06-17	1775	57			
2020-06-18	1802	57			
2020-06-19	1818	57			
2020-06-20	1839	57			
2020-06-21	1842	57			
2020-06-22	1844	57			
2020-06-23	1851	57			
2020-06-24	1856	58			
2020-06-25	1858	58			
2020-06-26	1862	58			
2020-06-27	1865	58			
2020-06-28	1868	58			
