# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-04	1	0			
2020-03-06	2	0			
2020-03-07	8	0			
2020-03-08	9	1			
2020-03-09	12	1			
2020-03-11	19	1			
2020-03-13	31	1			
2020-03-14	34	2			
2020-03-15	45	2			
2020-03-16	56	2			
2020-03-17	65	2			
2020-03-18	79	2			
2020-03-19	97	2			
2020-03-20	128	3			
2020-03-21	158	3			
2020-03-22	225	4			
2020-03-23	266	4			
2020-03-24	301	4			
2020-03-25	387	6			
2020-03-26	502	8			
2020-03-27	589	12			
2020-03-28	690	17			
2020-03-29	745	19			
2020-03-30	820	20			
2020-03-31	966	24			
2020-04-01	966	24			
2020-04-02	1133	31			
2020-04-03	1133	34			
2020-04-04	1265	37			
2020-04-05	1451	43			
2020-04-06	1554	46			
2020-04-07	1628	53			
2020-04-08	1715	60			
2020-04-09	1795	65			
2020-04-10	1894	79			
2020-04-11	1975	82			
2020-04-12	2137	89			
2020-04-13	2203	95			
2020-04-14	2272	98			
2020-04-15	2432	105			
2020-04-16	2432	109			
2020-04-17	2560	115			
2020-04-18	2658	122			
2020-04-19	2828	132			
2020-04-20	2930	134			
2020-04-21	3020	142			
2020-04-22	3132	151			
2020-04-23	3276	159			
2020-04-24	3423	165			
2020-04-25	3423	167			
2020-04-26	3767	185			
2020-04-27	3767	186			
2020-04-28	3990	197			
2020-04-29	4114	207			
2020-04-30	4272	214			
2020-05-01	4415	218			
2020-05-02	4519	225			
2020-05-03	4668	237			
2020-05-04	4770	246			
2020-05-05	4874	260			
2020-05-06	5007	264			
2020-05-07	5195	273			
2020-05-08	5358	282			
2020-05-09	5598	293			
2020-05-10	5763	300			
2020-05-11	5776	300			
2020-05-12	6021	305			
2020-05-13	6550	319			
2020-05-14	6866	329			
2020-05-15	7121	353			
2020-05-16	7466	356			
2020-05-17	7792	363			
2020-05-18	7792	366			
2020-05-19	8358	382			
2020-05-20	8796	393			
2020-05-21	9270	403			
2020-05-22	9918	416			
2020-05-23	10636	433			
2020-05-24	11340	445			
2020-05-25	12063	452			
2020-05-26	12615	467			
2020-05-27	13215	484			
2020-05-28	13920	500			
2020-05-29	14689	508			
2020-05-30	15406	520			
2020-05-31	16201	528			
2020-06-01	16838	539			
2020-06-02	17402	556			
2020-06-03	18306	569			
2020-06-04	19255	583			
2020-06-05	19255	588			
2020-06-06	21024	632			
2020-06-07	22007	648			
2020-06-08	22781	664			
2020-06-09	23607	693			
2020-06-10	24748	717			
2020-06-11	25987	735			
2020-06-12	27360	765			
2020-06-13	28751	785			
2020-06-14	30282	815			
2020-06-15	31564	833			
2020-06-16	32772	854			
2020-06-17	34146	878			
2020-06-18	35539	913			
2020-06-19	35539	929			
2020-06-20	39557	979			
2020-06-21	41191	992			
2020-06-22	42772	1011			
2020-06-23	44918	1043			
2020-06-24	44918	1049			
2020-06-25	49838	1085			
2020-06-26	52444	1124			
2020-06-27	52444	1167			
2020-06-28	57731	1207			
