# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-15	6	0			
2020-03-16	9	0			
2020-03-17	11	0			
2020-03-18	33	0			
2020-03-19	37	0			
2020-03-20	49	0			
2020-03-21	53	0			
2020-03-22	56	0			
2020-03-23	60	0			
2020-03-24	62	0			
2020-03-25	79	0			
2020-03-26	88	0			
2020-03-27	120	0			
2020-03-28	193	0			
2020-03-29	229	0			
2020-03-30	284	1			
2020-03-31	325	1			
2020-04-01	340	1			
2020-04-02	348	2			
2020-04-03	386	3			
2020-04-04	460	3			
2020-04-05	460	3			
2020-04-06	531	5			
2020-04-07	670	6			
2020-04-08	704	6			
2020-04-09	759	7			
2020-04-10	802	9			
2020-04-11	840	10			
2020-04-12	880	10			
2020-04-13	961	10			
2020-04-14	1179	14			
2020-04-15	1267	14			
2020-04-16	1331	16			
2020-04-17	1470	17			
2020-04-18	1591	17			
2020-04-19	1654	17			
2020-04-20	1735	19			
2020-04-21	1949	19			
2020-04-22	2025	19			
2020-04-23	2191	19			
2020-04-24	2334	22			
2020-04-25	2482	25			
2020-04-26	2652	25			
2020-04-27	2717	25			
2020-04-28	2860	25			
2020-04-29	3063	25			
2020-04-30	3205	25			
2020-05-01	3504	25			
