# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	2	0			
2020-03-01	3	0			
2020-03-02	3	0			
2020-03-05	3	0			
2020-03-06	9	0			
2020-03-08	12	0			
2020-03-09	13	0			
2020-03-10	15	0			
2020-03-11	23	0			
2020-03-12	24	0			
2020-03-13	25	0			
2020-03-14	30	0			
2020-03-15	30	0			
2020-03-16	30	0			
2020-03-17	33	0			
2020-03-18	34	0			
2020-03-19	34	0			
2020-03-20	40	0			
2020-03-21	43	0			
2020-03-22	49	0			
2020-03-23	54	0			
2020-03-24	61	0			
2020-03-25	70	0			
2020-03-26	73	0			
2020-03-27	79	0			
2020-03-28	81	0			
2020-03-29	85	0			
2020-03-30	90	0			
2020-03-31	98	0			
2020-04-01	110	0			
2020-04-02	115	0			
2020-04-03	121	0			
2020-04-04	148	0			
2020-04-05	157	0			
2020-04-06	174	2			
2020-04-07	188	2			
2020-04-08	196	3			
2020-04-09	211	3			
2020-04-10	218	3			
2020-04-11	234	3			
2020-04-12	242	3			
2020-04-13	257	3			
2020-04-14	272	3			
2020-04-15	300	3			
2020-04-16	306	3			
2020-04-17	348	3			
2020-04-18	370	3			
2020-04-19	388	4			
2020-04-20	394	4			
2020-04-21	402	4			
2020-04-22	408	4			
2020-04-23	416	5			
2020-04-24	425	5			
2020-04-25	444	5			
2020-04-26	456	5			
2020-04-27	486	6			
2020-04-28	497	6			
2020-04-29	511	6			
2020-04-30	517	6			
2020-05-01	539	6			
2020-05-02	582	8			
2020-05-03	582	8			
2020-05-04	589	9			
2020-05-05	593	9			
2020-05-06	604	9			
2020-05-07	610	9			
2020-05-08	615	9			
2020-05-09	623	10			
2020-05-10	626	10			
2020-05-11	635	10			
2020-05-12	638	11			
2020-05-13	642	11			
2020-05-14	647	11			
2020-05-15	667	12			
2020-05-16	671	12			
2020-05-17	695	12			
2020-05-18	701	12			
2020-05-19	702	12			
2020-05-20	707	12			
2020-05-21	713	12			
2020-05-22	721	12			
2020-05-23	723	12			
2020-05-24	728	12			
2020-05-25	730	12			
2020-05-26	731	12			
2020-05-27	732	12			
2020-05-28	735	12			
2020-05-29	738	12			
2020-05-30	746	12			
2020-05-31	757	12			
2020-06-01	783	12			
2020-06-02	796	12			
2020-06-03	800	13			
2020-06-04	800	13			
2020-06-05	801	13			
2020-06-06	805	13			
2020-06-07	808	13			
2020-06-08	808	13			
2020-06-09	812	13			
2020-06-10	818	13			
2020-06-11	827	13			
2020-06-12	831	13			
2020-06-13	843	13			
2020-06-14	851	14			
2020-06-15	879	14			
2020-06-16	879	14			
2020-06-17	888	14			
2020-06-18	893	14			
2020-06-19	895	14			
2020-06-20	896	14			
2020-06-21	898	14			
2020-06-22	908	14			
2020-06-23	911	14			
2020-06-24	914	14			
2020-06-25	917	14			
2020-06-26	919	14			
2020-06-27	921	14			
2020-06-28	924	15			
2020-06-29	926	15			
2020-06-30	928	15			
2020-07-01	928	15			
2020-07-02	931	15			
2020-07-03	939	15			
2020-07-04	946	15			
2020-07-05	948	15			
2020-07-06	953	15			
2020-07-07	958	15			
2020-07-08	963	15			
2020-07-09	968	15			
2020-07-10	973	15			
2020-07-11	981	15			
2020-07-12	986	15			
2020-07-13	995	15			
2020-07-14	999	15			
2020-07-15	1003	15			
2020-07-16	1006	15			
