# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-19	1	0			
2020-03-20	1	0			
2020-03-21	3	0			
2020-03-22	3	0			
2020-03-23	3	0			
2020-03-24	5	0			
2020-03-25	9	0			
2020-03-26	13	0			
2020-03-27	13	0			
2020-03-28	13	0			
2020-03-29	19	0			
2020-03-30	30	0			
2020-03-31	32	0			
2020-04-01	32	1			
2020-04-02	41	2			
2020-04-03	46	2			
2020-04-04	56	3			
2020-04-05	62	3			
2020-04-06	69	3			
2020-04-07	78	4			
2020-04-08	78	4			
2020-04-09	103	5			
2020-04-10	117	6			
2020-04-11	118	6			
2020-04-12	118	6			
2020-04-13	125	6			
2020-04-14	149	6			
2020-04-15	159	6			
2020-04-16	159	6			
2020-04-17	164	6			
2020-04-18	177	7			
2020-04-19	190	7			
2020-04-20	201	7			
2020-04-21	218	7			
2020-04-22	225	7			
2020-04-23	237	8			
2020-04-24	250	8			
2020-04-25	261	8			
2020-04-26	298	8			
2020-04-27	298	8			
2020-04-28	323	8			
2020-04-29	345	9			
2020-04-30	377	9			
2020-05-01	424	10			
2020-05-02	446	10			
2020-05-03	446	11			
2020-05-04	555	12			
2020-05-05	587	13			
2020-05-06	587	14			
2020-05-07	695	15			
2020-05-08	695	15			
2020-05-09	784	16			
2020-05-10	889	17			
2020-05-11	958	17			
2020-05-12	998	18			
2020-05-13	1037	20			
2020-05-14	1112	20			
2020-05-15	1210	23			
2020-05-16	1265	25			
2020-05-17	1265	26			
2020-05-18	1338	30			
2020-05-19	1413	30			
2020-05-20	1498	31			
2020-05-21	1571	32			
2020-05-22	1640	33			
2020-05-23	1725	33			
2020-05-24	1819	35			
2020-05-25	1915	35			
2020-05-26	1983	36			
2020-05-27	2042	36			
2020-05-28	2109	39			
2020-05-29	2194	39			
2020-05-30	2278	43			
2020-05-31	2517	46			
2020-06-01	2517	46			
2020-06-02	2582	46			
2020-06-03	2653	49			
2020-06-04	2705	51			
2020-06-05	2781	52			
2020-06-06	2849	53			
2020-06-07	2934	53			
2020-06-08	3015	55			
2020-06-09	3104	58			
2020-06-10	3191	60			
2020-06-11	3274	64			
2020-06-12	3481	68			
2020-06-13	3481	72			
2020-06-14	3603	72			
2020-06-15	3720	74			
2020-06-16	3826	76			
2020-06-17	3941	78			
2020-06-18	4066	82			
2020-06-19	4200	86			
2020-06-20	4329	93			
2020-06-21	4626	98			
2020-06-22	4626	107			
2020-06-23	4808	107			
2020-06-24	4973	113			
2020-06-25	5150	126			
2020-06-26	5336	133			
2020-06-27	5517	143			
2020-06-28	5934	152			
2020-06-29	5934	164			
2020-06-30	6173	164			
2020-07-01	6438	174			
2020-07-02	6736	182			
2020-07-03	7000	191			
2020-07-04	7267	210			
2020-07-05	7507	210			
2020-07-06	7777	217			
2020-07-07	8027	223			
2020-07-08	8307	229			
2020-07-09	8566	235			
2020-07-10	8844	243			
2020-07-11	9142	249			
2020-07-12	9391	254			
2020-07-13	9674	267			
2020-07-14	9978	278			
2020-07-15	10303	278			
2020-07-16	10645	298			
