# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-17	0	0			
2020-03-24	2	0			
2020-03-25	3	0			
2020-03-26	3	0			
2020-03-27	5	0			
2020-03-28	5	0			
2020-03-29	8	0			
2020-03-30	8	0			
2020-03-31	14	0			
2020-04-01	15	1			
2020-04-02	16	1			
2020-04-03	20	1			
2020-04-04	20	1			
2020-04-05	21	1			
2020-04-06	21	1			
2020-04-07	22	1			
2020-04-08	22	1			
2020-04-09	22	3			
2020-04-10	27	3			
2020-04-11	28	3			
2020-04-12	31	3			
2020-04-13	41	4			
2020-04-14	62	4			
2020-04-15	74	4			
2020-04-16	74	4			
2020-04-17	85	4			
2020-04-18	94	5			
2020-04-19	107	5			
2020-04-20	111	5			
2020-04-21	119	5			
2020-04-22	121	5			
2020-04-23	127	5			
2020-04-24	132	5			
2020-04-25	144	5			
2020-04-26	146	5			
2020-04-27	146	5			
2020-04-28	146	5			
2020-04-29	150	5			
2020-04-30	150	6			
2020-05-01	151	6			
2020-05-02	151	6			
2020-05-03	151	6			
2020-05-04	155	6			
2020-05-05	161	6			
2020-05-06	161	6			
2020-05-07	162	6			
2020-05-08	176	6			
2020-05-09	177	6			
2020-05-10	178	6			
2020-05-11	180	6			
2020-05-12	180	6			
2020-05-13	180	6			
2020-05-14	181	6			
2020-05-15	181	6			
2020-05-16	182	6			
2020-05-17	182	6			
2020-05-18	187	6			
2020-05-19	191	6			
2020-05-20	193	6			
2020-05-21	199	6			
2020-05-22	199	6			
2020-05-23	201	6			
2020-05-24	201	6			
2020-05-25	201	6			
2020-05-26	203	6			
2020-05-27	206	6			
2020-05-28	206	6			
2020-05-29	206	6			
2020-05-30	224	6			
2020-05-31	224	6			
2020-06-01	228	6			
2020-06-02	228	6			
2020-06-03	233	6			
2020-06-04	234	6			
2020-06-05	236	6			
2020-06-06	236	6			
2020-06-07	240	6			
2020-06-08	243	6			
2020-06-09	244	6			
2020-06-10	246	6			
2020-06-11	249	6			
2020-06-12	261	6			
2020-06-13	261	6			
2020-06-14	261	6			
2020-06-15	262	6			
2020-06-16	262	6			
2020-06-17	262	6			
2020-06-18	263	6			
2020-06-19	286	6			
2020-06-20	286	6			
2020-06-21	287	6			
2020-06-22	290	6			
2020-06-23	291	6			
2020-06-24	292	6			
2020-06-25	293	6			
2020-06-26	293	6			
2020-06-27	293	6			
2020-06-28	296	6			
2020-06-29	299	6			
2020-06-30	299	6			
2020-07-01	299	6			
2020-07-02	304	6			
2020-07-03	304	6			
2020-07-04	306	6			
2020-07-05	313	6			
2020-07-06	313	6			
2020-07-07	316	6			
2020-07-08	316	6			
2020-07-09	318	6			
2020-07-10	321	6			
2020-07-11	326	6			
2020-07-12	330	6			
2020-07-13	331	6			
2020-07-14	336	6			
2020-07-15	337	6			
2020-07-16	337	6			
2020-07-17	339	6			
2020-07-18	339	6			
2020-07-19	341	6			
2020-07-20	341	6			
2020-07-21	341	6			
2020-07-22	341	6			
2020-07-23	343	6			
2020-07-24	343	6			
2020-07-25	346	6			
2020-07-26	349	6			
2020-07-27	350	6			
2020-07-28	350	6			
2020-07-29	351	6			
2020-07-30	353	6			
2020-07-31	353	6			
2020-08-01	353	6			
2020-08-02	353	6			
2020-08-03	353	6			
2020-08-04	355	6			
2020-08-05	356	6			
2020-08-06	357	6			
2020-08-07	359	6			
2020-08-08	359	6			
2020-08-09	359	6			
2020-08-10	360	6			
2020-08-11	360	6			
2020-08-12	360	6			
2020-08-13	361	6			
2020-08-14	369	6			
2020-08-15	374	6			
2020-08-16	374	6			
2020-08-17	375	6			
2020-08-18	376	6			
2020-08-19	379	6			
2020-08-20	396	6			
2020-08-21	409	6			
2020-08-22	435	6			
2020-08-23	444	6			
2020-08-24	463	6			
2020-08-25	474	6			
2020-08-26	504	6			
2020-08-27	586	6			
2020-08-28	628	6			
2020-08-29	656	6			
2020-08-30	749	6			
2020-08-31	787	6			
2020-09-01	887	6			
2020-09-02	938	6			
2020-09-03	1058	6			
2020-09-04	1133	7			
2020-09-05	1216	7			
2020-09-06	1319	8			
2020-09-07	1464	8			
2020-09-08	1610	8			
2020-09-09	1807	12			
2020-09-10	2009	14			
2020-09-11	2265	14			
2020-09-12	2445	15			
2020-09-13	2796	16			
2020-09-14	3015	24			
2020-09-15	3299	32			
2020-09-16	3636	39			
2020-09-17	3894	46			
2020-09-18	4299	61			
2020-09-19	4621	75			
2020-09-20	5263	81			
2020-09-21	5805	94			
2020-09-22	6471	100			
2020-09-23	6959	116			
2020-09-24	7827	133			
2020-09-25	8515	155			
2020-09-26	9112	174			
2020-09-27	9991	198			
2020-09-28	10734	226			
2020-09-29	11631	256			
2020-09-30	12425	284			
2020-10-01	13373	310			
2020-10-02	14383	321			
2020-10-03	15525	353			
2020-10-04	16503	371			
2020-10-05	17794	412			
2020-10-06	18781	444			
2020-10-07	20033	471			
2020-10-08	21433	510			
2020-10-09	22445	535			
2020-10-10	23906	566			
2020-10-11	26064	598			
2020-10-12	27974	646			
2020-10-13	29314	664			
2020-10-14	30437	693			
2020-10-15	31325	732			
2020-10-16	32351	765			
2020-10-17	33488	799			
2020-10-18	34875	838			
2020-10-19	36025	880			
2020-10-20	37205	914			
2020-10-21	38502	945			
2020-10-22	39696	972			
2020-10-23	41008	1005			
2020-10-24	42365	1038			
2020-10-25	43788	1066			
2020-10-26	44774	1095			
2020-10-27	46200	1122			
2020-10-28	47666	1147			
2020-10-29	49072	1172			
2020-10-30	50403	1199			
2020-10-31	51496	1219			
2020-11-01	52706	1237			
2020-11-02	53405	1258			
2020-11-03	54607	1282			
2020-11-04	55804	1307			
2020-11-05	56940	1330			
2020-11-06	57935	1352			
2020-11-07	59277	1376			
2020-11-08	60348	1396			
2020-11-09	61377	1420			
2020-11-10	61975	1437			
2020-11-11	63241	1461			
2020-11-12	64453	1480			
2020-11-13	65598	1508			
2020-11-14	66734	1534			
2020-11-15	68011	1552			
2020-11-16	68994	1577			
2020-11-17	70161	1599			
2020-11-18	71730	1625			
2020-11-19	73322	1650			
2020-11-20	74882	1676			
2020-11-21	76414	1695			
2020-11-22	77848	1722			
2020-11-23	79246	1739			
2020-11-24	80505	1765			
2020-11-25	82236	1784			
2020-11-26	83566	1810			
2020-11-27	85205	1846			
2020-11-28	86633	1865			
2020-11-29	87977	1887			
2020-11-30	89486	1918			
2020-12-01	90713	1941			
2020-12-02	92189	1972			
2020-12-03	93600	1998			
2020-12-04	95018	2028			
2020-12-05	96520	2059			
2020-12-06	98047	2081			
2020-12-07	99155	2110			
2020-12-08	100431	2132			
2020-12-09	101739	2151			
2020-12-10	103166	2174			
