# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-13	1	0			
2020-03-20	3	0			
2020-03-24	6	0			
2020-03-26	6	1			
2020-03-27	7	1			
2020-03-28	8	1			
2020-03-29	8	1			
2020-03-30	9	1			
2020-04-01	11	1			
2020-04-02	11	1			
2020-04-03	11	1			
2020-04-04	11	1			
2020-04-05	11	1			
2020-04-06	11	1			
2020-04-07	13	1			
2020-04-08	13	1			
2020-04-09	14	1			
2020-04-10	14	1			
