# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	2	0			
2020-02-26	4	0			
2020-02-27	4	0			
2020-02-28	6	0			
2020-02-29	6	0			
2020-03-01	6	0			
2020-03-02	6	0			
2020-03-03	7	0			
2020-03-05	15	0			
2020-03-06	16	0			
2020-03-10	18	0			
2020-03-11	18	0			
2020-03-14	20	0			
2020-03-15	20	0			
2020-03-16	22	0			
2020-03-17	24	0			
2020-03-18	24	0			
2020-03-19	39	0			
2020-03-20	39	0			
2020-03-21	48	0			
2020-03-22	52	0			
2020-03-23	55	0			
2020-03-24	66	0			
2020-03-25	84	0			
2020-03-26	99	0			
2020-03-27	109	0			
2020-03-28	131	0			
2020-03-29	152	0			
2020-03-30	167	0			
2020-03-31	179	0			
2020-04-01	192	1			
2020-04-02	210	1			
2020-04-03	231	1			
2020-04-04	231	1			
2020-04-05	277	2			
2020-04-06	298	2			
2020-04-07	371	2			
2020-04-08	419	2			
2020-04-09	419	2			
2020-04-10	457	3			
2020-04-11	484	3			
2020-04-12	546	3			
2020-04-13	599	4			
2020-04-14	813	4			
2020-04-15	910	4			
2020-04-16	910	4			
2020-04-17	1019	4			
2020-04-18	1069	6			
2020-04-19	1180	6			
2020-04-20	1266	7			
2020-04-21	1508	8			
2020-04-22	1508	8			
2020-04-23	1614	8			
2020-04-24	1716	9			
2020-04-25	1790	10			
2020-04-26	1905	10			
2020-04-27	1998	10			
2020-04-28	2049	10			
2020-04-29	2131	10			
2020-04-30	2274	10			
2020-05-01	2348	11			
2020-05-02	2447	11			
2020-05-03	2483	12			
2020-05-04	2568	12			
2020-05-05	2637	12			
2020-05-06	2735	12			
2020-05-07	2903	13			
2020-05-08	2958	14			
2020-05-09	3112	15			
2020-05-10	3224	17			
2020-05-11	3399	17			
2020-05-12	3574	17			
2020-05-13	3721	17			
2020-05-14	4019	17			
2020-05-15	4341	19			
2020-05-16	4625	19			
2020-05-17	5029	21			
2020-05-18	5186	22			
2020-05-19	5379	26			
2020-05-20	5671	27			
2020-05-21	6043	30			
2020-05-22	6370	31			
2020-05-23	6794	32			
2020-05-24	7257	36			
2020-05-25	7770	37			
2020-05-26	7770	37			
2020-05-27	8118	37			
2020-05-28	8373	38			
2020-05-29	9009	40			
2020-05-30	9820	40			
2020-05-31	10423	42			
2020-06-01	11437	47			
2020-06-02	12223	50			
2020-06-03	12799	59			
2020-06-04	13537	67			
2020-06-05	14316	67			
2020-06-06	15086	72			
2020-06-07	16016	72			
2020-06-08	16882	75			
2020-06-09	17486	81			
2020-06-10	18198	83			
2020-06-11	18887	84			
2020-06-12	19954	89			
2020-06-13	21071	96			
2020-06-14	22077	99			
2020-06-15	23481	104			
2020-06-16	24524	108			
2020-06-17	25269	114			
2020-06-18	26079	116			
2020-06-19	26818	119			
2020-06-20	27670	125			
2020-06-21	28566	128			
2020-06-22	29471	131			
2020-06-23	31076	137			
2020-06-24	32394	140			
2020-06-25	33536	142			
2020-06-26	34902	144			
2020-06-27	36034	153			
2020-06-28	36953	159			
2020-06-29	38150	163			
2020-06-30	39060	169			
2020-07-01	40070	176			
2020-07-02	41194	185			
2020-07-03	42555	188			
2020-07-04	43929	193			
2020-07-05	45106	203			
2020-07-06	46178	213			
2020-07-07	47735	218			
2020-07-08	48997	224			
2020-07-09	50207	233			
2020-07-10	51725	236			
2020-07-11	53614	244			
2020-07-12	54697	248			
2020-07-13	56015	257			
2020-07-14	58179	259			
2020-07-15	59568	273			
2020-07-16	61247	281			
