# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-15	6	0			
2020-03-16	8	0			
2020-03-17	29	0			
2020-03-18	50	0			
2020-03-19	79	0			
2020-03-20	94	0			
2020-03-21	110	0			
2020-03-22	135	0			
2020-03-23	158	0			
2020-03-24	162	0			
2020-03-25	189	0			
2020-03-26	217	0			
2020-03-27	238	0			
2020-03-28	238	0			
2020-03-29	259	0			
2020-03-30	295	1			
2020-03-31	324	1			
2020-04-01	330	1			
2020-04-02	341	2			
2020-04-03	359	4			
2020-04-04	371	4			
2020-04-05	390	5			
2020-04-06	407	6			
2020-04-07	411	6			
2020-04-08	417	7			
2020-04-09	426	7			
2020-04-10	433	7			
2020-04-11	446	7			
2020-04-12	453	7			
2020-04-13	465	8			
2020-04-14	472	8			
2020-04-15	483	8			
2020-04-16	493	9			
2020-04-17	502	9			
2020-04-18	508	9			
2020-04-19	517	9			
2020-04-20	528	10			
2020-04-21	535	10			
2020-04-22	543	12			
2020-04-23	549	12			
2020-04-24	557	12			
2020-04-25	563	12			
2020-04-26	596	14			
2020-04-27	606	15			
2020-04-28	620	15			
2020-04-29	625	15			
2020-04-30	630	15			
2020-05-01	643	17			
2020-05-02	648	17			
2020-05-03	652	17			
2020-05-04	655	17			
2020-05-05	657	17			
2020-05-06	670	17			
2020-05-07	673	17			
2020-05-08	684	17			
2020-05-09	694	18			
2020-05-10	702	18			
2020-05-11	707	19			
2020-05-12	711	19			
2020-05-13	717	19			
2020-05-14	719	19			
2020-05-15	724	19			
2020-05-16	732	19			
2020-05-17	733	19			
2020-05-18	734	20			
2020-05-19	737	20			
2020-05-20	738	20			
2020-05-21	746	20			
2020-05-22	749	20			
2020-05-23	753	20			
2020-05-24	764	22			
2020-05-25	769	22			
2020-05-26	787	22			
2020-05-27	789	22			
2020-05-28	803	22			
2020-05-29	811	22			
2020-05-30	816	22			
2020-05-31	821	22			
2020-06-01	823	22			
2020-06-02	825	23			
2020-06-03	826	23			
2020-06-04	828	23			
2020-06-05	832	23			
2020-06-06	834	23			
2020-06-07	845	23			
2020-06-08	845	23			
2020-06-09	845	23			
2020-06-10	846	23			
2020-06-11	847	23			
2020-06-12	847	23			
2020-06-13	847	23			
2020-06-14	847	23			
2020-06-15	848	23			
2020-06-16	848	23			
2020-06-17	849	24			
2020-06-18	849	24			
2020-06-19	850	24			
2020-06-20	853	24			
2020-06-21	859	25			
2020-06-22	876	25			
2020-06-23	882	25			
2020-06-24	885	25			
2020-06-25	902	26			
2020-06-26	907	26			
2020-06-27	919	26			
2020-06-28	924	26			
2020-06-29	929	27			
2020-06-30	932	27			
2020-07-01	936	27			
2020-07-02	943	28			
2020-07-03	947	28			
2020-07-04	952	28			
2020-07-05	955	28			
2020-07-06	956	28			
2020-07-07	960	29			
2020-07-08	965	29			
2020-07-09	974	29			
2020-07-10	977	29			
2020-07-11	985	29			
2020-07-12	986	30			
2020-07-13	987	31			
2020-07-14	989	31			
2020-07-15	997	31			
2020-07-16	1009	31			
