# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	ICU	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	2	2			
2020-02-21	5	2			
2020-02-22	18	4			
2020-02-23	28	5			
2020-02-24	43	8			
2020-02-25	61	12			
2020-02-26	95	15			
2020-02-27	139	19			
2020-02-28	245	26			
2020-02-29	388	34			
2020-03-01	593	43			
2020-03-02	978	54			
2020-03-03	1501	66			
2020-03-04	2336	77			
2020-03-05	2922	92			
2020-03-06	3513	107			
2020-03-07	4747	124			
2020-03-08	5823	145			
2020-03-09	6566	194			
2020-03-10	7161	237			
2020-03-11	8042	291			
2020-03-12	9000	354			
2020-03-13	10075	429			
2020-03-14	11364	514			
2020-03-15	12729	611			
2020-03-16	13938	724			
2020-03-17	14991	853			
2020-03-18	16169	988			
2020-03-19	17361	1135			
2020-03-20	18407	1284			
2020-03-21	19644	1433			
2020-03-22	20610	1556			
2020-03-23	21638	1685			
2020-03-24	23049	1812			
2020-03-25	24811	1934			
2020-03-26	27017	2077			
2020-03-27	29406	2234			
2020-03-28	32332	2378			
2020-03-29	35408	2517			
2020-03-30	38309	2640			
2020-03-31	41495	2757			
2020-04-01	44606	2898			
2020-04-02	47593	3036			
