# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	1	0			
2020-02-28	1	0			
2020-02-29	3	0			
2020-03-01	3	0			
2020-03-02	3	0			
2020-03-04	4	0			
2020-03-06	6	0			
2020-03-07	7	0			
2020-03-08	13	0			
2020-03-09	15	0			
2020-03-10	17	0			
2020-03-11	25	0			
2020-03-12	45	0			
2020-03-13	64	0			
2020-03-14	89	0			
2020-03-15	113	0			
2020-03-16	139	0			
2020-03-17	184	0			
2020-03-18	217	0			
2020-03-19	260	0			
2020-03-20	277	0			
2020-03-21	308	0			
2020-03-22	367	0			
2020-03-23	433	2			
2020-03-24	576	7			
2020-03-25	762	11			
2020-03-26	906	13			
2020-03-27	1029	17			
2020-03-28	1292	24			
2020-03-29	1452	29			
2020-03-30	1760	40			
2020-03-31	1952	44			
2020-04-01	2245	69			
2020-04-02	2460	85			
2020-04-03	2738	94			
2020-04-04	3183	133			
2020-04-05	3613	141			
2020-04-06	3864	148			
2020-04-07	4057	157			
2020-04-08	4417	182			
2020-04-09	4761	209			
2020-04-10	5202	229			
2020-04-11	5467	257			
2020-04-12	5990	282			
2020-04-13	6300	306			
2020-04-14	6633	318			
2020-04-15	6879	344			
2020-04-16	7216	372			
2020-04-17	7707	387			
2020-04-18	8067	400			
2020-04-19	8418	417			
2020-04-20	8746	434			
2020-04-21	8936	451			
2020-04-22	9242	483			
2020-04-23	9710	508			
2020-04-24	10096	527			
2020-04-25	10417	552			
2020-04-26	10635	575			
2020-04-27	11036	608			
2020-04-28	11339	631			
2020-04-29	11616	650			
2020-04-30	11978	675			
2020-05-01	12240	717			
2020-05-02	12567	744			
2020-05-03	12732	771			
2020-05-04	13163	780			
2020-05-05	13512	803			
2020-05-06	13837	827			
2020-05-07	14107	858			
2020-05-08	14499	876			
2020-05-09	14811	898			
2020-05-10	15131	926			
2020-05-11	15362	952			
2020-05-12	15588	972			
2020-05-13	15778	1002			
2020-05-14	16002	1016			
2020-05-15	16247	1046			
2020-05-16	16437	1056			
2020-05-17	16704	1081			
2020-05-18	16871	1097			
2020-05-19	17036	1107			
2020-05-20	17191	1126			
2020-05-21	17387	1141			
2020-05-22	17585	1151			
2020-05-23	17712	1159			
2020-05-24	17857	1170			
2020-05-25	18070	1179			
2020-05-26	18283	1197			
2020-05-27	18429	1210			
2020-05-28	18594	1219			
2020-05-29	18791	1229			
2020-05-30	18982	1240			
2020-05-31	19133	1253			
2020-06-01	19257	1262			
2020-06-02	19398	1279			
2020-06-03	19517	1279			
2020-06-04	19669	1288			
2020-06-05	19907	1299			
2020-06-06	20103	1308			
2020-06-07	20290	1318			
2020-06-08	20479	1326			
2020-06-09	20604	1334			
2020-06-10	20749	1345			
2020-06-11	20945	1360			
2020-06-12	21182	1369			
2020-06-13	21404	1380			
2020-06-14	21679	1391			
2020-06-15	21999	1410			
2020-06-16	22165	1427			
2020-06-17	22415	1437			
2020-06-18	22760	1451			
2020-06-19	23080	1473			
2020-06-20	23400	1484			
2020-06-21	23730	1500			
2020-06-22	24045	1512			
2020-06-23	24291	1523			
2020-06-24	24505	1539			
2020-06-25	24826	1555			
2020-06-26	25286	1565			
2020-06-27	25697	1579			
2020-06-28	26022	1589			
