# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	0	0			
2020-03-01	1	0			
2020-03-02	3	0			
2020-03-04	8	0			
2020-03-07	11	0			
2020-03-08	12	0			
2020-03-09	15	0			
2020-03-10	18	0			
2020-03-11	24	0			
2020-03-12	262	0			
2020-03-14	320	0			
2020-03-15	337	0			
2020-03-16	401	0			
2020-03-17	439	0			
2020-03-18	442	0			
2020-03-19	452	0			
2020-03-20	460	0			
2020-03-21	470	0			
2020-03-22	481	0			
2020-03-23	494	0			
2020-03-24	501	0			
2020-03-25	526	0			
2020-03-26	537	0			
2020-03-27	549	0			
2020-03-28	562	0			
2020-03-29	590	1			
2020-03-30	634	1			
2020-03-31	693	1			
2020-04-01	781	2			
2020-04-02	835	2			
2020-04-03	949	3			
2020-04-04	949	3			
2020-04-05	1325	3			
2020-04-06	1604	4			
2020-04-07	1832	4			
2020-04-08	2057	6			
2020-04-09	2210	6			
2020-04-10	2376	6			
2020-04-11	2512	6			
2020-04-12	2728	6			
2020-04-13	2979	7			
2020-04-14	3231	7			
2020-04-15	3428	7			
2020-04-16	3711	7			
2020-04-17	4103	7			
2020-04-18	4663	7			
2020-04-19	5008	8			
2020-04-20	5448	8			
2020-04-21	6015	9			
2020-04-22	6533	9			
2020-04-23	7141	10			
2020-04-24	7764	10			
2020-04-25	8525	10			
2020-04-26	9358	10			
2020-04-27	10287	10			
2020-04-28	11244	10			
2020-04-29	11921	10			
2020-04-30	12564	10			
2020-05-01	13409	10			
2020-05-02	14096	12			
2020-05-03	14872	12			
2020-05-04	15551	12			
2020-05-05	16191	12			
2020-05-06	17142	12			
2020-05-07	17972	12			
2020-05-08	18890	12			
2020-05-09	20201	12			
2020-05-10	21331	13			
2020-05-11	22520	14			
2020-05-12	23623	14			
2020-05-13	25149	14			
2020-05-14	26539	14			
2020-05-15	28272	14			
2020-05-16	29425	14			
2020-05-17	30972	15			
2020-05-18	32604	15			
2020-05-19	33969	15			
2020-05-20	35606	15			
2020-05-21	37097	16			
2020-05-22	38651	17			
2020-05-23	40481	19			
2020-05-24	42213	21			
2020-05-25	43714	23			
2020-05-26	45465	26			
2020-05-27	47207	28			
2020-05-28	48947	30			
2020-05-29	50914	33			
2020-05-30	52907	36			
2020-05-31	55262	36			
2020-06-01	56910	38			
2020-06-02	58433	40			
2020-06-03	60259	43			
2020-06-04	62160	45			
2020-06-05	63741	45			
2020-06-06	65495	49			
2020-06-07	67195	51			
2020-06-08	68790	54			
2020-06-09	70158	57			
2020-06-10	71879	62			
2020-06-11	73595	66			
2020-06-12	75071	69			
2020-06-13	76588	70			
2020-06-14	78416	70			
2020-06-15	79602	73			
2020-06-16	80876	76			
2020-06-17	82077	80			
2020-06-18	83174	82			
2020-06-19	84441	86			
2020-06-20	85462	93			
2020-06-21	86488	94			
2020-06-22	87369	98			
2020-06-23	88403	99			
2020-06-24	89579	99			
2020-06-25	90778	104			
2020-06-26	91838	106			
2020-06-27	92784	109			
2020-06-28	93663	110			
