# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-07	1	0			
2020-03-09	7	0			
2020-03-10	9	0			
2020-03-11	11	0			
2020-03-12	17	0			
2020-03-13	22	0			
2020-03-14	38	0			
2020-03-15	43	0			
2020-03-16	71	0			
2020-03-17	86	0			
2020-03-18	117	0			
2020-03-19	145	0			
2020-03-20	234	2			
2020-03-21	263	3			
2020-03-22	318	5			
2020-03-23	363	5			
2020-03-24	395	5			
2020-03-25	416	7			
2020-03-26	558	8			
2020-03-27	580	9			
2020-03-28	635	11			
2020-03-29	671	16			
2020-03-30	852	18			
2020-03-31	950	24			
2020-04-01	1065	30			
2020-04-02	1323	47			
2020-04-03	1414	55			
2020-04-04	1595	61			
2020-04-05	1746	73			
2020-04-06	2281	83			
2020-04-07	2561	92			
2020-04-08	2954	107			
2020-04-09	4342	121			
2020-04-10	5256	138			
2020-04-11	5897	169			
2020-04-12	6848	181			
2020-04-13	7519	193			
2020-04-14	7519	193			
2020-04-15	10303	230			
2020-04-16	11475	254			
2020-04-17	12491	274			
2020-04-18	13489	300			
2020-04-19	14420	348			
2020-04-20	15628	400			
2020-04-21	16325	445			
2020-04-22	17837	484			
2020-04-23	19250	530			
2020-04-24	20914	572			
2020-04-25	21648	634			
2020-04-26	25331	700			
2020-04-27	27517	728			
2020-04-28	28699	782			
2020-04-29	31190	854			
2020-04-30	33931	943			
2020-05-01	36976	1051			
2020-05-02	40459	1124			
2020-05-03	42534	1200			
2020-05-04	45928	1286			
2020-05-05	47372	1344			
2020-05-06	51189	1444			
2020-05-07	54817	1533			
2020-05-08	58526	1627			
2020-05-09	61847	1714			
2020-05-10	65015	1814			
2020-05-11	67307	1889			
2020-05-12	68822	1961			
2020-05-13	72059	2057			
2020-05-14	76306	2169			
2020-05-15	80604	2267			
