# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-21	2	0			
2020-03-22	4	0			
2020-03-23	5	0			
2020-03-24	7	0			
2020-03-25	9	0			
2020-03-26	14	0			
2020-03-27	15	0			
2020-03-28	15	0			
2020-03-29	15	0			
2020-03-30	15	0			
2020-03-31	16	0			
2020-04-01	16	0			
2020-04-02	16	0			
2020-04-03	16	0			
2020-04-04	18	0			
2020-04-05	18	0			
2020-04-06	18	0			
2020-04-07	18	0			
2020-04-08	18	0			
2020-04-09	18	0			
2020-04-10	18	0			
2020-04-11	18	0			
2020-04-12	18	0			
2020-04-13	18	0			
2020-04-14	18	0			
2020-04-15	18	0			
2020-04-16	18	0			
2020-04-17	18	0			
2020-04-18	18	0			
2020-04-19	18	0			
2020-04-20	18	0			
2020-04-21	18	0			
2020-04-22	18	0			
2020-04-23	18	0			
2020-04-24	18	0			
2020-04-25	18	0			
2020-04-26	18	0			
2020-04-27	18	0			
2020-04-28	18	0			
2020-04-29	18	0			
2020-04-30	18	0			
2020-05-01	18	0			
