# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-14	1	0			
2020-03-15	1	0			
2020-03-16	3	0			
2020-03-17	3	0			
2020-03-18	4	0			
2020-03-19	7	0			
2020-03-20	7	0			
2020-03-21	7	0			
2020-03-22	7	0			
2020-03-23	15	0			
2020-03-24	16	0			
2020-03-25	25	0			
2020-03-26	25	0			
2020-03-27	31	1			
2020-03-28	31	1			
2020-03-29	38	1			
2020-03-30	42	1			
2020-03-31	50	1			
2020-04-01	59	1			
2020-04-02	81	1			
2020-04-03	110	3			
2020-04-04	122	4			
2020-04-05	126	4			
2020-04-06	142	4			
2020-04-07	158	4			
2020-04-08	172	6			
2020-04-09	179	6			
2020-04-10	184	7			
2020-04-11	189	7			
2020-04-12	191	7			
2020-04-13	197	8			
2020-04-14	208	9			
2020-04-15	216	9			
2020-04-16	225	10			
2020-04-17	234	11			
2020-04-18	246	11			
2020-04-19	262	12			
2020-04-20	270	14			
2020-04-21	281	14			
2020-04-22	281	14			
2020-04-23	303	14			
2020-04-24	320	14			
2020-04-25	336	14			
2020-04-26	343	14			
2020-04-27	355	14			
2020-04-28	363	14			
2020-04-29	374	14			
2020-04-30	384	15			
2020-05-01	396	17			
