# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-12	2	0			
2020-03-13	3	0			
2020-03-14	10	0			
2020-03-15	10	0			
2020-03-17	11	0			
2020-03-18	12	0			
2020-03-19	12	0			
2020-03-20	15	0			
2020-03-21	19	0			
2020-03-22	20	0			
2020-03-23	27	0			
2020-03-24	28	0			
2020-03-25	32	0			
2020-03-26	39	0			
2020-03-27	61	0			
2020-03-28	74	0			
2020-03-29	81	0			
2020-03-30	96	3			
2020-03-31	107	6			
2020-04-01	115	7			
2020-04-02	123	8			
2020-04-03	132	9			
2020-04-04	139	10			
2020-04-05	157	10			
2020-04-06	183	11			
2020-04-07	194	14			
2020-04-08	210	15			
2020-04-09	264	18			
2020-04-10	268	19			
2020-04-11	276	20			
2020-04-12	300	24			
2020-04-13	330	27			
2020-04-14	354	28			
2020-04-15	397	28			
2020-04-16	441	29			
2020-04-17	465	31			
2020-04-18	493	31			
2020-04-19	520	32			
2020-04-20	564	33			
2020-04-21	598	34			
2020-04-22	609	37			
2020-04-23	672	40			
2020-04-24	703	43			
2020-04-25	807	44			
2020-04-26	866	46			
2020-04-27	950	50			
2020-04-28	1014	53			
2020-04-29	1053	55			
2020-04-30	1110	59			
2020-05-01	1167	62			
2020-05-02	1229	66			
2020-05-03	1470	71			
2020-05-04	1594	76			
2020-05-05	1681	82			
2020-05-06	1802	86			
2020-05-07	1886	91			
2020-05-08	2081	102			
2020-05-09	2266	106			
2020-05-10	2437	114			
2020-05-11	2556	118			
2020-05-12	2831	122			
2020-05-13	2964	128			
2020-05-14	3148	142			
2020-05-15	3372	152			
2020-05-16	3577	164			
2020-05-17	3826	165			
2020-05-18	4088	169			
2020-05-19	4263	174			
2020-05-20	4481	189			
2020-05-21	4919	199			
2020-05-22	5187	215			
2020-05-23	5579	230			
2020-05-24	5915	240			
2020-05-25	6263	250			
2020-05-26	6660	261			
2020-05-27	7136	274			
2020-05-28	7768	280			
2020-05-29	8387	293			
2020-05-30	8731	300			
2020-05-31	9592	310			
2020-06-01	9982	313			
2020-06-02	10531	343			
2020-06-03	10991	376			
2020-06-04	11638	400			
2020-06-05	12245	415			
2020-06-06	12728	427			
2020-06-07	13358	454			
2020-06-08	13643	465			
2020-06-09	13949	475			
2020-06-10	14644	487			
2020-06-11	15281	512			
2020-06-12	16165	533			
2020-06-13	16929	559			
2020-06-14	17842	585			
2020-06-15	18459	611			
2020-06-16	19073	632			
2020-06-17	19883	659			
2020-06-18	20685	679			
2020-06-19	21499	697			
2020-06-20	22476	715			
2020-06-21	23512	740			
2020-06-22	24388	773			
2020-06-23	25493	820			
2020-06-24	26389	846			
2020-06-25	27487	876			
2020-06-26	28503	913			
2020-06-27	29423	934			
2020-06-28	30676	970			
2020-06-29	31524	1014			
2020-06-30	32125	1071			
2020-07-01	33219	1123			
2020-07-02	34227	1201			
2020-07-03	35528	1271			
2020-07-04	36818	1320			
2020-07-05	38071	1378			
2020-07-06	39297	1434			
2020-07-07	40509	1476			
2020-07-08	41545	1530			
2020-07-09	42984	1577			
2020-07-10	44113	1638			
2020-07-11	45565	1702			
2020-07-12	47200	1754			
2020-07-13	48187	1807			
2020-07-14	49250	1866			
2020-07-15	50867	1898			
2020-07-16	52218	1942			
2020-07-17	54156	1984			
