# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-08	2	0			
2020-03-09	4	0			
2020-03-11	6	0			
2020-03-12	8	0			
2020-03-14	9	0			
2020-03-15	9	0			
2020-03-16	13	0			
2020-03-17	13	0			
2020-03-18	13	0			
2020-03-19	13	0			
2020-03-20	13	0			
2020-03-21	13	0			
2020-03-22	13	0			
2020-03-23	13	0			
2020-03-24	13	0			
2020-03-25	13	0			
2020-03-26	13	0			
2020-03-27	13	0			
2020-03-28	14	0			
2020-03-29	16	0			
2020-03-30	17	0			
2020-03-31	17	0			
2020-04-01	18	0			
2020-04-02	19	0			
2020-04-03	19	0			
2020-04-04	19	0			
2020-04-05	19	0			
2020-04-06	19	0			
2020-04-07	19	0			
2020-04-08	19	0			
2020-04-09	19	0			
2020-04-10	19	0			
2020-04-11	19	0			
2020-04-12	19	0			
2020-04-13	20	0			
2020-04-14	20	0			
2020-04-15	21	0			
2020-04-16	21	0			
2020-04-17	25	0			
2020-04-18	29	0			
2020-04-19	35	0			
2020-04-20	52	0			
2020-04-21	69	0			
2020-04-22	85	0			
2020-04-23	85	0			
2020-04-24	110	0			
2020-04-25	128	0			
2020-04-26	137	0			
2020-04-27	214	0			
2020-04-28	214	0			
2020-04-29	245	0			
2020-04-30	277	0			
2020-05-01	468	1			
2020-05-02	491	1			
2020-05-03	519	1			
2020-05-04	527	1			
2020-05-05	551	1			
2020-05-06	573	1			
2020-05-07	617	2			
2020-05-08	642	3			
2020-05-09	644	3			
2020-05-10	790	3			
2020-05-11	835	3			
2020-05-12	897	3			
2020-05-13	904	3			
2020-05-14	955	4			
2020-05-15	982	4			
2020-05-16	1031	4			
2020-05-17	1078	4			
2020-05-18	1094	4			
2020-05-19	1106	4			
2020-05-20	1143	4			
2020-05-21	1186	4			
2020-05-22	1216	4			
2020-05-23	1274	4			
2020-05-24	1303	4			
2020-05-25	1371	4			
2020-05-26	1395	4			
2020-05-27	1438	5			
2020-05-28	1457	5			
2020-05-29	1513	5			
2020-05-30	1591	5			
2020-05-31	1672	5			
2020-06-01	1773	5			
2020-06-02	1829	6			
2020-06-03	1841	7			
2020-06-04	1850	7			
2020-06-05	1872	7			
2020-06-06	1883	7			
2020-06-07	1901	7			
2020-06-08	1903	8			
2020-06-09	1916	8			
2020-06-10	1942	8			
2020-06-11	1962	8			
2020-06-12	1976	8			
2020-06-13	2003	8			
2020-06-14	2013	8			
2020-06-15	2035	8			
2020-06-16	2065	8			
2020-06-17	2094	8			
2020-06-18	2120	8			
2020-06-19	2137	8			
2020-06-20	2150	8			
2020-06-21	2187	8			
2020-06-22	2203	8			
2020-06-23	2217	8			
2020-06-24	2238	8			
2020-06-25	2261	8			
2020-06-26	2277	8			
2020-06-27	2283	8			
2020-06-28	2305	8			
