# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-06	7	0			
2020-03-07	16	0			
2020-03-08	19	0			
2020-03-10	20	0			
2020-03-11	29	0			
2020-03-12	30	0			
2020-03-14	35	0			
2020-03-15	38	0			
2020-03-16	38	0			
2020-03-17	39	0			
2020-03-18	41	0			
2020-03-19	44	0			
2020-03-20	47	0			
2020-03-21	48	0			
2020-03-22	52	0			
2020-03-23	59	0			
2020-03-24	59	0			
2020-03-25	60	0			
2020-03-26	62	0			
2020-03-27	84	1			
2020-03-28	91	1			
2020-03-29	97	1			
2020-03-30	106	1			
2020-03-31	115	1			
2020-04-01	117	1			
2020-04-02	134	1			
2020-04-03	155	1			
2020-04-04	155	1			
2020-04-06	217	1			
2020-04-07	253	1			
2020-04-08	260	1			
2020-04-09	263	1			
2020-04-10	263	1			
2020-04-11	266	2			
2020-04-12	268	2			
2020-04-13	268	2			
2020-04-14	268	2			
2020-04-15	287	2			
2020-04-16	291	2			
2020-04-17	294	2			
2020-04-18	307	2			
2020-04-19	313	2			
2020-04-20	322	2			
2020-04-21	329	2			
2020-04-22	329	2			
2020-04-23	335	2			
2020-04-24	336	2			
2020-04-25	340	2			
2020-04-26	342	2			
2020-04-27	495	2			
2020-04-28	495	2			
2020-04-29	495	2			
2020-04-30	507	2			
2020-05-01	507	4			
2020-05-02	517	4			
2020-05-03	517	4			
2020-05-04	522	4			
2020-05-05	524	4			
2020-05-06	538	4			
2020-05-07	546	4			
2020-05-08	547	4			
2020-05-09	547	4			
2020-05-10	547	4			
2020-05-11	547	4			
2020-05-12	547	4			
2020-05-13	547	4			
2020-05-14	548	4			
2020-05-15	548	4			
2020-05-16	554	4			
2020-05-17	554	4			
2020-05-18	560	4			
2020-05-19	567	4			
2020-05-20	570	4			
2020-05-21	577	4			
2020-05-22	602	4			
2020-05-23	602	4			
2020-05-24	602	5			
2020-05-25	602	5			
2020-05-26	602	5			
2020-05-27	605	5			
2020-05-28	613	5			
2020-05-29	625	5			
2020-05-30	625	5			
2020-05-31	626	5			
2020-06-01	627	5			
2020-06-02	628	5			
2020-06-03	630	5			
2020-06-04	635	5			
2020-06-05	643	5			
2020-06-06	643	5			
2020-06-07	643	5			
2020-06-08	651	5			
2020-06-09	652	5			
2020-06-10	661	5			
2020-06-11	665	5			
2020-06-12	667	5			
2020-06-13	669	5			
2020-06-14	673	5			
2020-06-15	673	5			
2020-06-16	686	5			
2020-06-17	690	5			
2020-06-18	701	5			
2020-06-19	795	5			
2020-06-20	858	5			
2020-06-21	979	5			
2020-06-22	1022	5			
2020-06-23	1196	5			
2020-06-24	1375	5			
2020-06-25	1534	5			
2020-06-26	1588	5			
2020-06-27	1795	5			
2020-06-28	2053	6			
2020-06-29	2248	7			
2020-06-30	2443	8			
2020-07-01	2765	9			
2020-07-02	3095	11			
2020-07-03	3417	11			
2020-07-04	3689	15			
2020-07-05	4250	16			
2020-07-06	4458	20			
2020-07-07	4786	21			
2020-07-08	5092	22			
2020-07-09	5567	25			
2020-07-10	5829	27			
2020-07-11	6225	30			
2020-07-12	6697	32			
2020-07-13	7038	37			
2020-07-14	7441	41			
2020-07-15	7734	47			
2020-07-16	8154	47			
