# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	0	0			
2020-02-25	0	0			
2020-02-26	0	0			
2020-02-27	0	0			
2020-02-28	0	0			
2020-02-29	1	0			
2020-03-01	1	0			
2020-03-02	3	0			
2020-03-06	6	0			
2020-03-07	9	0			
2020-03-11	11	0			
2020-03-12	13	0			
2020-03-13	13	0			
2020-03-15	19	0			
2020-03-16	19	0			
2020-03-17	19	0			
2020-03-18	28	0			
2020-03-19	34	0			
2020-03-20	44	0			
2020-03-21	44	1			
2020-03-22	53	1			
2020-03-23	65	1			
2020-03-24	72	1			
2020-03-25	87	1			
2020-03-26	93	2			
2020-03-27	122	3			
2020-03-28	165	3			
2020-03-29	182	4			
2020-03-30	209	4			
2020-03-31	273	4			
2020-04-01	298	5			
2020-04-02	359	5			
2020-04-03	400	5			
2020-04-04	443	5			
2020-04-05	521	5			
2020-04-06	584	7			
2020-04-07	641	7			
2020-04-08	717	8			
2020-04-09	822	8			
2020-04-10	926	9			
2020-04-11	991	10			
2020-04-12	1058	11			
2020-04-13	1098	11			
2020-04-14	1148	12			
2020-04-15	1197	13			
2020-04-16	1253	13			
2020-04-17	1283	15			
2020-04-18	1340	15			
2020-04-19	1373	18			
2020-04-20	1398	19			
2020-04-21	1436	19			
2020-04-22	1480	20			
2020-04-23	1518	20			
2020-04-24	1548	20			
2020-04-25	1592	21			
2020-04-26	1617	21			
2020-04-27	1645	21			
2020-04-28	1678	22			
2020-04-29	1717	22			
2020-04-30	1766	23			
2020-05-01	1804	24			
2020-05-02	1854	25			
2020-05-03	1894	25			
2020-05-04	1932	25			
2020-05-05	1984	26			
2020-05-06	2060	26			
2020-05-07	2127	28			
2020-05-08	2204	28			
2020-05-09	2279	28			
2020-05-10	2422	31			
2020-05-11	2519	32			
2020-05-12	2589	32			
2020-05-13	2693	33			
2020-05-14	2758	35			
2020-05-15	2879	35			
2020-05-16	2980	36			
2020-05-17	3138	36			
2020-05-18	3274	39			
2020-05-19	3287	40			
2020-05-20	3518	41			
2020-05-21	3631	43			
2020-05-22	3749	44			
2020-05-23	3855	46			
2020-05-24	3982	49			
