# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	0	0			
2020-01-27	0	0			
2020-01-28	0	0			
2020-01-29	0	0			
2020-01-30	0	0			
2020-01-31	0	0			
2020-02-01	0	0			
2020-02-02	0	0			
2020-02-03	0	0			
2020-02-04	0	0			
2020-02-05	0	0			
2020-02-06	0	0			
2020-02-07	0	0			
2020-02-08	0	0			
2020-02-09	0	0			
2020-02-10	0	0			
2020-02-11	0	0			
2020-02-12	0	0			
2020-02-13	0	0			
2020-02-14	0	0			
2020-02-15	0	0			
2020-02-16	0	0			
2020-02-17	0	0			
2020-02-18	0	0			
2020-02-19	0	0			
2020-02-20	0	0			
2020-02-21	0	0			
2020-02-22	0	0			
2020-02-23	0	0			
2020-02-24	1	0			
2020-02-25	2	0			
2020-02-26	23	0			
2020-02-27	33	0			
2020-02-28	33	0			
2020-02-29	38	0			
2020-03-01	41	0			
2020-03-02	47	0			
2020-03-04	49	0			
2020-03-05	52	0			
2020-03-06	52	0			
2020-03-07	56	0			
2020-03-08	63	0			
2020-03-09	79	0			
2020-03-10	109	0			
2020-03-11	110	0			
2020-03-12	162	0			
2020-03-13	162	0			
2020-03-14	210	0			
2020-03-15	211	0			
2020-03-16	214	0			
2020-03-17	221	1			
2020-03-18	237	1			
2020-03-19	256	1			
2020-03-20	269	1			
2020-03-21	285	1			
2020-03-22	306	1			
2020-03-23	334	2			
2020-03-24	339	2			
2020-03-25	390	3			
2020-03-26	419	3			
2020-03-27	458	4			
2020-03-28	466	4			
2020-03-29	473	4			
2020-03-30	500	4			
2020-03-31	515	4			
2020-04-01	567	4			
2020-04-02	569	4			
2020-04-03	643	4			
2020-04-04	643	4			
2020-04-05	688	4			
2020-04-06	700	4			
2020-04-07	756	4			
2020-04-08	811	5			
2020-04-09	823	5			
2020-04-10	887	5			
2020-04-11	998	6			
2020-04-12	1040	6			
2020-04-13	1136	6			
2020-04-14	1361	7			
2020-04-15	1528	7			
2020-04-16	1673	7			
2020-04-17	1700	7			
2020-04-18	1744	7			
2020-04-19	1773	7			
2020-04-20	1873	7			
2020-04-21	1907	7			
2020-04-22	1973	7			
2020-04-23	2007	7			
2020-04-24	2217	8			
2020-04-25	2518	8			
2020-04-26	2589	8			
2020-04-27	2647	8			
2020-04-28	2723	8			
2020-04-29	2811	8			
2020-04-30	2921	8			
2020-05-01	3040	8			
2020-05-02	3170	8			
2020-05-03	3284	8			
2020-05-04	3383	8			
2020-05-05	3533	8			
2020-05-06	3720	8			
2020-05-07	3934	8			
2020-05-08	4199	8			
2020-05-09	4444	8			
2020-05-10	4774	8			
2020-05-11	4941	8			
2020-05-12	5236	8			
2020-05-13	5531	9			
2020-05-14	5816	10			
2020-05-15	6198	10			
2020-05-16	6583	12			
2020-05-17	6747	12			
2020-05-18	6956	12			
2020-05-19	7184	12			
2020-05-20	7532	12			
2020-05-21	7888	12			
2020-05-22	8174	12			
2020-05-23	8414	12			
2020-05-24	8802	13			
2020-05-25	9138	14			
2020-05-26	9171	14			
2020-05-27	9366	14			
2020-05-28	9633	15			
2020-05-29	10052	15			
2020-05-30	10449	15			
2020-05-31	10793	17			
2020-06-01	11398	19			
2020-06-02	11804	19			
2020-06-03	12311	19			
2020-06-04	12815	20			
2020-06-05	13296	21			
2020-06-06	13835	23			
2020-06-07	14383	24			
2020-06-08	14763	26			
2020-06-09	15417	27			
2020-06-10	16200	29			
2020-06-11	16667	32			
2020-06-12	16667	34			
2020-06-13	17713	36			
2020-06-14	18227	39			
2020-06-15	18544	43			
2020-06-16	19013	46			
2020-06-17	19553	47			
2020-06-18	19961	49			
2020-06-19	20430	55			
2020-06-20	20916	57			
2020-06-21	21331	60			
2020-06-22	21764	63			
2020-06-23	22407	65			
2020-06-24	23062	67			
2020-06-25	23570	69			
2020-06-26	24081	71			
2020-06-27	24805	78			
2020-06-28	25267	78			
2020-06-29	25705	83			
2020-06-30	26239	84			
2020-07-01	26758	87			
2020-07-02	27414	92			
2020-07-03	27837	94			
2020-07-04	28410	95			
2020-07-05	28857	97			
2020-07-06	29367	97			
2020-07-07	29821	98			
2020-07-08	30321	98			
2020-07-09	30931	100			
2020-07-10	31528	103			
2020-07-11	32039	104			
2020-07-12	32470	104			
2020-07-13	32941	109			
2020-07-14	33476	109			
2020-07-15	34078	111			
2020-07-16	34560	117			
2020-07-17	35084	121			
2020-07-18	35473	124			
2020-07-19	36004	124			
2020-07-20	36422	126			
2020-07-21	36936	128			
2020-07-22	37316	129			
2020-07-23	37637	130			
2020-07-24	37996	134			
2020-07-25	38458	136			
2020-07-26	38747	137			
2020-07-27	39131	140			
2020-07-28	39482	141			
2020-07-29	39921	141			
2020-07-30	40311	144			
2020-07-31	40755	146			
2020-08-01	40982	147			
2020-08-02	41190	147			
2020-08-03	41536	147			
2020-08-04	41835	150			
2020-08-05	42132	151			
2020-08-06	42514	154			
2020-08-07	42889	156			
2020-08-08	43307	159			
2020-08-09	43629	161			
2020-08-10	44011	162			
2020-08-11	44397	163			
2020-08-12	44804	165			
2020-08-13	45264	166			
2020-08-14	45726	167			
2020-08-15	46052	168			
2020-08-16	46430	170			
2020-08-17	46430	170			
2020-08-18	47185	173			
2020-08-19	47185	175			
2020-08-20	47185	175			
2020-08-21	47950	179			
2020-08-22	48303	179			
2020-08-23	49038	183			
2020-08-24	49038	184			
2020-08-25	49330	184			
2020-08-26	50076	186			
2020-08-27	50393	186			
2020-08-28	50756	188			
2020-08-29	51113	189			
2020-08-30	51391	189			
2020-08-31	51574	189			
2020-09-01	51574	190			
