# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2020-03-20	3	0			
2020-03-21	12	0			
2020-03-22	14	1			
2020-03-23	28	2			
2020-03-24	36	2			
2020-03-25	42	2			
2020-03-26	48	2			
2020-03-27	81	2			
2020-03-28	94	2			
2020-03-29	102	2			
2020-03-30	110	3			
2020-03-31	128	3			
2020-04-01	143	3			
2020-04-02	154	5			
2020-04-03	169	7			
2020-04-04	186	7			
2020-04-05	196	7			
2020-04-06	227	7			
2020-04-07	244	7			
2020-04-08	268	7			
2020-04-09	273	7			
2020-04-10	314	7			
2020-04-11	318	9			
2020-04-12	319	9			
2020-04-13	324	9			
2020-04-14	324	9			
2020-04-15	324	9			
2020-04-16	324	9			
2020-04-17	324	9			
2020-04-18	324	9			
2020-04-19	325	9			
2020-04-20	328	9			
2020-04-21	328	9			
2020-04-22	328	9			
2020-04-23	329	9			
2020-04-24	331	9			
2020-04-25	331	9			
2020-04-26	331	9			
2020-04-27	332	9			
2020-04-28	332	10			
2020-04-29	332	10			
2020-04-30	332	10			
2020-05-01	332	10			
2020-05-02	332	10			
2020-05-03	332	10			
2020-05-04	332	10			
2020-05-05	332	10			
2020-05-06	332	10			
2020-05-07	332	10			
2020-05-08	332	10			
2020-05-09	332	10			
2020-05-10	332	10			
2020-05-11	332	10			
2020-05-12	332	10			
2020-05-13	332	10			
2020-05-14	332	10			
2020-05-15	332	10			
2020-05-16	332	10			
2020-05-17	332	10			
2020-05-18	332	10			
2020-05-19	332	10			
2020-05-20	332	10			
2020-05-21	332	10			
2020-05-22	332	10			
2020-05-23	332	10			
2020-05-24	332	10			
2020-05-25	334	10			
2020-05-26	334	10			
2020-05-27	334	10			
2020-05-28	334	10			
2020-05-29	334	10			
2020-05-30	335	10			
2020-05-31	335	10			
2020-06-01	335	10			
2020-06-02	335	10			
2020-06-03	335	10			
2020-06-04	335	10			
2020-06-05	335	10			
2020-06-06	337	10			
2020-06-07	337	10			
2020-06-08	337	10			
2020-06-09	337	10			
2020-06-10	337	10			
2020-06-11	337	10			
2020-06-12	337	10			
2020-06-13	337	10			
2020-06-14	337	10			
2020-06-15	337	10			
2020-06-16	337	10			
2020-06-17	337	10			
2020-06-18	337	10			
2020-06-19	337	10			
2020-06-20	337	10			
2020-06-21	337	10			
2020-06-22	337	10			
2020-06-23	340	10			
2020-06-24	340	10			
2020-06-25	341	10			
2020-06-26	341	10			
2020-06-27	341	10			
2020-06-28	341	10			
2020-06-29	341	10			
2020-06-30	341	10			
2020-07-01	341	10			
2020-07-02	341	10			
2020-07-03	341	10			
2020-07-04	341	10			
2020-07-05	341	10			
2020-07-06	341	10			
2020-07-07	342	10			
2020-07-08	342	10			
2020-07-09	342	10			
2020-07-10	342	10			
2020-07-11	342	10			
2020-07-12	342	10			
2020-07-13	342	10			
2020-07-14	342	10			
2020-07-15	342	10			
2020-07-16	343	10			
