# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	1	0			
2020-01-27	1	0			
2020-01-28	2	0			
2020-01-29	3	0			
2020-01-30	3	0			
2020-01-31	3	0			
2020-02-01	4	0			
2020-02-02	4	0			
2020-02-03	4	0			
2020-02-04	4	0			
2020-02-05	5	0			
2020-02-06	5	0			
2020-02-07	7	0			
2020-02-08	7	0			
2020-02-09	7	0			
2020-02-10	7	0			
2020-02-11	7	0			
2020-02-12	7	0			
2020-02-13	7	0			
2020-02-14	7	0			
2020-02-15	8	0			
2020-02-16	8	0			
2020-02-17	8	0			
2020-02-18	8	0			
2020-02-19	8	0			
2020-02-20	8	0			
2020-02-21	9	0			
2020-02-22	9	0			
2020-02-23	9	0			
2020-02-24	9	0			
2020-02-25	11	0			
2020-02-26	11	0			
2020-02-27	12	0			
2020-02-28	14	0			
2020-02-29	16	0			
2020-03-01	20	0			
2020-03-02	24	0			
2020-03-03	27	0			
2020-03-04	30	0			
2020-03-05	33	0			
2020-03-06	45	0			
2020-03-07	51	0			
2020-03-08	57	0			
2020-03-09	62	0			
2020-03-10	77	1			
2020-03-11	93	1			
2020-03-12	103	1			
2020-03-13	138	1			
2020-03-14	176	1			
2020-03-15	244	1			
2020-03-16	304	1			
2020-03-17	424	4			
2020-03-18	569	8			
2020-03-19	690	9			
2020-03-20	846	10			
2020-03-21	971	12			
2020-03-22	1302	18			
2020-03-23	1430	20			
2020-03-24	1646	24			
2020-03-25	1959	27			
2020-03-26	3385	35			
2020-03-27	4018	39			
2020-03-28	4675	53			
2020-03-29	5386	60			
2020-03-30	6255	61			
2020-03-31	7424	89			
2020-04-01	8536	96			
2020-04-02	9595	109			
2020-04-03	11268	138			
2020-04-04	12519	187			
2020-04-05	13882	231			
2020-04-06	15496	280			
2020-04-07	16653	323			
2020-04-08	17883	380			
2020-04-09	19274	435			
2020-04-10	20748	509			
2020-04-11	22133	569			
2020-04-12	23301	653			
2020-04-13	24365	717			
2020-04-14	25663	780			
2020-04-15	27046	903			
2020-04-16	28364	1010			
2020-04-17	30081	1193			
2020-04-18	31872	1309			
2020-04-19	33341	1467			
2020-04-20	34777	1580			
2020-04-21	36823	1690			
2020-04-22	38413	1834			
2020-04-23	40179	1974			
2020-04-24	42099	2146			
2020-04-25	43877	2302			
2020-04-26	45341	2465			
2020-04-27	46884	2560			
2020-04-28	48489	2707			
2020-04-29	50015	2859			
2020-04-30	51587	2996			
2020-05-01	53236	3184			
