# Data source: https://www.ecdc.europa.eu/sites/default/files/documents/COVID-19-geographic-disbtribution-worldwide-<DATE>-xlsx
# Data provenance: European Centre for Disease Prevention and Control
# License: The downloadable data file is updated daily and contains the latest available public data on COVID-19. Public-use data files allows users to manipulate the data in a format appropriate for their analyses. Users of ECDC public-use data files must comply with data use restrictions to ensure that the information will be used solely for statistical analysis or reporting purposes.
time	cases	deaths	hospitalized	icu	recovered
2019-12-31	0	0			
2020-01-01	0	0			
2020-01-02	0	0			
2020-01-03	0	0			
2020-01-04	0	0			
2020-01-05	0	0			
2020-01-06	0	0			
2020-01-07	0	0			
2020-01-08	0	0			
2020-01-09	0	0			
2020-01-10	0	0			
2020-01-11	0	0			
2020-01-12	0	0			
2020-01-13	0	0			
2020-01-14	0	0			
2020-01-15	0	0			
2020-01-16	0	0			
2020-01-17	0	0			
2020-01-18	0	0			
2020-01-19	0	0			
2020-01-20	0	0			
2020-01-21	0	0			
2020-01-22	0	0			
2020-01-23	0	0			
2020-01-24	0	0			
2020-01-25	0	0			
2020-01-26	1	0			
2020-01-27	1	0			
2020-01-28	2	0			
2020-01-29	3	0			
2020-01-30	3	0			
2020-01-31	3	0			
2020-02-01	4	0			
2020-02-02	4	0			
2020-02-03	4	0			
2020-02-04	4	0			
2020-02-05	5	0			
2020-02-06	5	0			
2020-02-07	7	0			
2020-02-08	7	0			
2020-02-09	7	0			
2020-02-10	7	0			
2020-02-11	7	0			
2020-02-12	7	0			
2020-02-13	7	0			
2020-02-14	7	0			
2020-02-15	8	0			
2020-02-16	8	0			
2020-02-17	8	0			
2020-02-18	8	0			
2020-02-19	8	0			
2020-02-20	8	0			
2020-02-21	9	0			
2020-02-22	9	0			
2020-02-23	9	0			
2020-02-24	9	0			
2020-02-25	11	0			
2020-02-26	11	0			
2020-02-27	12	0			
2020-02-28	14	0			
2020-02-29	16	0			
2020-03-01	20	0			
2020-03-02	24	0			
2020-03-03	27	0			
2020-03-04	30	0			
2020-03-05	33	0			
2020-03-06	45	0			
2020-03-07	51	0			
2020-03-08	57	0			
2020-03-09	62	0			
2020-03-10	77	1			
2020-03-11	93	1			
2020-03-12	103	1			
2020-03-13	138	1			
2020-03-14	176	1			
2020-03-15	244	1			
2020-03-16	304	1			
2020-03-17	424	4			
2020-03-18	569	8			
2020-03-19	690	9			
2020-03-20	846	10			
2020-03-21	971	12			
2020-03-22	1302	18			
2020-03-23	1430	20			
2020-03-24	1646	24			
2020-03-25	1959	27			
2020-03-26	3385	35			
2020-03-27	4018	39			
2020-03-28	4675	53			
2020-03-29	5386	60			
2020-03-30	6255	61			
2020-03-31	7424	89			
2020-04-01	8536	96			
2020-04-02	9595	109			
2020-04-03	11268	138			
2020-04-04	12519	187			
2020-04-05	13882	231			
2020-04-06	15496	280			
2020-04-07	16653	323			
2020-04-08	17883	380			
2020-04-09	19274	435			
2020-04-10	20748	509			
2020-04-11	22133	569			
2020-04-12	23301	653			
2020-04-13	24365	717			
2020-04-14	25663	780			
2020-04-15	27046	903			
2020-04-16	28364	1010			
2020-04-17	30081	1193			
2020-04-18	31872	1309			
2020-04-19	33341	1467			
2020-04-20	34777	1580			
2020-04-21	36823	1690			
2020-04-22	38413	1834			
2020-04-23	40179	1974			
2020-04-24	42099	2146			
2020-04-25	43877	2302			
2020-04-26	45341	2465			
2020-04-27	46884	2560			
2020-04-28	48489	2707			
2020-04-29	50015	2859			
2020-04-30	51587	2996			
2020-05-01	53236	3184			
2020-05-02	55061	3391			
2020-05-03	56714	3566			
2020-05-04	59474	3682			
2020-05-05	60772	3854			
2020-05-06	62046	4043			
2020-05-07	63496	4232			
2020-05-08	64922	4408			
2020-05-09	66434	4569			
2020-05-10	67702	4693			
2020-05-11	68848	4871			
2020-05-12	69981	4993			
2020-05-13	71157	5169			
2020-05-14	72278	5304			
2020-05-15	73401	5472			
2020-05-16	74602	5562			
2020-05-17	75853	5679			
2020-05-18	76991	5782			
2020-05-19	78061	5842			
2020-05-20	79101	5912			
2020-05-21	80091	6030			
2020-05-22	81313	6152			
2020-05-23	82469	6250			
2020-05-24	83610	6355			
2020-05-25	84688	6424			
2020-05-26	85700	6545			
2020-05-27	86636	6639			
2020-05-28	87508	6765			
2020-05-29	88501	6877			
2020-05-30	89407	6979			
2020-05-31	90179	7073			
2020-06-01	90936	7295			
2020-06-02	91694	7326			
2020-06-03	92399	7395			
2020-06-04	93074	7498			
2020-06-05	93715	7637			
2020-06-06	94324	7703			
2020-06-07	95046	7773			
2020-06-08	95688	7800			
2020-06-09	96233	7835			
2020-06-10	96642	7897			
2020-06-11	97114	7960			
2020-06-12	97519	7994			
2020-06-13	97932	8049			
2020-06-14	98399	8107			
2020-06-15	98776	8146			
2020-06-16	99136	8175			
2020-06-17	99456	8213			
2020-06-18	99842	8254			
2020-06-19	100209	8300			
2020-06-20	100618	8346			
2020-06-21	101008	8410			
2020-06-22	101326	8430			
2020-06-23	101637	8436			
2020-06-24	101963	8454			
2020-06-25	102242	8484			
2020-06-26	102611	8504			
2020-06-27	102783	8508			
2020-06-28	103021	8516			
2020-06-29	103239	8522			
2020-06-30	103907	8566			
2020-07-01	104193	8591			
2020-07-02	104193	8591			
2020-07-03	104760	8642			
2020-07-04	105079	8663			
2020-07-05	105305	8674			
2020-07-06	105524	8684			
2020-07-07	105923	8693			
2020-07-08	106155	8711			
2020-07-09	106422	8737			
2020-07-10	106793	8749			
2020-07-11	107114	8759			
2020-07-12	107335	8773			
2020-07-13	107579	8783			
2020-07-14	108144	8790			
2020-07-15	108475	8798			
2020-07-16	108816	8810			
2020-07-17	109253	8827			
2020-07-18	109658	8839			
2020-07-19	109658	8839			
2020-07-20	110338	8852			
2020-07-21	111113	8858			
2020-07-22	111684	8862			
2020-07-23	112227	8870			
2020-07-24	112659	8874			
2020-07-25	113193	8881			
2020-07-26	113543	8885			
2020-07-27	113898	8890			
2020-07-28	114597	8901			
2020-07-29	114980	8912			
2020-07-30	115456	8917			
2020-07-31	115785	8929			
2020-08-01	116298	8935			
2020-08-02	116585	8941			
2020-08-03	116870	8945			
2020-08-04	117017	8947			
2020-08-05	117777	8958			
2020-08-06	118172	8962			
2020-08-07	118546	8966			
2020-08-08	118970	8970			
2020-08-09	119206	8976			
2020-08-10	119451	8981			
2020-08-11	120117	8987			
2020-08-12	120406	8991			
2020-08-13	120829	9006			
2020-08-14	121234	9015			
2020-08-15	121652	9020			
2020-08-16	121889	9024			
2020-08-17	122087	9026			
2020-08-18	122872	9032			
2020-08-19	123154	9045			
2020-08-20	123490	9049			
2020-08-21	123873	9054			
2020-08-22	124372	9064			
2020-08-23	124629	9071			
2020-08-24	124896	9073			
2020-08-25	125647	9083			
2020-08-26	125969	9090			
2020-08-27	126417	9094			
2020-08-28	126848	9102			
2020-08-29	127358	9108			
2020-08-30	127673	9113			
2020-08-31	127940	9117			
2020-09-01	128948	9126			
2020-09-02	129425	9132			
2020-09-03	129923	9135			
2020-09-04	130493	9141			
2020-09-05	131124	9141			
2020-09-06	131495	9143			
2020-09-07	131895	9145			
2020-09-08	132142	9146			
2020-09-09	133748	9153			
2020-09-10	134294	9155			
2020-09-11	134924	9163			
2020-09-12	135626	9163			
2020-09-13	136141	9170			
2020-09-14	136659	9171			
2020-09-15	138010	9179			
2020-09-16	138803	9188			
2020-09-17	139747	9193			
2020-09-18	140867	9200			
2020-09-19	141911	9205			
2020-09-20	142774	9211			
2020-09-21	143649	9217			
2020-09-22	145415	9228			
2020-09-23	146663	9234			
2020-09-24	147753	9243			
2020-09-25	149094	9249			
2020-09-26	150456	9255			
2020-09-27	151671	9262			
2020-09-28	153125	9268			
2020-09-29	155301	9278			
2020-09-30	156961	9291			
2020-10-01	158758	9297			
2020-10-02	160535	9319			
2020-10-03	162659	9409			
2020-10-04	164471	9462			
2020-10-05	166156	9481			
2020-10-06	168960	9504			
2020-10-07	171323	9530			
2020-10-08	173123	9541			
2020-10-09	175559	9557			
2020-10-10	178117	9585			
2020-10-11	178117	9585			
2020-10-12	178117	9585			
2020-10-13	182839	9627			
2020-10-14	186881	9654			
2020-10-15	189387	9664			
2020-10-16	191732	9699			
2020-10-17	194106	9722			
2020-10-18	196321	9746			
2020-10-19	198148	9760			
2020-10-20	201437	9778			
2020-10-21	203688	9794			
2020-10-22	206360	9829			
2020-10-23	209148	9862			
2020-10-24	211732	9888			
2020-10-25	213959	9922			
2020-10-26	216104	9946			
2020-10-27	220213	9973			
2020-10-28	222887	10001			
2020-10-29	225586	10032			
2020-10-30	228542	10074			
2020-10-31	231999	10110			
2020-11-01	234511	10136			
2020-11-02	236841	10179			
2020-11-03	240263	10208			
2020-11-04	244935	10279			
2020-11-05	247703	10331			
2020-11-06	251338	10381			
2020-11-07	255809	10436			
2020-11-08	260055	10490			
2020-11-09	264113	10522			
