# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0	0	0	0
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	3	0	1	0	0
2020-03-07	3	0	1	0	0
2020-03-08	4	0	2	0	0
2020-03-09	5	0	2	0	0
2020-03-10	7	0	2	0	0
2020-03-11	8	0	1	1	0
2020-03-12	8	0	1	1	0
2020-03-13	10	0	1	1	0
2020-03-14	10	0	0	2	0
2020-03-15	11	0	0	2	0
2020-03-16	12	0	1	2	0
2020-03-17	20	0	5	2	0
2020-03-18	27	0	9	2	0
2020-03-19	37	0	8	5	0
2020-03-20	52	0	8	5	0
2020-03-21	66	0	12	7	0
2020-03-22	81	0	13	10	0
2020-03-23	90	1	15	12	0
2020-03-24	92	1	14	12	0
2020-03-25	113	1	20	14	0
2020-03-26	134	1	22	16	0
2020-03-27	151	3	22	15	1
2020-03-28	182	3	26	19	1
2020-03-29	202	4	32	18	1
2020-03-30	214	5	36	18	1
2020-03-31	226	7	37	17	3
2020-04-01	237	9	39	15	3
2020-04-02	246	10	38	19	3
2020-04-03	261	11	41	19	3
2020-04-04	264	11	44	19	9
2020-04-05	278	13	46	18	11
2020-04-06	287	13	46	18	12
2020-04-07	291	14	47	17	12
2020-04-08	297	14	48	17	13
2020-04-09	303	15	50	17	13
2020-04-10	308	15	59	15	14
2020-04-11	312	17	60	12	14
2020-04-12	315	18	61	12	20
2020-04-13	319	18	64	12	31
2020-04-14	319	19	62	12	35
2020-04-15	320	21	60	12	38
2020-04-16	336	22	60	9	41
2020-04-17	337	22	59	9	49
2020-04-18	339	23	60	8	54
2020-04-19	342	24	59	8	71
2020-04-20	342	24	59	7	76
2020-04-21	350	24	64	7	81
2020-04-22	354	24	65	7	98
2020-04-23	356	24	61	7	103
2020-04-24	360	24	59	7	107
2020-04-25	361	25	58	7	118
2020-04-26	366	25	57	7	122
2020-04-27	366	25	57	7	124
2020-04-28	366	25	56	7	136
2020-04-29	366	25	51	4	147
2020-04-30	367	25	49	4	150
2020-05-01	378	25	49	4	160
2020-05-02	380	25	48	4	164
2020-05-03	386	25	48	3	167
2020-05-04	386	25	50	3	188
2020-05-05	396	25	50	3	194
2020-05-06	399	25	47	3	202
2020-05-07	383	26	48	2	202
2020-05-08	382	26	48	2	204
2020-05-09	382	27	45	1	210
2020-05-10	385	27	45	1	215
2020-05-11	386	27	46	1	217
2020-05-12	387	27	47	1	220
2020-05-13	389	27	42	1	231
2020-05-14	389	27	34	1	235
2020-05-15	389	27	33	1	242
2020-05-16	390	27	29	1	250
2020-05-17	392	27	29	1	261
2020-05-18	392	27	29	1	272
2020-05-19	393	27	26	1	282
2020-05-20	393	27	22	1	293
2020-05-21	394	27	15	1	307
2020-05-22	394	27	15	1	318
2020-05-23	398	27	14	1	330
2020-05-24	399	27	13	1	333
2020-05-25	399	27	13	0	336
2020-05-26	399	27	8	0	336
2020-05-27	399	27	7	0	336
2020-05-28	399	27	6	0	338
2020-05-29	399	27	5	0	339
2020-05-30	399	27	5	0	341
2020-05-31	399	27	4	0	343
2020-06-01	399	27	4	0	344
2020-06-02	399	27	4	0	348
2020-06-03	399	27	4	0	349
2020-06-04	399	27	3	0	352
2020-06-05	399	27	0	0	354
2020-06-06	399	27	0	0	355
2020-06-07	399	27	0	0	358
2020-06-08	399	27	0	0	359
2020-06-09	400	27	1	0	359
2020-06-10	400	27	1	0	362
2020-06-11	401	27	0	1	362
2020-06-12	401	27	0	1	362
2020-06-13	401	27	0	1	363
2020-06-14	401	27	0	1	363
2020-06-15	401	27	0	1	363
2020-06-16	401	27	0	1	364
2020-06-17	401	27	0	1	364
2020-06-18	401	27	0	1	364
2020-06-19	401	27	0	1	366
2020-06-20	401	27	0	1	366
2020-06-21	401	27	1	0	366
2020-06-22	401	27	1	0	366
2020-06-23	401	27	1	0	366
2020-06-24	401	27	1	0	367
2020-06-25	401	27	1	0	367
2020-06-26	401	27	1	0	367
2020-06-27	401	27	1	0	367
2020-06-28	401	27	1	0	372
