# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0	0	0	0
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	3	0	3	0	0
2020-03-04	3	0	3	0	0
2020-03-05	7	0	4	0	0
2020-03-06	12	0	3	2	0
2020-03-07	14	0	3	2	0
2020-03-08	14	0	4	2	0
2020-03-09	14	0	4	2	0
2020-03-10	15	0	3	3	0
2020-03-11	16	0	4	3	0
2020-03-12	16	0	4	3	0
2020-03-13	17	0	5	3	0
2020-03-14	17	0	5	3	0
2020-03-15	17	0	3	4	0
2020-03-16	21	1	3	5	5
2020-03-17	25	1	7	5	5
2020-03-18	28	1	7	6	6
2020-03-19	46	2	19	6	6
2020-03-20	50	5	20	6	6
2020-03-21	61	7	21	6	7
2020-03-22	66	7	24	7	7
2020-03-23	67	7	25	7	10
2020-03-24	73	8	27	7	10
2020-03-25	73	8	26	7	12
2020-03-26	103	8	27	8	14
2020-03-27	109	9	26	9	14
2020-03-28	123	9	26	9	16
2020-03-29	127	9	25	9	18
2020-03-30	134	9	27	8	18
2020-03-31	144	9	29	8	18
2020-04-01	160	10	32	8	19
2020-04-02	165	11	30	8	21
2020-04-03	176	11	31	8	21
2020-04-04	206	11	31	6	24
2020-04-05	224	13	33	6	24
2020-04-06	224	13	34	5	24
2020-04-07	224	13	35	5	26
2020-04-08	226	13	30	4	32
2020-04-09	234	13	30	4	32
2020-04-10	243	13	28	4	37
2020-04-11	246	14	28	4	39
2020-04-12	257	15	27	4	40
2020-04-13	257	15	28	4	40
2020-04-14	257	15	26	4	42
2020-04-15	263	15	27	4	42
2020-04-16	263	16	25	4	44
2020-04-17	269	16	26	4	45
2020-04-18	269	16	27	4	44
2020-04-19	279	17	27	4	47
2020-04-20	281	18	27	2	50
2020-04-21	282	18	27	2	51
2020-04-22	284	19	21	2	60
2020-04-23	284	20	19	1	66
2020-04-24	287	20	19	1	67
2020-04-25	292	21	19	1	73
2020-04-26	296	21	20	1	75
2020-04-27	296	21	20	1	75
2020-04-28	297	21	18	1	81
2020-04-29	297	21	17	1	83
2020-04-30	298	21	17	1	87
2020-05-01	300	21	17	1	89
2020-05-02	301	21	9	1	98
2020-05-03	301	22	8	1	98
2020-05-04	301	22	9	1	101
2020-05-05	301	22	9	1	102
2020-05-06	304	22	9	0	103
2020-05-07	305	22	8	0	113
2020-05-08	327	22	6	0	121
2020-05-09	347	22	8	0	120
2020-05-10	370	22	9	0	130
2020-05-11	383	22	11	0	132
2020-05-12	386	22	13	1	138
2020-05-13	401	22	9	1	148
2020-05-14	403	22	10	1	152
2020-05-15	407	22	8	2	158
2020-05-16	410	22	8	2	173
2020-05-17	411	22	11	2	173
2020-05-18	422	22	9	2	183
2020-05-19	422	22	9	2	188
2020-05-20	422	22	7	2	202
2020-05-21	423	22	8	2	207
2020-05-22	426	22	8	2	220
2020-05-23	431	22	8	2	220
2020-05-24	432	22	6	2	227
2020-05-25	432	22	5	2	233
2020-05-26	432	22	5	2	236
2020-05-27	434	22	3	2	246
2020-05-28	435	22	3	2	250
2020-05-29	436	22	3	2	252
2020-05-30	436	22	3	2	258
2020-05-31	436	22	2	2	269
2020-06-01	436	22	2	2	279
2020-06-02	436	22	3	2	281
2020-06-03	436	22	1	2	287
2020-06-04	436	23	0	2	288
2020-06-05	436	23	0	2	291
2020-06-06	436	23	0	2	292
2020-06-07	436	23	0	2	293
2020-06-08	436	23	0	2	294
2020-06-09	438	23	0	2	295
2020-06-10	439	23	0	2	296
2020-06-11	439	23	1	1	300
2020-06-12	439	23	1	1	302
2020-06-13	439	23	0	0	319
2020-06-14	439	23	0	0	342
2020-06-15	439	23	0	0	346
2020-06-16	439	23	1	0	351
2020-06-17	440	23	1	0	355
2020-06-18	440	23	1	0	357
2020-06-19	441	23	2	0	365
2020-06-20	441	23	2	0	365
2020-06-21	441	23	2	0	378
2020-06-22	444	23	3	0	378
2020-06-23	444	23	3	0	378
2020-06-24	444	23	2	0	378
2020-06-25	444	23	2	0	385
2020-06-26	445	23	1	0	393
2020-06-27	445	23	0	0	396
2020-06-28	445	23	0	0	396
2020-06-29	445	23	0	0	396
2020-06-30	445	23	0	0	397
2020-07-01	445	23	0	0	397
2020-07-02	445	23	0	0	401
2020-07-03	445	23	0	0	401
2020-07-04	445	23	0	0	401
2020-07-05	445	23	0	0	401
2020-07-06	445	23	0	0	401
2020-07-07	445	23	0	0	404
2020-07-08	445	23	0	0	405
2020-07-09	445	23	0	0	407
2020-07-10	445	23	0	0	407
2020-07-11	445	23	0	0	410
2020-07-12	446	23	1	0	410
2020-07-13	446	23	1	0	410
2020-07-14	446	23	1	0	414
2020-07-15	446	23	1	0	414
2020-07-16	446	23	1	0	414
