# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0	0	0	0
2020-02-25	0	0	0	0	0
2020-02-26	0	0	0	0	0
2020-02-27	0	0	0	0	0
2020-02-28	1	0	0	0	0
2020-02-29	1	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	2	0	1	0	0
2020-03-06	4	0	2	0	0
2020-03-07	4	0	2	0	0
2020-03-08	9	0	5	0	0
2020-03-09	11	0	8	0	2
2020-03-10	13	0	8	2	2
2020-03-11	19	0	10	2	2
2020-03-12	33	0	14	2	1
2020-03-13	38	0	18	3	1
2020-03-14	60	0	22	4	1
2020-03-15	68	1	32	6	1
2020-03-16	89	1	36	7	1
2020-03-17	114	1	45	10	1
2020-03-18	129	1	45	11	2
2020-03-19	169	3	60	13	2
2020-03-20	207	4	71	16	2
2020-03-21	235	5	73	16	5
2020-03-22	273	8	77	17	5
2020-03-23	292	7	82	20	5
2020-03-24	319	10	88	21	5
2020-03-25	351	11	93	23	7
2020-03-26	393	14	101	23	7
2020-03-27	494	18	103	22	7
2020-03-28	555	21	107	22	11
2020-03-29	614	25	124	19	12
2020-03-30	647	31	130	18	14
2020-03-31	659	36	132	17	17
2020-04-01	669	38	144	16	21
2020-04-02	691	41	163	19	23
2020-04-03	733	45	183	17	26
2020-04-04	741	49	178	15	30
2020-04-05	795	56	174	13	33
2020-04-06	817	58	170	14	37
2020-04-07	833	60	169	14	40
2020-04-08	859	60	170	15	44
2020-04-09	874	61	168	15	48
2020-04-10	901	65	168	14	50
2020-04-11	915	66	169	15	57
2020-04-12	923	66	165	14	62
2020-04-13	928	67	160	12	70
2020-04-14	956	68	161	12	72
2020-04-15	971	71	156	11	81
2020-04-16	1009	72	157	9	90
2020-04-17	991	73	154	7	99
2020-04-18	1011	73	152	7	106
2020-04-19	1035	75	142	6	116
2020-04-20	1038	75	140	7	135
2020-04-21	1047	76	133	7	152
2020-04-22	1060	76	128	7	163
2020-04-23	1069	76	129	7	170
2020-04-24	1079	80	123	7	178
2020-04-25	1088	80	125	7	197
2020-04-26	1089	80	118	8	212
2020-04-27	1096	83	114	6	231
2020-04-28	1097	85	113	6	248
2020-04-29	1102	86	107	6	263
2020-04-30	1108	86	105	6	282
2020-05-01	1112	86	105	3	299
2020-05-02	1112	88	100	4	311
2020-05-03	1114	88	95	4	324
2020-05-04	1118	88	93	4	356
2020-05-05	1119	88	92	4	381
2020-05-06	1122	89	87	3	389
2020-05-07	1125	89	81	2	403
2020-05-08	1126	90	73	2	417
2020-05-09	1129	90	68	2	427
2020-05-10	1132	91	66	2	445
2020-05-11	1134	93	64	1	473
2020-05-12	1138	93	65	1	477
2020-05-13	1140	93	64	1	496
2020-05-14	1143	95	59	2	524
2020-05-15	1144	95	56	2	544
2020-05-16	1151	95	56	2	582
2020-05-17	1151	95	56	2	634
2020-05-18	1151	95	53	2	655
2020-05-19	1153	95	50	2	676
2020-05-20	1156	96	49	1	707
2020-05-21	1156	96	47	1	734
2020-05-22	1157	96	47	1	759
2020-05-23	1157	96	43	1	773
2020-05-24	1157	96	43	1	786
2020-05-25	1157	96	42	1	797
2020-05-26	1157	96	41	1	823
2020-05-27	1158	96	35	1	872
2020-05-28	1158	96	31	1	892
2020-05-29	1158	97	25	1	902
2020-05-30	1158	97	23	1	910
2020-05-31	1158	97	22	1	917
2020-06-01	1158	97	20	1	926
2020-06-02	1158	97	20	1	949
2020-06-03	1158	97	20	0	951
2020-06-04	1158	97	19	0	959
2020-06-05	1159	97	18	0	965
2020-06-06	1159	97	18	0	971
2020-06-07	1159	97	18	0	971
