# Data source: https://raw.github.com/pcm-dpc/COVID-19/master/dati-json/dpc-covid19-ita-regioni.json
# Data provenance: Dipartimento della Protezione Civile
# License: CC-BY-4.0
time	cases	deaths	hospitalized	icu	recovered
2020-02-24	0	0	0	0	0
2020-02-25	1	0	1	0	0
2020-02-26	1	0	1	0	0
2020-02-27	1	0	1	0	0
2020-02-28	1	0	1	0	0
2020-02-29	1	0	1	0	0
2020-03-01	1	0	1	0	0
2020-03-02	1	0	1	0	0
2020-03-03	5	0	2	0	0
2020-03-04	6	0	2	0	0
2020-03-05	8	0	3	0	0
2020-03-06	14	0	8	0	0
2020-03-07	23	0	14	1	0
2020-03-08	32	0	15	2	0
2020-03-09	42	0	18	2	0
2020-03-10	90	0	36	4	2
2020-03-11	152	0	36	8	3
2020-03-12	211	2	64	9	4
2020-03-13	288	4	78	11	4
2020-03-14	379	5	94	19	5
2020-03-15	582	11	123	23	5
2020-03-16	619	12	126	30	5
2020-03-17	676	15	178	33	11
2020-03-18	831	16	220	40	13
2020-03-19	959	26	256	48	21
2020-03-20	1190	30	297	58	30
2020-03-21	1403	48	360	69	35
2020-03-22	1632	58	381	78	41
2020-03-23	1747	70	394	79	75
2020-03-24	1891	94	474	87	123
2020-03-25	2080	117	498	105	157
2020-03-26	2203	134	523	109	184
2020-03-27	2394	162	590	111	235
2020-03-28	2614	184	576	123	267
2020-03-29	2808	193	590	131	288
2020-03-30	3007	221	584	140	331
2020-03-31	3117	240	603	142	346
2020-04-01	3288	289	614	133	404
2020-04-02	3482	316	618	138	419
2020-04-03	3668	343	634	140	457
2020-04-04	3812	356	644	142	502
2020-04-05	3929	375	591	133	533
2020-04-06	4070	394	599	131	578
2020-04-07	4287	418	685	142	678
2020-04-08	4437	438	622	142	778
2020-04-09	4611	455	608	133	863
2020-04-10	4771	466	593	128	994
2020-04-11	4927	484	581	118	1110
2020-04-12	5151	498	505	106	1056
2020-04-13	5275	512	516	97	1146
2020-04-14	5325	524	502	93	1155
2020-04-15	5444	541	478	80	1223
2020-04-16	5561	547	476	77	1334
2020-04-17	5672	576	467	76	1524
2020-04-18	5756	587	455	70	1628
2020-04-19	5912	605	440	64	1770
2020-04-20	5984	615	432	59	1900
2020-04-21	6024	627	413	58	1952
2020-04-22	6062	637	402	53	2039
2020-04-23	6162	643	375	46	2154
2020-04-24	6232	652	372	44	2660
2020-04-25	6314	665	343	41	2870
2020-04-26	6375	674	337	38	3025
2020-04-27	6491	677	351	39	3167
2020-04-28	6523	684	318	37	3364
2020-04-29	6576	690	284	36	3578
2020-04-30	6634	693	284	34	3769
2020-05-01	6660	701	258	30	3909
2020-05-02	6716	704	251	29	4027
2020-05-03	6783	710	245	28	4161
2020-05-04	6799	714	238	27	4284
2020-05-05	6803	719	225	26	4431
2020-05-06	6823	723	215	24	4539
2020-05-07	6835	724	186	22	4650
2020-05-08	6843	727	172	20	4742
2020-05-09	6859	728	142	19	4828
2020-05-10	6864	731	143	18	4888
2020-05-11	6869	733	147	18	4954
2020-05-12	6875	735	136	16	5036
2020-05-13	6887	736	132	16	5165
2020-05-14	6893	738	120	16	5270
2020-05-15	6896	741	103	14	5390
2020-05-16	6904	743	92	13	5473
2020-05-17	6919	743	91	13	5561
2020-05-18	6933	744	93	14	5634
2020-05-19	6945	746	88	14	5687
2020-05-20	6955	746	82	11	5811
2020-05-21	6965	746	90	11	5903
2020-05-22	6978	746	66	9	5401
2020-05-23	6985	747	63	9	5459
2020-05-24	6997	748	57	9	5519
2020-05-25	6998	749	56	9	5548
2020-05-26	7008	752	52	8	5564
2020-05-27	7015	753	46	7	5614
2020-05-28	7020	753	33	8	5652
2020-05-29	7023	753	33	8	5706
2020-05-30	7025	753	26	7	5769
2020-05-31	7027	753	26	7	5843
2020-06-01	7030	753	27	7	5861
2020-06-02	7030	754	27	5	5873
2020-06-03	7031	754	28	5	5935
2020-06-04	7031	756	21	3	5956
2020-06-05	7032	756	18	3	6052
2020-06-06	7034	756	13	3	6074
2020-06-07	7038	756	13	3	6103
2020-06-08	7040	756	14	3	6106
2020-06-09	7043	756	13	3	6111
2020-06-10	7043	756	13	3	6113
2020-06-11	7047	756	13	3	6121
2020-06-12	7051	755	13	3	6127
2020-06-13	7056	755	12	3	6136
2020-06-14	7060	755	13	3	6144
2020-06-15	7059	757	13	1	6142
2020-06-16	7059	757	10	1	6145
2020-06-17	7060	757	10	1	6158
2020-06-18	7070	757	10	2	6169
2020-06-19	7073	758	5	1	6184
2020-06-20	7076	758	4	1	6191
2020-06-21	7085	758	4	1	6199
2020-06-22	7097	758	4	1	6197
2020-06-23	7098	758	3	1	6200
2020-06-24	7486	697	3	1	6647
2020-06-25	7489	697	4	1	6653
2020-06-26	7493	697	4	1	6659
2020-06-27	7496	697	6	1	6661
2020-06-28	7500	697	5	1	6664
2020-06-29	7502	697	3	1	6667
2020-06-30	7502	697	4	1	6671
2020-07-01	7506	697	4	1	6678
2020-07-02	7507	697	4	0	6680
2020-07-03	7513	697	5	0	6687
2020-07-04	7518	697	5	0	6688
2020-07-05	7520	697	5	0	6696
2020-07-06	7520	697	6	0	6703
2020-07-07	7524	697	6	0	6704
2020-07-08	7526	697	9	0	6709
2020-07-09	7529	697	7	0	6715
2020-07-10	7537	697	7	0	6727
2020-07-11	7542	697	8	0	6735
2020-07-12	7547	697	8	0	6736
2020-07-13	7554	697	8	0	6736
2020-07-14	7555	697	8	0	6737
2020-07-15	7558	697	7	0	6740
2020-07-16	7559	697	7	0	6744
2020-07-17	7563	697	6	0	6749
2020-07-18	7567	697	6	0	6750
2020-07-19	7569	697	6	0	6755
2020-07-20	7573	697	7	0	6756
2020-07-21	7576	697	7	0	6758
2020-07-22	7596	697	8	0	6762
2020-07-23	7627	697	8	0	6770
2020-07-24	7644	697	8	0	6777
2020-07-25	7652	697	8	0	6780
2020-07-26	7663	697	8	0	6781
2020-07-27	7666	697	8	0	6781
2020-07-28	7658	697	8	0	6782
2020-07-29	7666	697	6	1	6785
2020-07-30	7675	697	6	1	6785
2020-07-31	7692	697	6	1	6793
2020-08-01	7700	697	7	1	6797
2020-08-02	7707	697	8	0	6804
2020-08-03	7715	697	10	0	6806
2020-08-04	7723	697	10	0	6820
2020-08-05	7729	697	11	0	6837
2020-08-06	7745	697	11	0	6844
2020-08-07	7753	697	13	0	6846
2020-08-08	7759	697	13	0	6860
2020-08-09	7768	697	14	0	6865
2020-08-10	7770	697	15	0	6866
2020-08-11	7773	697	11	0	6873
2020-08-12	7777	697	8	1	6882
2020-08-13	7781	697	8	2	6899
2020-08-14	7787	697	9	2	6904
2020-08-15	7796	697	8	2	6913
2020-08-16	7805	697	8	2	6920
2020-08-17	7808	697	9	2	6925
2020-08-18	7810	697	10	2	6927
2020-08-19	7819	697	10	2	6956
2020-08-20	7844	697	10	2	6964
2020-08-21	7853	697	11	2	6974
2020-08-22	7881	697	11	2	6998
2020-08-23	7897	697	11	2	7000
2020-08-24	7913	697	11	2	7000
2020-08-25	7925	697	12	2	7004
2020-08-26	7937	697	12	2	7015
2020-08-27	7961	697	12	2	7018
2020-08-28	7985	697	14	2	7025
2020-08-29	8008	697	11	3	7037
2020-08-30	8024	697	11	3	7050
2020-08-31	8031	697	13	3	7053
2020-09-01	8047	697	12	3	7057
2020-09-02	8090	697	12	3	7064
2020-09-03	8185	697	11	3	7072
2020-09-04	8219	697	15	2	7083
2020-09-05	8295	697	14	2	7104
2020-09-06	8335	697	13	2	7122
2020-09-07	8352	697	13	2	7125
2020-09-08	8359	697	14	0	7127
2020-09-09	8376	697	15	0	7136
2020-09-10	8478	697	14	0	7144
2020-09-11	8533	697	14	0	7159
2020-09-12	8580	697	16	0	7180
