# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-24	1	0			
2020-03-25	1	0			
2020-03-26	1	0			
2020-03-27	1	0			
2020-03-28	1	0			
2020-03-29	1	0			
2020-03-30	1	0			
2020-03-31	1	0			
2020-04-01	1	0			
2020-04-02	1	0			
2020-04-03	2	0			
2020-04-04	2	0			
2020-04-05	2	0			
2020-04-06	2	0			
2020-04-07	2	0			
2020-04-08	2	0			
2020-04-09	2	0			
2020-04-10	2	0			
2020-04-11	2	0			
2020-04-12	2	0			
2020-04-13	2	0			
2020-04-14	2	0			
2020-04-15	2	0			
2020-04-16	2	0			
2020-04-17	2	0			
2020-04-18	2	0			
2020-04-19	2	0			
2020-04-20	2	0			
2020-04-21	2	0			
2020-04-22	2	0			
2020-04-23	2	0			
2020-04-24	2	0			
2020-04-25	2	0			
2020-04-26	2	0			
2020-04-27	2	0			
2020-04-28	2	0			
2020-04-29	2	0			
2020-04-30	2	0			
2020-05-01	2	0			
2020-05-02	2	0			
