# Data source: https://api.rootnet.in/covid19-in/stats/daily
# Data provenance: https://github.com/amodm/api-covid19-in
# License: Scraped from Ministry of Health and Family Welfare plus other sources, no clear license
time	cases	deaths	hospitalized	icu	recovered
2020-03-10	1	0			
2020-03-11	4	0			
2020-03-12	4	0			
2020-03-13	6	1			
2020-03-14	6	1			
2020-03-15	6	1			
2020-03-16	6	1			
2020-03-17	11	1			
2020-03-18	11	1			
2020-03-19	14	1			
2020-03-20	15	1			
2020-03-21	15	1			
2020-03-22	26	1			
2020-03-23	33	1			
2020-03-24	37	1			
2020-03-25	41	1			
2020-03-26	55	2			
2020-03-27	55	2			
2020-03-28	55	2			
2020-03-29	76	3			
2020-03-30	83	3			
2020-03-31	83	3			
2020-04-01	101	3			
2020-04-02	110	3			
2020-04-03	124	3			
2020-04-04	128	3			
2020-04-05	144	4			
2020-04-06	151	4			
2020-04-07	175	4			
2020-04-08	175	4			
2020-04-09	181	5			
2020-04-10	197	6			
2020-04-11	214	6			
2020-04-12	226	6			
2020-04-13	247	6			
2020-04-14	258	9			
2020-04-15	277	11			
2020-04-16	315	13			
2020-04-17	353	13			
2020-04-18	371	13			
2020-04-19	384	14			
2020-04-20	395	16			
2020-04-21	415	17			
2020-04-22	425	17			
2020-04-23	443	17			
2020-04-24	463	18			
2020-04-25	489	18			
2020-04-26	501	18			
2020-04-27	511	20			
2020-04-28	520	20			
2020-04-29	532	20			
2020-04-30	557	21			
2020-05-01	576	22			
2020-05-02	598	25			
2020-05-03	606	25			
2020-05-04	642	26			
2020-05-05	659	28			
2020-05-06	671	29			
2020-05-07	693	29			
2020-05-08	705	30			
2020-05-09	753	30			
2020-05-10	794	30			
2020-05-11	848	31			
2020-05-12	862	31			
2020-05-13	925	31			
2020-05-14	959	33			
2020-05-15	987	35			
2020-05-16	1056	36			
2020-05-17	1092	36			
2020-05-18	1147	37			
2020-05-19	1246	37			
2020-05-20	1397	40			
2020-05-21	1462	41			
2020-05-22	1605	41			
2020-05-23	1743	41			
2020-05-24	1959	42			
2020-05-25	2089	42			
2020-05-26	2182	44			
2020-05-27	2283	44			
2020-05-28	2418	47			
2020-05-29	2533	47			
2020-05-30	2781	48			
2020-05-31	2922	48			
2020-06-01	3221	51			
2020-06-02	3408	52			
2020-06-03	3796	52			
2020-06-04	4063	53			
2020-06-05	4320	57			
2020-06-06	4835	57			
2020-06-07	5213	59			
2020-06-08	5452	61			
2020-06-09	5760	64			
2020-06-10	5921	66			
2020-06-11	6041	69			
2020-06-12	6245	72			
2020-06-13	6516	79			
2020-06-14	6824	81			
2020-06-15	7000	86			
2020-06-16	7213	89			
2020-06-17	7530	94			
2020-06-18	7734	102			
2020-06-19	7944	114			
2020-06-20	8281	124			
2020-06-21	8697	132			
2020-06-22	9150	137			
2020-06-23	9399	142			
2020-06-24	9721	150			
2020-06-25	10118	164			
2020-06-26	10560	170			
2020-06-27	11005	180			
2020-06-28	11923	191			
2020-06-29	13190	207			
2020-06-30	14295	226			
2020-07-01	15242	246			
2020-07-02	16514	253			
2020-07-03	18016	272			
2020-07-04	19710	293			
2020-07-05	21549	335			
2020-07-06	23474	372			
2020-07-07	25317	401			
2020-07-08	26815	416			
2020-07-09	28877	470			
2020-07-10	31105	486			
2020-07-11	33418	543			
2020-07-12	36216	613			
2020-07-13	38843	684			
2020-07-14	41581	757			
2020-07-15	44077	842			
2020-07-16	47253	928			
2020-07-17	51422	1032			
2020-07-18	55115	1147			
2020-07-19	59652	1240			
2020-07-20	63772	1331			
2020-07-21	67420	1403			
2020-07-22	71069	1464			
2020-07-23	75833	1519			
2020-07-24	80863	1616			
2020-07-25	85870	1724			
2020-07-26	90942	1796			
2020-07-27	96141	1878			
2020-07-28	101465	1953			
2020-07-29	107001	2055			
2020-07-30	112504	2147			
2020-07-31	118632	2230			
2020-08-01	124115	2314			
2020-08-02	129287	2412			
2020-08-03	134819	2496			
2020-08-04	139571	2594			
2020-08-05	145830	2704			
2020-08-06	151449	2804			
2020-08-07	158254	2897			
2020-08-08	164924	2998			
2020-08-09	172102	3091			
2020-08-10	178087	3198			
2020-08-11	182354	3312			
2020-08-12	188611	3398			
2020-08-13	196494	3510			
2020-08-14	203200	3613			
2020-08-15	211108	3717			
2020-08-16	219926	3831			
2020-08-17	226966	3947			
2020-08-18	233283	4062			
2020-08-19	240948	4201			
2020-08-20	249590	4327			
2020-08-21	256975	4429			
2020-08-22	264546	4522			
2020-08-23	271876	4615			
2020-08-24	277814	4683			
2020-08-25	283665	4810			
2020-08-26	291826	4958			
2020-08-27	300406	5091			
2020-08-28	309792	5232			
2020-08-29	318752	5368			
2020-08-30	327076	5483			
2020-08-31	335928	5589			
2020-09-01	342423	5702			
2020-09-02	351481	5837			
2020-09-03	361341	5950			
2020-09-04	370206	6054			
2020-09-05	379486	6170			
2020-09-06	389232	6298			
2020-09-07	398551	6393			
2020-09-08	404324	6534			
2020-09-09	412190	6680			
2020-09-10	421730	6808			
2020-09-11	430947	6937			
2020-09-12	440411	7067			
2020-09-13	449551	7161			
2020-09-14	459445	7265			
2020-09-15	467689	7384			
2020-09-16	475265	7481			
2020-09-17	484990	7536			
2020-09-18	494356	7629			
2020-09-19	502982	7808			
2020-09-20	511346	7922			
2020-09-21	519537	8023			
2020-09-22	526876	8145			
2020-09-23	533850	8228			
2020-09-24	541203	8279			
2020-09-25	548557	8331			
2020-09-26	557212	8417			
2020-09-27	566023	8503			
2020-09-28	575566	8582			
2020-09-29	582458	8641			
2020-09-30	592911	8777			
2020-10-01	602374	8885			
2020-10-02	611837	8994			
2020-10-03	620630	9119			
2020-10-04	630645	9202			
2020-10-05	640661	9286			
2020-10-06	647712	9370			
2020-10-07	658182	9472			
2020-10-08	668652	9574			
2020-10-09	679356	9675			
2020-10-10	690269	9789			
2020-10-11	700786	9891			
2020-10-12	710309	9966			
2020-10-13	717915	10036			
2020-10-14	726106	10123			
2020-10-15	735371	10198			
2020-10-16	743848	10283			
